ID,Vendor,Text
0,Amazon Prime Terms,amazon prime term amp
1,Amazon Prime Terms,condition last updated june 30 2020
3,Amazon Prime Terms,welcome to the term and condition term for amazon prime
4,Amazon Prime Terms,these term are between you and amazon com service llc and or it affiliate amazon com or u and govern our respective right and obligation
5,Amazon Prime Terms,please note that your use of the amazon com website and prime membership are also governed by the agreement listed and linked to below a well a all other applicable term condition limitation and requirement on the amazon com website all of which a changed over time are incorporated into these term
6,Amazon Prime Terms,if you sign up for prime membership you accept these term condition limitation and requirement
10,Amazon Prime Terms,condition of use
13,Amazon Prime Terms,amazon com privacy notice
16,Amazon Prime Terms,amazon video term of use
19,Amazon Prime Terms,amazon music term of use
22,Amazon Prime Terms,amazon photo term of use
25,Amazon Prime Terms,kindle store term of use
28,Amazon Prime Terms,membership cancellation
29,Amazon Prime Terms,if you signed up for your prime membership directly through u you may cancel your prime membership any time by visiting your account and adjusting your membership setting
30,Amazon Prime Terms,if you cancel within 3 business day of signing up for or converting from free trial to paid membership we will refund your full membership fee
31,Amazon Prime Terms,provided that we may charge you or withhold from your refund the value of prime benefit used by you and your account during this 3 business day period
32,Amazon Prime Terms,if you cancel at any other time we will refund your full membership fee only if you and your account did not make any eligible purchase or take advantage of prime benefit since your latest prime membership charge
33,Amazon Prime Terms,if you signed up for your prime membership through third party you may need to contact the third party to cancel your membership or receive any refund under it applicable policy
34,Amazon Prime Terms,prime membership redeemed through prime gift code or promotional code are not refundable shipping benefit and eligible purchase
35,Amazon Prime Terms,prime shipping benefit depend upon inventory availability order deadline and in some case the shipping address
36,Amazon Prime Terms,they are limited to certain product sold by amazon com or third party seller participating in prime on the amazon com website and to certain product on third party website that offer prime shipping benefit
37,Amazon Prime Terms,product eligible for prime will be designated a such on their product page
38,Amazon Prime Terms,some special product order handling fee and or tax may still apply to eligible purchase
39,Amazon Prime Terms,if only some item in your order are eligible for prime you will pay applicable shipping charge for the ineligible item
40,Amazon Prime Terms,changing or combining order or changing your shipping address speed or preference might affect prime eligibility
41,Amazon Prime Terms,certain purchase may only be entitled to standard shipping because of their size weight and other shipping characteristic
43,Amazon Prime Terms,we may exclude product with special shipping characteristic at our discretion
44,Amazon Prime Terms,the prime section of our help page provides information about eligible item shipping cost shipping speed and shipping destination
45,Amazon Prime Terms,other benefit and supplemental membership
46,Amazon Prime Terms,click here for information about additional prime benefit
47,Amazon Prime Terms,we also offer prime member supplemental membership which are subject to these term require you to be prime member and may have additional fee and term
48,Amazon Prime Terms,a used in these term prime applies to all supplemental membership
49,Amazon Prime Terms,click here for more information about supplemental membership other limitation
51,Amazon Prime Terms,we reserve the right to accept or refuse membership in our discretion
54,Amazon Prime Terms,we may send you email and other communication related to prime and your prime membership regardless of any setting or preference related to your amazon account
57,Amazon Prime Terms,you may not transfer or assign your prime membership or any prime benefit including promotion code for prime membership or benefit except a allowed in these term
60,Amazon Prime Terms,prime member are not permitted to purchase product for the purpose of resale rental or to ship to their customer or potential customer using prime benefit
63,Amazon Prime Terms,some prime benefit may require certain purchase threshold have quantity or shipping address limitation or require member to meet specified criterion in order to access them
66,Amazon Prime Terms,from time to time amazon may choose in it sole discretion to add or remove prime membership benefit
69,Amazon Prime Terms,fee and renewal the membership fee for prime is stated in the prime section of our help page
70,Amazon Prime Terms,from time to time we may offer different membership term and the fee for such membership may vary
71,Amazon Prime Terms,the prime membership fee is non refundable except a expressly set forth in these term
72,Amazon Prime Terms,tax may apply on either or both of the membership fee and the reduced shipping charge for prime
74,Amazon Prime Terms,if you sign up for your prime membership through u and are billed by u then the billing term described below will apply to your membership
75,Amazon Prime Terms,if all eligible payment method we have on file for you are declined for payment of your membership fee you must provide u new eligible payment method promptly or your membership will be canceled
76,Amazon Prime Terms,if you provide u with new eligible payment method and are successfully charged your new membership period will be based on the original renewal date and not the date of the successful charge
