ID,Vendor,Text
0,Youtube Terms of Service,what in these term
1,Youtube Terms of Service,this index is designed to help you understand some of the key update we ve made to our term of service term
2,Youtube Terms of Service,we hope this serf a useful guide but please ensure you read the term in full
3,Youtube Terms of Service,welcome to youtube
4,Youtube Terms of Service,this section outline our relationship with you
5,Youtube Terms of Service,it includes description of the service defines our agreement and name your service provider
6,Youtube Terms of Service,who may use the service
7,Youtube Terms of Service,this section set out certain requirement for use of the service and defines category of user
8,Youtube Terms of Service,your use of the service
9,Youtube Terms of Service,this section explains your right to use the service and the condition that apply to your use of the service
10,Youtube Terms of Service,it also explains how we may make change to the service
11,Youtube Terms of Service,your content and conduct
12,Youtube Terms of Service,this section applies to user who provide content to the service
13,Youtube Terms of Service,it defines the scope of the permission that you grant by uploading your content and includes your agreement not to upload anything that infringes on anyone else right
14,Youtube Terms of Service,account suspension and termination
15,Youtube Terms of Service,this section explains how you and youtube may terminate this relationship
16,Youtube Terms of Service,about software in the service
17,Youtube Terms of Service,this section includes detail about software on the service
18,Youtube Terms of Service,other legal term
19,Youtube Terms of Service,this section includes our service commitment to you it also explains that there are some thing we will not be responsible for
20,Youtube Terms of Service,about this agreement
21,Youtube Terms of Service,this section includes some further important detail about our contract including what to expect if we need to make change to these term
22,Youtube Terms of Service,or which law applies to them
23,Youtube Terms of Service,term of service
24,Youtube Terms of Service,dated november 18 2020
25,Youtube Terms of Service,welcome to youtube
27,Youtube Terms of Service,introduction
28,Youtube Terms of Service,thank you for using the youtube platform and the product service and feature we make available to you a part of the platform collectively the service
31,Youtube Terms of Service,our service
33,Youtube Terms of Service,the service allows you to discover watch and share video and other content provides forum for people to connect inform and inspire others across the globe and act a distribution platform for original content creator and advertiser large and small
34,Youtube Terms of Service,we provide lot of information about our product and how to use them in our help center
35,Youtube Terms of Service,among other thing you can find out about youtube kid the youtube partner program and youtube paid membership and purchase where available you can also read all about enjoying content on other device like your television your game console or google home
38,Youtube Terms of Service,your service provider
40,Youtube Terms of Service,the entity providing the service is google llc company operating under the law of delaware located at 1600 amphitheatre parkway mountain view ca 94043 referred to a youtube we u or our
41,Youtube Terms of Service,reference to youtube affiliate in these term mean the other company within the alphabet inc
42,Youtube Terms of Service,corporate group now or in the future
44,Youtube Terms of Service,applicable term
45,Youtube Terms of Service,your use of the service is subject to these term the youtube community guideline and the policy safety and copyright policy which may be updated from time to time together this agreement
46,Youtube Terms of Service,your agreement with u will also include the advertising on youtube policy if you provide advertising or sponsorship to the service or incorporate paid promotion in your content
47,Youtube Terms of Service,any other link or reference provided in these term are for informational use only and are not part of the agreement
48,Youtube Terms of Service,please read this agreement carefully and make sure you understand it
49,Youtube Terms of Service,if you do not understand the agreement or do not accept any part of it then you may not use the service
50,Youtube Terms of Service,who may use the service
52,Youtube Terms of Service,age requirement
53,Youtube Terms of Service,you must be at least 13 year old to use the service
54,Youtube Terms of Service,however child of all age may use youtube kid where available if enabled by parent or legal guardian
56,Youtube Terms of Service,permission by parent or guardian
58,Youtube Terms of Service,if you are under 18 you represent that you have your parent or guardian permission to use the service
59,Youtube Terms of Service,please have them read this agreement with you
60,Youtube Terms of Service,if you are parent or legal guardian of user under the age of 18 by allowing your child to use the service you are subject to the term of this agreement and responsible for your child activity on the service
61,Youtube Terms of Service,you can find tool and resource to help you manage your family experience on youtube in our help center and through google family link
63,Youtube Terms of Service,business
64,Youtube Terms of Service,if you are using the service on behalf of company or organisation you represent that you have authority to act on behalf of that entity and that such entity accepts this agreement
65,Youtube Terms of Service,your use of the service
67,Youtube Terms of Service,content on the service
68,Youtube Terms of Service,the content on the service includes video audio for example music and other sound graphic photo text such a comment and script branding including trade name trademark service mark or logo interactive feature software metric and other material whether provided by you youtube or third party collectively content
69,Youtube Terms of Service,content is the responsibility of the person or entity that provides it to the service
70,Youtube Terms of Service,youtube is under no obligation to host or serve content
71,Youtube Terms of Service,if you see any content you believe doe not comply with this agreement including by violating the community guideline or the law you can report it to u
73,Youtube Terms of Service,google account and youtube channel
74,Youtube Terms of Service,you can use part of the service such a browsing and searching for content without having google account
75,Youtube Terms of Service,however you do need google account to use some feature
76,Youtube Terms of Service,with google account you may be able to like video subscribe to channel create your own youtube channel and more
77,Youtube Terms of Service,you can follow these instruction to create google account
78,Youtube Terms of Service,creating youtube channel will give you access to additional feature and function such a uploading video making comment or creating playlist where available
79,Youtube Terms of Service,here are some detail about how to create your own youtube channel
80,Youtube Terms of Service,to protect your google account keep your password confidential
81,Youtube Terms of Service,you should not reuse your google account password on third party application
82,Youtube Terms of Service,learn more about keeping your google account secure including what to do if you learn of any unauthorized use of your password or google account
84,Youtube Terms of Service,your information
85,Youtube Terms of Service,our privacy policy explains how we treat your personal data and protect your privacy when you use the service
86,Youtube Terms of Service,the youtube kid privacy notice provides additional information about our privacy practice that are specific to youtube kid
87,Youtube Terms of Service,we will process any audio or audiovisual content uploaded by you to the service in accordance with the youtube data processing term except in case where you uploaded such content for personal purpose or household activity learn more
89,Youtube Terms of Service,permission and restriction
90,Youtube Terms of Service,you may access and use the service a made available to you a long a you comply with this agreement and applicable law
