ID,Vendor,Text
3,iTunes Terms of Service,apple medium service term and condition
13,iTunes Terms of Service,these term and condition create contract between you and apple the agreement
14,iTunes Terms of Service,please read the agreement carefully
15,iTunes Terms of Service,to confirm your understanding and acceptance of the agreement click agree
17,iTunes Terms of Service,introduction to our service
18,iTunes Terms of Service,this agreement governs your use of apple service service through which you can buy get license rent or subscribe to content apps a defined below and other in app service collectively content
19,iTunes Terms of Service,content may be offered through the service by apple or third party
20,iTunes Terms of Service,our service are available for your use in your country or territory of residence home country
21,iTunes Terms of Service,by creating an account for use of the service in particular country or territory you are specifying it a your home country
22,iTunes Terms of Service,to use our service you need compatible hardware software latest version recommended and sometimes required and internet access fee may apply
23,iTunes Terms of Service,our service performance may be affected by these factor
25,iTunes Terms of Service,using our service
26,iTunes Terms of Service,payment tax and refund
27,iTunes Terms of Service,you can acquire content on our service for free or for charge either of which is referred to a transaction each transaction is an electronic contract between you and apple and or you and the entity providing the content on our service
28,iTunes Terms of Service,however if you are customer of apple distribution international ltd apple distribution international ltd
29,iTunes Terms of Service,is the merchant of record for the content you acquire from certain service g apple book app store etc a displayed on the product page and or during the acquisition process for the relevant service
30,iTunes Terms of Service,in such case you acquire the content from apple distribution international ltd which is licensed by the content provider g app provider a defined below book publisher etc
31,iTunes Terms of Service,when you make your first transaction we will ask you to choose how frequently we should ask for your password for future transaction
32,iTunes Terms of Service,if you enable touch id for transaction we will ask you to authenticate all transaction with your fingerprint and if you enable face id for transaction we will ask you to authenticate all transaction using facial recognition
33,iTunes Terms of Service,manage your password setting at any time by following these instruction http support apple com ht204030
34,iTunes Terms of Service,apple will charge your selected payment method such a your credit card debit card gift card code or other method available in your home country for any paid transaction including any applicable tax
35,iTunes Terms of Service,if you have also added it to your apple wallet apple may charge your selected payment method in apple wallet using apple pay
36,iTunes Terms of Service,if we cannot charge your selected payment method for any reason such a expiration or insufficient fund you remain responsible for any uncollected amount and we will attempt to charge the payment method again a you may update your payment method information
37,iTunes Terms of Service,if you pre order content you will be charged when the content is delivered to you unless you cancel prior to the content availability
38,iTunes Terms of Service,in accordance with local law apple may update information regarding your selected payment method if provided such information by your financial institution
39,iTunes Terms of Service,for detail about how transaction are billed please visit http support apple com ht5582
40,iTunes Terms of Service,all transaction are final
41,iTunes Terms of Service,content price may change at any time
42,iTunes Terms of Service,if technical problem prevent or unreasonably delay delivery of content your exclusive and sole remedy is either replacement of the content or refund of the price paid a determined by apple
43,iTunes Terms of Service,from time to time apple may refuse refund request if we find evidence of fraud refund abuse or other manipulative behavior that entitles apple to corresponding counterclaim
44,iTunes Terms of Service,term related to store credit and gift card code are available here http www apple com legal internet service itunes giftcards
45,iTunes Terms of Service,account
46,iTunes Terms of Service,using our service and accessing your content may require an apple id
47,iTunes Terms of Service,an apple id is the account you use across apple ecosystem
48,iTunes Terms of Service,use of game center is subject to this agreement and also requires game center account
49,iTunes Terms of Service,your account is valuable and you are responsible for maintaining it confidentiality and security
50,iTunes Terms of Service,apple is not responsible for any loss arising from the unauthorized use of your account
51,iTunes Terms of Service,please contact apple if you suspect that your account ha been compromised
52,iTunes Terms of Service,you must be age 13 or equivalent minimum age in your home country a set forth in the registration process to create an account and use our service
53,iTunes Terms of Service,apple id for person under this age can be created by parent or legal guardian using family sharing or by an approved educational institution
54,iTunes Terms of Service,privacy
55,iTunes Terms of Service,your use of our service is subject to apple privacy policy which is available at http www apple com legal privacy
56,iTunes Terms of Service,service and content usage rule
