ID,Vendor,Text
0,Google Terms of Service,google term of serviceeffective march 31 2020 archived version download pdfwhat covered in these termswe know it tempting to skip these term of service but it important to establish what you can expect from u a you use google service and what we expect from you these term of service reflect the way google business work the law that apply to our company and certain thing we ve always believed to be true
1,Google Terms of Service,a result these term of service help define google relationship with you a you interact with our service
2,Google Terms of Service,for example these term include the following topic heading
4,Google Terms of Service,what you can expect from u which describes how we provide and develop our service
5,Google Terms of Service,what we expect from you which establishes certain rule for using our service
6,Google Terms of Service,content in google service which describes the intellectual property right to the content you find in our service whether that content belongs to you google or others
7,Google Terms of Service,in case of problem or disagreement which describes other legal right you have and what to expect in case someone violates these term
9,Google Terms of Service,understanding these term is important because by using our service you re agreeing to these term
10,Google Terms of Service,besides these term we also publish privacy policy
11,Google Terms of Service,although it not part of these term we encourage you to read it to better understand how you can update manage export and delete your information service providergoogle service are provided by and you re contracting with
12,Google Terms of Service,google llcorganized under the law of the state of delaware usa and operating under the law of the usa
13,Google Terms of Service,1600 amphitheatre parkwaymountain view california 94043usaage requirementsif you re under the age required to manage your own google account you must have your parent or legal guardian permission to use google account
14,Google Terms of Service,please have your parent or legal guardian read these term with you
15,Google Terms of Service,if you re parent or legal guardian and you allow your child to use the service then these term apply to you and you re responsible for your child activity on the service
16,Google Terms of Service,some google service have additional age requirement a described in their service specific additional term and policy contentsintroductionyour relationship with googleusing google servicescontent in google servicessoftware in google servicesin case of problem or disagreementsabout these termsyour relationship with googlethese term help define the relationship between you and google
17,Google Terms of Service,broadly speaking we give you permission to use our service if you agree to follow these term which reflect how google business work and how we earn money
18,Google Terms of Service,when we speak of google we u and our we mean google llc and it affiliate what you can expect from usprovide broad range of useful serviceswe provide broad range of service that are subject to these term including
19,Google Terms of Service,apps and site like search and map
20,Google Terms of Service,platform like google play
21,Google Terms of Service,integrated service like map embedded in other company apps or site
22,Google Terms of Service,device like google home
24,Google Terms of Service,our service are designed to work together making it easier for you to move from one activity to the next
25,Google Terms of Service,for example map can remind you to leave for an appointment that appears in your google calendar improve google serviceswe re constantly developing new technology and feature to improve our service
26,Google Terms of Service,for example we invest in artificial intelligence that us machine learning to detect and block spam and malware and to provide you with innovative feature like simultaneous translation
27,Google Terms of Service,a part of this continual improvement we sometimes add or remove feature and functionality increase or decrease limit to our service and start offering new service or stop offering old one
28,Google Terms of Service,if we make material change that negatively impact your use of our service or if we stop offering service we ll provide you with reasonable advance notice and an opportunity to export your content from your google account using google takeout except in urgent situation such a preventing abuse responding to legal requirement or addressing security and operability issue what we expect from youfollow these term and service specific additional termsthe permission we give you to use our service continues a long a you meet your responsibility in
30,Google Terms of Service,these term
33,Google Terms of Service,service specific additional term which could for example include thing like additional age requirement
35,Google Terms of Service,we also make various policy help center and other resource available to you to answer common question and to set expectation about using our service
36,Google Terms of Service,these resource include our privacy policy copyright help center safety center and other page accessible from our policy site
37,Google Terms of Service,although we give you permission to use our service we retain any intellectual property right we have in the service respect othersmany of our service allow you to interact with others
38,Google Terms of Service,we want to maintain respectful environment for everyone which mean you must follow these basic rule of conduct
39,Google Terms of Service,comply with applicable law including export control sanction and human trafficking law
40,Google Terms of Service,respect the right of others including privacy and intellectual property right
41,Google Terms of Service,don abuse or harm others or yourself or threaten or encourage such abuse or harm for example by misleading defrauding defaming bullying harassing or stalking others
42,Google Terms of Service,don abuse harm interfere with or disrupt the service
44,Google Terms of Service,our service specific additional term and policy provide additional detail about appropriate conduct that everyone using those service must follow
45,Google Terms of Service,if you find that others aren following these rule many of our service allow you to report abuse
46,Google Terms of Service,if we act on report of abuse we also provide fair process a described in the taking action in case of problem section permission to use your contentsome of our service are designed to let you upload submit store send receive or share your content
47,Google Terms of Service,you have no obligation to provide any content to our service and you re free to choose the content that you want to provide
48,Google Terms of Service,if you choose to upload or share content please make sure you have the necessary right to do so and that the content is lawful licenseyour content remains yours which mean that you retain any intellectual property right that you have in your content
49,Google Terms of Service,for example you have intellectual property right in the creative content you make such a review you write
50,Google Terms of Service,or you may have the right to share someone else creative content if they ve given you their permission
51,Google Terms of Service,we need your permission if your intellectual property right restrict our use of your content
52,Google Terms of Service,you provide google with that permission through this license what coveredthis license cover your content if that content is protected by intellectual property right what not covered
53,Google Terms of Service,this license doesn affect your privacy right it only about your intellectual property right
54,Google Terms of Service,this license doesn cover these type of content
55,Google Terms of Service,publicly available factual information that you provide such a correction to the address of local business
56,Google Terms of Service,that information doesn require license because it considered common knowledge that everyone free to use
57,Google Terms of Service,feedback that you offer such a suggestion to improve our service
58,Google Terms of Service,feedback is covered in the service related communication section below
61,Google Terms of Service,scopethis license is
62,Google Terms of Service,worldwide which mean it valid anywhere in the world
63,Google Terms of Service,non exclusive which mean you can license your content to others
64,Google Terms of Service,royalty free which mean there are no fee for this license
65,Google Terms of Service,rightsthis license allows google to
67,Google Terms of Service,host reproduce distribute communicate and use your content for example to save your content on our system and make it accessible from anywhere you go
68,Google Terms of Service,publish publicly perform or publicly display your content if you ve made it visible to others
69,Google Terms of Service,modify and create derivative work based on your content such a reformatting or translating it
70,Google Terms of Service,sublicense these right to
72,Google Terms of Service,other user to allow the service to work a designed such a enabling you to share photo with people you choose
73,Google Terms of Service,our contractor who ve signed agreement with u that are consistent with these term only for the limited purpose described in the purpose section below
75,Google Terms of Service,purposethis license is for the limited purpose of
78,Google Terms of Service,operating and improving the service which mean allowing the service to work a designed and creating new feature and functionality
79,Google Terms of Service,this includes using automated system and algorithm to analyze your content
80,Google Terms of Service,for spam malware and illegal content
81,Google Terms of Service,to recognize pattern in data such a determining when to suggest new album in google photo to keep related photo together
82,Google Terms of Service,to customize our service for you such a providing recommendation and personalized search result content and ad which you can change or turn off in ad setting
83,Google Terms of Service,this analysis occurs a the content is sent received and when it is stored
85,Google Terms of Service,using content you ve shared publicly to promote the service
86,Google Terms of Service,for example to promote google app we might quote review you wrote
87,Google Terms of Service,or to promote google play we might show screenshot of the app you offer in the play store
89,Google Terms of Service,developing new technology and service for google consistent with these term
90,Google Terms of Service,durationthis license last for a long a your content is protected by intellectual property right
91,Google Terms of Service,if you remove from our service any content that covered by this license then our system will stop making that content publicly available in reasonable amount of time
92,Google Terms of Service,there are two exception
94,Google Terms of Service,if you already shared your content with others before removing it
95,Google Terms of Service,for example if you shared photo with friend who then made copy of it or shared it again then that photo may continue to appear in your friend google account even after you remove it from your google account
96,Google Terms of Service,if you make your content available through other company service it possible that search engine including google search will continue to find and display your content a part of their search result
97,Google Terms of Service,using google servicesyour google accountif you meet these age requirement you can create google account for your convenience
98,Google Terms of Service,some service require that you have google account in order to work for example to use gmail you need google account so that you have place to send and receive your email
99,Google Terms of Service,you re responsible for what you do with your google account including taking reasonable step to keep your google account secure and we encourage you to regularly use the security checkup using google service on behalf of an organizationmany organization such a business non profit and school take advantage of our service
100,Google Terms of Service,to use our service on behalf of an organization
101,Google Terms of Service,an authorized representative of that organization must agree to these term
102,Google Terms of Service,your organization administrator may assign google account to you
103,Google Terms of Service,that administrator might require you to follow additional rule and may be able to access or disable your google account
104,Google Terms of Service,service related communicationsto provide you with our service we sometimes send you service announcement and other information
105,Google Terms of Service,to learn more about how we communicate with you see google privacy policy
106,Google Terms of Service,if you choose to give u feedback such a suggestion to improve our service we may act on your feedback without obligation to you content in google servicesyour contentsome of our service give you the opportunity to make your content publicly available for example you might post product or restaurant review that you wrote or you might upload blog post that you created
108,Google Terms of Service,see the permission to use your content section for more about your right in your content and how your content is used in our service
109,Google Terms of Service,see the removing your content section to learn why and how we might remove user generated content from our service
111,Google Terms of Service,if you think someone is infringing your intellectual property right you can send u notice of the infringement and we ll take appropriate action
112,Google Terms of Service,for example we suspend or close the google account of repeat copyright infringers a described in our copyright help center google contentsome of our service include content that belongs to google for example many of the visual illustration you see in google map
113,Google Terms of Service,you may use google content a allowed by these term and any service specific additional term but we retain any intellectual property right that we have in our content
114,Google Terms of Service,don remove obscure or alter any of our branding logo or legal notice
115,Google Terms of Service,if you want to use our branding or logo please see the google brand permission page other contentfinally some of our service give you access to content that belongs to other people or organization for example store owner description of their own business or newspaper article displayed in google news
116,Google Terms of Service,you may not use this content without that person or organization permission or a otherwise allowed by law
117,Google Terms of Service,the view expressed in other people or organization content are theirs and don necessarily reflect google view software in google servicessome of our service include downloadable software
118,Google Terms of Service,we give you permission to use that software a part of the service the license we give you is
119,Google Terms of Service,worldwide which mean it valid anywhere in the world
120,Google Terms of Service,non exclusive which mean that we can license the software to others
121,Google Terms of Service,royalty free which mean there are no fee for this license
122,Google Terms of Service,personal which mean it doesn extend to anyone else
123,Google Terms of Service,non assignable which mean you re not allowed to assign the license to anyone else
125,Google Terms of Service,some of our service include software that offered under open source license term that we make available to you
126,Google Terms of Service,sometimes there are provision in the open source license that explicitly override part of these term so please be sure to read those license
127,Google Terms of Service,you may not copy modify distribute sell or lease any part of our service or software
128,Google Terms of Service,also you may not reverse engineer or attempt to extract any of our source code unless you have our written permission or applicable law let you do so
129,Google Terms of Service,when service requires or includes downloadable software that software sometimes update automatically on your device once new version or feature is available
130,Google Terms of Service,some service let you adjust your automatic update setting in case of problem or disagreementsby law you have the right to 1 certain quality of service and 2 way to fix problem if thing go wrong
131,Google Terms of Service,these term don limit or take away any of those right
132,Google Terms of Service,for example if you re consumer then you continue to enjoy all legal right granted to consumer under applicable law warrantywe provide our service using reasonable skill and care
133,Google Terms of Service,if we don meet the quality level described in this warranty you agree to tell u and we ll work with you to try to resolve the issue disclaimersthe only commitment we make about our service including the content in the service the specific function of our service or their reliability availability or ability to meet your need are 1 described in the warranty section 2 stated in the service specific additional term or 3 provided under applicable law
134,Google Terms of Service,we don make any other commitment about our service
135,Google Terms of Service,and unless required by law we don provide implied warranty such a the implied warranty of merchantability fitness for particular purpose and non infringement liabilitiesfor all usersthese term only limit our responsibility a allowed by applicable law
136,Google Terms of Service,specifically these term don limit google liability for death or personal injury fraud fraudulent misrepresentation gross negligence or willful misconduct
137,Google Terms of Service,other than the right and responsibility described in this section in case of problem or disagreement google won be responsible for any other loss unless they re caused by our breach of these term or service specific additional term for business user and organization onlyif you re business user or organization then to the extent allowed by applicable law
139,Google Terms of Service,you ll indemnify google and it director officer employee and contractor for any third party legal proceeding including action by government authority arising out of or relating to your unlawful use of the service or violation of these term or service specific additional term
140,Google Terms of Service,this indemnity cover any liability or expense arising from claim loss damage judgment fine litigation cost and legal fee
141,Google Terms of Service,google won be responsible for the following liability
143,Google Terms of Service,loss of profit revenue business opportunity goodwill or anticipated saving
144,Google Terms of Service,indirect or consequential loss
145,Google Terms of Service,punitive damage
147,Google Terms of Service,google total liability arising out of or relating to these term is limited to the greater of 1 u 500 or 2 125 of the fee that you paid to use the relevant service in the 12 month before the breach
149,Google Terms of Service,if you re legally exempt from certain responsibility including indemnification then those responsibility don apply to you under these term
150,Google Terms of Service,for example the united nation enjoys certain immunity from legal obligation and these term don override those immunity taking action in case of problemsbefore taking action a described below we ll provide you with advance notice when reasonably possible describe the reason for our action and give you an opportunity to fix the problem unless we reasonably believe that doing so would
152,Google Terms of Service,cause harm or liability to user third party or google
153,Google Terms of Service,violate the law or legal enforcement authority order
154,Google Terms of Service,compromise an investigation
155,Google Terms of Service,compromise the operation integrity or security of our service
156,Google Terms of Service,removing your contentif we reasonably believe that any of your content 1 breach these term service specific additional term or policy 2 violates applicable law or 3 could harm our user third party or google then we reserve the right to take down some or all of that content in accordance with applicable law
157,Google Terms of Service,example include child pornography content that facilitates human trafficking or harassment and content that infringes someone else intellectual property right suspending or terminating your access to google servicesgoogle reserve the right to suspend or terminate your access to the service or delete your google account if any of these thing happen
159,Google Terms of Service,you materially or repeatedly breach these term service specific additional term or policy
160,Google Terms of Service,we re required to do so to comply with legal requirement or court order
161,Google Terms of Service,we reasonably believe that your conduct cause harm or liability to user third party or google for example by hacking phishing harassing spamming misleading others or scraping content that doesn belong to you
163,Google Terms of Service,if you believe your google account ha been suspended or terminated in error you can appeal
164,Google Terms of Service,of course you re always free to stop using our service at any time
165,Google Terms of Service,if you do stop using service we appreciate knowing why so that we can continue improving our service settling dispute governing law and courtsfor information about how to contact google please visit our contact page
166,Google Terms of Service,california law will govern all dispute arising out of or relating to these term service specific additional term or any related service regardless of conflict of law rule
167,Google Terms of Service,these dispute will be resolved exclusively in the federal or state court of santa clara county california usa and you and google consent to personal jurisdiction in those court
168,Google Terms of Service,to the extent that applicable local law prevents certain dispute from being resolved in california court then you can file those dispute in your local court
169,Google Terms of Service,likewise if applicable local law prevents your local court from applying california law to resolve these dispute then these dispute will be governed by the applicable local law of your country state or other place of residence about these termsby law you have certain right that can be limited by contract like these term of service
170,Google Terms of Service,these term are in no way intended to restrict those right
171,Google Terms of Service,these term describe the relationship between you and google
172,Google Terms of Service,they don create any legal right for other people or organization even if others benefit from that relationship under these term
173,Google Terms of Service,we want to make these term easy to understand so we ve used example from our service
174,Google Terms of Service,but not all service mentioned may be available in your country
175,Google Terms of Service,if these term conflict with the service specific additional term the additional term will govern for that service
176,Google Terms of Service,if it turn out that particular term is not valid or enforceable this will not affect any other term
177,Google Terms of Service,if you don follow these term or the service specific additional term and we don take action right away that doesn mean we re giving up any right that we may have such a taking action in the future
178,Google Terms of Service,we may update these term and service specific additional term 1 to reflect change in our service or how we do business for example when we add new service feature technology pricing or benefit or remove old one 2 for legal regulatory or security reason or 3 to prevent abuse or harm
