ID,Vendor,Text
0,Amazon Privacy,amazon
1,Amazon Privacy,com privacy notice last updated january 1 2020
2,Amazon Privacy,to see prior version click here
3,Amazon Privacy,we know that you care how information about you is used and shared and we appreciate your trust that we will do so carefully and sensibly
4,Amazon Privacy,this privacy notice describes how amazon
5,Amazon Privacy,com and it affiliate collectively amazon collect and process your personal information through amazon website device product service online and physical store and application that reference this privacy notice together amazon service
6,Amazon Privacy,by using amazon service you are consenting to the practice described in this privacy notice
7,Amazon Privacy,what personal information about customer doe amazon collect for what purpose doe amazon use your personal information what about cooky and other identifier doe amazon share your personal information how secure is information about me what about advertising what information can access what choice do have are child allowed to use amazon service eu u and swiss u privacy shield california consumer privacy act condition of use notice and revision related practice and information example of information collected what personal information about customer doe amazon collect we collect your personal information in order to provide and continually improve our product and service
8,Amazon Privacy,here are the type of personal information we collect information you give u we receive and store any information you provide in relation to amazon service
9,Amazon Privacy,click here to see example of what we collect
10,Amazon Privacy,you can choose not to provide certain information but then you might not be able to take advantage of many of our amazon service
11,Amazon Privacy,automatic information we automatically collect and store certain type of information about your use of amazon service including information about your interaction with content and service available through amazon service
12,Amazon Privacy,like many website we use cooky and other unique identifier and we obtain certain type of information when your web browser or device access amazon service and other content served by or on behalf of amazon on other website
13,Amazon Privacy,click here to see example of what we collect
14,Amazon Privacy,information from other source we might receive information about you from other source such a updated delivery and address information from our carrier which we use to correct our record and deliver your next purchase more easily
15,Amazon Privacy,click here to see additional example of the information we receive
16,Amazon Privacy,for what purpose doe amazon use your personal information we use your personal information to operate provide develop and improve the product and service that we offer our customer
17,Amazon Privacy,these purpose include purchase and delivery of product and service
18,Amazon Privacy,we use your personal information to take and handle order deliver product and service process payment and communicate with you about order product and service and promotional offer
19,Amazon Privacy,provide troubleshoot and improve amazon service
20,Amazon Privacy,we use your personal information to provide functionality analyze performance fix error and improve the usability and effectiveness of the amazon service
21,Amazon Privacy,recommendation and personalization
22,Amazon Privacy,we use your personal information to recommend feature product and service that might be of interest to you identify your preference and personalize your experience with amazon service
23,Amazon Privacy,provide voice image and camera service
24,Amazon Privacy,when you use our voice image and camera service we use your voice input image video and other personal information to respond to your request provide the requested service to you and improve our service
25,Amazon Privacy,for more information about alexa voice service click here
26,Amazon Privacy,comply with legal obligation
27,Amazon Privacy,in certain case we collect and use your personal information to comply with law
28,Amazon Privacy,for instance we collect from seller information regarding place of establishment and bank account information for identity verification and other purpose
29,Amazon Privacy,communicate with you
30,Amazon Privacy,we use your personal information to communicate with you in relation to amazon service via different channel e
31,Amazon Privacy,by phone email chat
32,Amazon Privacy,advertising
33,Amazon Privacy,we use your personal information to display interest based ad for feature product and service that might be of interest to you
34,Amazon Privacy,we do not use information that personally identifies you to display interest based ad
35,Amazon Privacy,to learn more please read our interest based ad notice
36,Amazon Privacy,fraud prevention and credit risk
37,Amazon Privacy,we use personal information to prevent and detect fraud and abuse in order to protect the security of our customer amazon and others
38,Amazon Privacy,we may also use scoring method to ass and manage credit risk
39,Amazon Privacy,what about cooky and other identifier to enable our system to recognize your browser or device and to provide and improve amazon service we use cooky and other identifier
