ID,Vendor,Text
0,Apple Privacy,privacy policy the apple privacy policy wa updated on december 31 2019
1,Apple Privacy,your privacy is important to apple so we ve developed privacy policy that cover how we collect use disclose transfer and store your personal information
2,Apple Privacy,in addition to this privacy policy we provide data and privacy information imbedded in our product connected with our data amp
3,Apple Privacy,privacy icon for certain feature that ask to use your personal information
4,Apple Privacy,you can review this information before enabling these feature in setting related to those feature and or online at apple
5,Apple Privacy,com legal privacy
6,Apple Privacy,please take moment to familiarize yourself with our privacy practice and contact u if you have any question
7,Apple Privacy,your california privacy disclosure information regarding commercial electronic message in canadaapple health research apps privacy policy collection and use of personal information personal information is data that can be used to identify or contact single person
8,Apple Privacy,you may be asked to provide your personal information anytime you are in contact with apple or an apple affiliated company
9,Apple Privacy,apple and it affiliate may share this personal information with each other and use it consistent with this privacy policy
10,Apple Privacy,they may also combine it with other information to provide and improve our product service content and advertising
11,Apple Privacy,you are not required to provide the personal information that we have requested but if you chose not to do so in many case we will not be able to provide you with our product or service or respond to any query you may have
12,Apple Privacy,here are some example of the type of personal information apple may collect and how we may use it what personal information we collect when you create an apple id apply for commercial credit purchase product download software update register for class at an apple retail store connect to our service contact u including by social medium or participate in an online survey we may collect variety of information including your name mailing address phone number email address contact preference device identifier ip address location information credit card information and profile information where the contact is via social medium
13,Apple Privacy,when you share your content with family and friend using apple product send gift certificate and product or invite others to participate in apple service or forum apple may collect the information you provide about those people such a name mailing address email address and phone number
14,Apple Privacy,apple will use such information to fulfill your request provide the relevant product or service or for anti fraud purpose
15,Apple Privacy,in certain jurisdiction we may ask for government issued id in limited circumstance including when setting up wireless account and activating your device for the purpose of extending commercial credit managing reservation or a required by law
16,Apple Privacy,how we use your personal information we may process your personal information for the purpose described in this privacy policy with your consent for compliance with legal obligation to which apple is subject for the performance of contract to which you are party in order to protect your vital interest or when we have assessed it is necessary for the purpose of the legitimate interest pursued by apple or third party to whom it may be necessary to disclose information
17,Apple Privacy,if you have question about this legal basis you can contact the data protection officer
18,Apple Privacy,the personal information we collect allows u to keep you posted on apple latest product announcement software update and upcoming event
19,Apple Privacy,if you don want to be on our mailing list you can opt out anytime by updating your preference
20,Apple Privacy,we also use personal information to help u create develop operate deliver and improve our product service content and advertising and for loss prevention and anti fraud purpose
21,Apple Privacy,we may also use your personal information for account and network security purpose including in order to protect our service for the benefit of all our user and pre screening or scanning uploaded content for potentially illegal content including child sexual exploitation material
22,Apple Privacy,where we use your information for anti fraud purpose it arises from the conduct of an online transaction with u
23,Apple Privacy,we limit our us of data for anti fraud purpose to those which are strictly necessary and within our assessed legitimate interest to protect our customer and our service
24,Apple Privacy,for certain online transaction we may also validate the information provided by you with publicly accessible source
25,Apple Privacy,we may use your personal information including date of birth to verify identity assist with identification of user and to determine appropriate service
26,Apple Privacy,for example we may use date of birth to determine the age of apple id account holder
27,Apple Privacy,from time to time we may use your personal information to send important notice such a communication about purchase and change to our term condition and policy
28,Apple Privacy,because this information is important to your interaction with apple you may not opt out of receiving these communication
