ID,Vendor,Text
0,Cloudant Privacy,ibm privacy statement this privacy statement is effective a of 21 september 2020
1,Cloudant Privacy,the previous version of this statement is available here pdf 173 kb
2,Cloudant Privacy,at ibm we recognize the importance of protecting your personal information and are committed to processing it responsibly and in compliance with applicable data protection law in all country in which ibm operates
3,Cloudant Privacy,this privacy statement describes ibm general privacy practice that apply to personal information we collect use and share about our client business partner supplier and other organization with which ibm ha or contemplates business relationship a well a the individual working for them
4,Cloudant Privacy,this privacy statement is supplemented by the ibm online privacy statement which provides more information in the online context including recruitment
5,Cloudant Privacy,we may provide additional or more specific information on the collection or use of personal information on website or related to specific product or service
6,Cloudant Privacy,why and how we collect and use your personal information we may collect your personal information a an individual for various purpose such a the following access and use of website or other online service when entering one of our website or using an online service we will record information necessary to provide you with access for the operation of the website and for u to comply with security and legal requirement in relation to operating our site such a password ip address and browser setting
7,Cloudant Privacy,we also collect information about your activity during your visit in order to personalize your website experience such a recording your preference and setting and to collect statistic to help u improve and further develop our website product and service
8,Cloudant Privacy,responding to your request for information order or support when you contact u online or offline in connection with request for information to order product or service to provide you with support or to participate in forum or other social computing tool we collect information necessary to fulfill your request to grant you access to the product or service to provide you with support and to be able to contact you
9,Cloudant Privacy,for instance we collect your name and contact information detail about your request and your agreement with u and the fulfillment delivery and invoicing of your order and we may include client satisfaction survey information
10,Cloudant Privacy,we retain such information for administrative purpose defending our right and in connection with our relationship with you
11,Cloudant Privacy,when you provide your name and contact information to register in connection with such request the registration may serve to identify you when you visit our website
12,Cloudant Privacy,for ordering of most service and product we require you to have registered an ibmid
13,Cloudant Privacy,registration may also allow you to customize and control your privacy setting
14,Cloudant Privacy,your use of ibm cloud service we collect information about your use of ibm cloud service to enable product feature to operate improve your user experience tailor our interaction with you inform our client on the overall use of the service provide support and improve and develop our product and service
15,Cloudant Privacy,for detail regarding the technology we employ the personal information we collect a well a how to control or block tracking or to delete cooky please refer to the ibm online privacy statement
16,Cloudant Privacy,contacting employee of our client prospect partner and supplier in our relationship with client or prospect partner and supplier they also provide u with business contact information such a name business contact detail position or title of their employee contractor advisor and authorized user for purpose such a contract management fulfillment delivery of product and service provision of support invoicing and management of the service or the relationship
17,Cloudant Privacy,visitor information we register individual visiting our site and location name identification and business contact information and use camera supervision for reason of security and safety of person and belonging a well a for regulatory purpose
18,Cloudant Privacy,marketing most information we collect about you come from our direct interaction with you
19,Cloudant Privacy,when you register for an event we may collect information online or offline in relation to the event organization and during an event such a participation in session and survey result
20,Cloudant Privacy,we combine the personal information we collect to develop aggregate analysis and business intelligence for conducting our business and for marketing purpose
21,Cloudant Privacy,you can choose to receive information by email telephone or postal mail about our product and service
22,Cloudant Privacy,when visiting our website or using our service we may provide you with personalized information
23,Cloudant Privacy,you can always opt out from receiving personalized communication from ibm by setting your marketing communication preference here
24,Cloudant Privacy,for subscription please follow the unsubscribe instruction provided at the bottom of each email
25,Cloudant Privacy,more information can be found in the ibm online privacy statement
26,Cloudant Privacy,where we reference that we use your personal information in connection with request order transaction or agreement or preparing for the same or to provide you with service that you requested such a website we do this because it is necessary for the performance of an agreement with you
27,Cloudant Privacy,where we reference that we use your personal information in relation to marketing improvement or development of our product or service for reason of safety and security or regulatory requirement other than in connection with your agreement or request we do this on the basis of our or third party legitimate interest or with your consent
28,Cloudant Privacy,when we collect and use your personal information subject to the eu privacy legislation this may have consequence for your right
29,Cloudant Privacy,sharing of personal information a global organization offering wide range of product and service with business process management structure and technical system that cross border ibm ha implemented global policy along with standard and procedure for consistent protection of personal information
30,Cloudant Privacy,a global company we may share information about you with our subsidiary world wide and transfer it to country in the world where we do business in accordance with this privacy statement
31,Cloudant Privacy,between ibm controlled subsidiary we only grant access to personal information on need to know basis necessary for the purpose for which such access is granted
32,Cloudant Privacy,in some case ibm us supplier located in various country to collect use analyze and otherwise process personal information on it behalf
33,Cloudant Privacy,where appropriate ibm may also share your personal information with selected partner to help u provide you or the company you work for product or service or to fulfill your request or with your consent
34,Cloudant Privacy,when selecting our supplier and partner we take into account their data handling process
35,Cloudant Privacy,if ibm decides to sell buy merge or otherwise reorganize business in some country such transaction may involve the disclosure of personal information to prospective or actual purchaser or the receipt of such information from seller
36,Cloudant Privacy,it is ibm practice to require appropriate protection for personal information in these type of transaction
37,Cloudant Privacy,please be aware that in certain circumstance personal information may be subject to disclosure to government agency pursuant to judicial proceeding court order or legal process
38,Cloudant Privacy,we may also share your personal information to protect the right or property of ibm our business partner supplier or client and others when we have reasonable ground to believe that such right or property have been or could be affected
39,Cloudant Privacy,international transfer the international footprint of ibm involves large number of transfer of personal information between different subsidiary a well a to third party located in the country where we do business
40,Cloudant Privacy,some country have implemented transfer restriction for personal information in connection with which ibm take various measure including where required ibm implement standard contractual clause approved by the eu commission or similar contractual clause in other jurisdiction
41,Cloudant Privacy,this includes transfer to supplier or other third party
42,Cloudant Privacy,you can request copy of the eu standard contractual clause here
43,Cloudant Privacy,ibm complies with the apec cross border privacy rule cbpr system
44,Cloudant Privacy,ibm certified to the swiss u
45,Cloudant Privacy,privacy shield framework
46,Cloudant Privacy,while the eu u
47,Cloudant Privacy,privacy shield framework may no longer be used or relied upon for transfer of personal information ibm continues to comply with all eu u
48,Cloudant Privacy,privacy shield framework obligation
49,Cloudant Privacy,more information can be found here ibm privacy shield privacy policy andus department of commerce
50,Cloudant Privacy,back to top information security and accuracy we intend to protect your personal information and to maintain it accuracy
51,Cloudant Privacy,ibm implement reasonable physical administrative and technical safeguard to help u protect your personal information from unauthorized access use and disclosure
52,Cloudant Privacy,for example we encrypt certain sensitive personal information such a credit card information when we transmit such information over the internet
53,Cloudant Privacy,we also require that our supplier protect such information from unauthorized access use and disclosure
54,Cloudant Privacy,retention period we will not retain personal information longer than necessary to fulfill the purpose for which it is processed including the security of our processing complying with legal and regulatory obligation e
55,Cloudant Privacy,audit accounting and statutory retention term handling dispute and for the establishment exercise or defense of legal claim in the country where we do business
56,Cloudant Privacy,because the circumstance may vary depending on the context and the service the information provided in online privacy statement or provided in specific notice may provide more detailed information on applicable retention term
57,Cloudant Privacy,how to contact u if you have question related to this privacy statement please contact u by using this form
58,Cloudant Privacy,your message will be forwarded to the appropriate member of ibm data privacy team such a data protection officer or member of their team
59,Cloudant Privacy,where this is relevant the controller of your personal information is international business machine corporation ibm corp
60,Cloudant Privacy,1 north castle drive armonk new york united state unless indicated otherwise
61,Cloudant Privacy,where ibm corp
62,Cloudant Privacy,or subsidiary it control not established in the european economic area eea is required to appoint legal representative in the eea the representative for all such case is ibm international group b
63,Cloudant Privacy,johan huizingalaan 765 1066 vh amsterdam the netherlands
64,Cloudant Privacy,ibm corp
65,Cloudant Privacy,is not the controller in situation such a personal information processed in connection with contractual relationship or with entering into contractual relationship with specific ibm subsidiary
66,Cloudant Privacy,in this case the controller of personal information is the ibm contracting company which is the legal entity with which you or your employer have or will have the contract
67,Cloudant Privacy,personal information collected on the physical site or location of an ibm subsidiary
68,Cloudant Privacy,in this case that subsidiary is the controller of the personal information
69,Cloudant Privacy,your right you can request to access update delete or correct your personal information
70,Cloudant Privacy,you also have the right to object to direct marketing
71,Cloudant Privacy,you can access the request process here
72,Cloudant Privacy,you may have additional right pursuant to your local law applicable to the processing
73,Cloudant Privacy,more information can be found here
74,Cloudant Privacy,right to lodge complaint in the event you consider our processing of your personal information not to be compliant with the applicable data protection law you can lodge complaint directly with ibm by using this form
75,Cloudant Privacy,with the competent data protection authority
76,Cloudant Privacy,the name and contact detail of the data protection authority in the european union can be found here
77,Cloudant Privacy,change to our privacy statement we may update this privacy statement from time to time to reflect change to our data governance practice
78,Cloudant Privacy,the revised privacy statement will be posted here with an updated revision date
79,Cloudant Privacy,we encourage you to check back periodically for any change or update
80,Cloudant Privacy,if we make material change to our privacy statement we will post notice at the top of this page for 30 day
81,Cloudant Privacy,by continuing to use our website after such revision take effect we consider that you have read and understand the change
82,Cloudant Privacy,other privacy statement amp
83,Cloudant Privacy,policy california supplemental privacy statement ibm mobile application privacy statement ibm privacy shield privacy policy for certified ibm cloud service ibm controller binding corporate rule back to top
