ID,Vendor,Text
0,Duckduckgo Privacy,we don collect or share personal information
1,Duckduckgo Privacy,that our privacy policy in nutshell
2,Duckduckgo Privacy,add duckduckgo to firefox duckduckgo doe not collect or share personal information
3,Duckduckgo Privacy,that is our privacy policy in nutshell
4,Duckduckgo Privacy,the rest of this page try to explain why you should care
5,Duckduckgo Privacy,why you should care search leakage why you should care search history information not collected information collected information shared last updated on 04 11 12
6,Duckduckgo Privacy,removed which get sent to my personal email
7,Duckduckgo Privacy,in last paragraph a our feedback is now handled by multiple team member via desk
9,Duckduckgo Privacy,before that on 03 11 12
10,Duckduckgo Privacy,removed dead link scroogle and added missing to
11,Duckduckgo Privacy,before that on 11 16 10
12,Duckduckgo Privacy,this paragraph wa added
13,Duckduckgo Privacy,before that on 9 25 10
14,Duckduckgo Privacy,this paragraph wa added
15,Duckduckgo Privacy,before that on 9 16 10
16,Duckduckgo Privacy,this paragraph wa added
17,Duckduckgo Privacy,why you should care search leakage top at other search engine when you do search and then click on link your search term are sent to that site you clicked on in the http referrer header
18,Duckduckgo Privacy,we call this sharing of personal information search leakage
19,Duckduckgo Privacy,for example when you search for something private you are sharing that private search not only with your search engine but also with all the site that you clicked on for that search
20,Duckduckgo Privacy,in addition when you visit any site your computer automatically sends information about it to that site including your user agent and ip address
21,Duckduckgo Privacy,this information can often be used to identify you directly
22,Duckduckgo Privacy,so when you do that private search not only can those other site know your search term but they can also know that you searched it
23,Duckduckgo Privacy,it is this combination of available information about you that raise privacy concern
24,Duckduckgo Privacy,duckduckgo prevents search leakage by default
25,Duckduckgo Privacy,instead when you click on link on our site we route redirect that request in such way so that it doe not send your search term to other site
26,Duckduckgo Privacy,the other site will still know that you visited them but they will not know what search you entered beforehand
27,Duckduckgo Privacy,at some other search engine including u you can also use an encrypted version http which a byproduct doesn usually send your search term to site
28,Duckduckgo Privacy,however it is slower to connect to these version and if you click on site that also us http then your search is sent
29,Duckduckgo Privacy,nevertheless the encrypted version doe protect your search from being leaked onto the computer it travel on between you and u
30,Duckduckgo Privacy,at duckduckgo our encrypted version go even further and automatically change link from number of major web site to point to the encrypted version of those site
31,Duckduckgo Privacy,it is modeled after and us code from the http everywhere firefox add on
32,Duckduckgo Privacy,these site include wikipedia facebook twitter and amazon to name few
33,Duckduckgo Privacy,another way to prevent search leakage is by using something called post request which ha the effect of not showing your search in your browser and a consequence doe not send it to other site
34,Duckduckgo Privacy,you can turn on post request on our setting page but it ha it own issue
35,Duckduckgo Privacy,post request usually break browser back button and they make it impossible for you to easily share your search by copying and pasting it out of your web browser address bar
36,Duckduckgo Privacy,finally if you want to prevent site from knowing you visited them at all you can use proxy like tor
37,Duckduckgo Privacy,duckduckgo actually operates tor exit enclave which mean you can get end to end anonymous and encrypted searching using tor amp
38,Duckduckgo Privacy,ddg together
39,Duckduckgo Privacy,you can enter proxy domain into duckduckgo a well and we will route you through proxy e
40,Duckduckgo Privacy,proxy breadpig
42,Duckduckgo Privacy,this feature is part of our bang syntax
43,Duckduckgo Privacy,unfortunately proxy can also be slow and free proxy like the one we use are funded by arguably excessive advertising
44,Duckduckgo Privacy,because of these drawback in http post and proxy we decided to take the redirect approach to combat search leakage
45,Duckduckgo Privacy,however we leave the choice up to you
46,Duckduckgo Privacy,you can deviate from the default on our setting page by toggling the redirect or address bar setting
47,Duckduckgo Privacy,you can also use our encrypted version
48,Duckduckgo Privacy,search history top other search engine save your search history
49,Duckduckgo Privacy,usually your search are saved along with the date and time of the search some information about your computer e
50,Duckduckgo Privacy,your ip address user agent and often unique identifier stored in browser cookie and if you are logged in your account information e
51,Duckduckgo Privacy,name and email address
52,Duckduckgo Privacy,with only the timestamp and computer information your search can often be traced directly to you
53,Duckduckgo Privacy,with the additional account information they are associated directly with you
54,Duckduckgo Privacy,also note that with this information your search can be tied together
55,Duckduckgo Privacy,this mean someone can see everything you ve been searching not just one isolated search
56,Duckduckgo Privacy,you can usually find out lot about person from their search history
57,Duckduckgo Privacy,it sort of creepy that people at search engine can see all this info about you but that is not the main concern
58,Duckduckgo Privacy,the main concern is when they either release it to the public or give it to law enforcement
59,Duckduckgo Privacy,why would they release it to the public aol famously released supposedly anonymous search term for research purpose except they didn do good job of making them completely anonymous and they were ultimately sued over it
60,Duckduckgo Privacy,in fact almost every attempt to anonymize data ha similarly been later found out to be much le anonymous than initially thought
61,Duckduckgo Privacy,the other way to release it to the public is by accident
62,Duckduckgo Privacy,search engine could lose data or get hacked or accidentally expose data due to security hole or incompetence all of which ha happened with personal information on the internet
63,Duckduckgo Privacy,why would search engine give your search history to law enforcement simply because law enforcement asked for it usually a part of legal investigation
64,Duckduckgo Privacy,if you read privacy policy and term of service carefully you will notice that they say they can give your information on court order
65,Duckduckgo Privacy,this make sense because they may be legally obligated to do so
66,Duckduckgo Privacy,however search engine are not legally obligated to collect personal information in the first place
67,Duckduckgo Privacy,they do it on their own volition
68,Duckduckgo Privacy,the bottom line is if search engine have your information it could get out even if they have the best intention
69,Duckduckgo Privacy,and this information your search history can be pretty personal
70,Duckduckgo Privacy,for these reason duckduckgo take the approach to not collect any personal information
71,Duckduckgo Privacy,the decision of whether and how to comply with law enforcement request whether and how to anonymize data and how to best protect your information from hacker are out of our hand
72,Duckduckgo Privacy,your search history is safe with u because it cannot be tied to you in any way
73,Duckduckgo Privacy,information information not collected top when you search at duckduckgo we don know who you are and there is no way to tie your search together
74,Duckduckgo Privacy,when you access duckduckgo or any web site your web browser automatically sends information about your computer e
75,Duckduckgo Privacy,your user agent and ip address
76,Duckduckgo Privacy,because this information could be used to link you to your search we do not log store it at all
77,Duckduckgo Privacy,this is very unusual practice but we feel it is an important step to protect your privacy
78,Duckduckgo Privacy,it is unusual for few reason
79,Duckduckgo Privacy,first most server software auto store this information so you have to go out of your way not to store it
80,Duckduckgo Privacy,second most business want to keep a much information a possible because they don know when it will be useful
81,Duckduckgo Privacy,third many search engine actively use this information for example to show you more targeted advertising
82,Duckduckgo Privacy,another way that your search are often tied together at other search engine are through browser cooky which are piece of information that sit on your computer and get sent to the search engine on each request
