ID,Vendor,Text
0,Facebook Privacy,data policy this policy describes the information we process to support facebook instagram messenger and other product and feature offered by facebook facebook product or product
1,Facebook Privacy,you can find additional tool and information in the facebook setting and instagram setting
2,Facebook Privacy,return to top what kind of information do we collect to provide the facebook product we must process information about you
3,Facebook Privacy,the type of information we collect depend on how you use our product
4,Facebook Privacy,you can learn how to access and delete information we collect by visiting the facebook setting and instagram setting
5,Facebook Privacy,thing you and others do and provide
6,Facebook Privacy,information and content you provide
7,Facebook Privacy,we collect the content communication and other information you provide when you use our product including when you sign up for an account create or share content and message or communicate with others
8,Facebook Privacy,this can include information in or about the content you provide like metadata such a the location of photo or the date file wa created
9,Facebook Privacy,it can also include what you see through feature we provide such a our camera so we can do thing like suggest mask and filter that you might like or give you tip on using camera format
10,Facebook Privacy,our system automatically process content and communication you and others provide to analyze context and what in them for the purpose described below
11,Facebook Privacy,learn more about how you can control who can see the thing you share
12,Facebook Privacy,data with special protection you can choose to provide information in your facebook profile field or life event about your religious view political view who you are interested in or your health
13,Facebook Privacy,this and other information such a racial or ethnic origin philosophical belief or trade union membership could be subject to special protection under the law of your country
14,Facebook Privacy,network and connection
15,Facebook Privacy,we collect information about the people page account hashtags and group you are connected to and how you interact with them across our product such a people you communicate with the most or group you are part of
16,Facebook Privacy,we also collect contact information if you choose to upload sync or import it from device such a an address book or call log or sm log history which we use for thing like helping you and others find people you may know and for the other purpose listed below
17,Facebook Privacy,your usage
18,Facebook Privacy,we collect information about how you use our product such a the type of content you view or engage with
19,Facebook Privacy,the feature you use
20,Facebook Privacy,the action you take
21,Facebook Privacy,the people or account you interact with
22,Facebook Privacy,and the time frequency and duration of your activity
23,Facebook Privacy,for example we log when you re using and have last used our product and what post video and other content you view on our product
24,Facebook Privacy,we also collect information about how you use feature like our camera
25,Facebook Privacy,information about transaction made on our product
26,Facebook Privacy,if you use our product for purchase or other financial transaction such a when you make purchase in game or make donation we collect information about the purchase or transaction
27,Facebook Privacy,this includes payment information such a your credit or debit card number and other card information
28,Facebook Privacy,other account and authentication information
29,Facebook Privacy,and billing shipping and contact detail
30,Facebook Privacy,thing others do and information they provide about you
31,Facebook Privacy,we also receive and analyze content communication and information that other people provide when they use our product
32,Facebook Privacy,this can include information about you such a when others share or comment on photo of you send message to you or upload sync or import your contact information
33,Facebook Privacy,device information a described below we collect information from and about the computer phone connected tv and other web connected device you use that integrate with our product and we combine this information across different device you use
34,Facebook Privacy,for example we use information collected about your use of our product on your phone to better personalize the content including ad or feature you see when you use our product on another device such a your laptop or tablet or to measure whether you took an action in response to an ad we showed you on your phone on different device
35,Facebook Privacy,information we obtain from these device includes device attribute information such a the operating system hardware and software version battery level signal strength available storage space browser type app and file name and type and plugins
36,Facebook Privacy,device operation information about operation and behavior performed on the device such a whether window is foregrounded or backgrounded or mouse movement which can help distinguish human from bot
37,Facebook Privacy,identifier unique identifier device id and other identifier such a from game apps or account you use and family device id or other identifier unique to facebook company product associated with the same device or account
38,Facebook Privacy,device signal bluetooth signal and information about nearby wi fi access point beacon and cell tower
39,Facebook Privacy,data from device setting information you allow u to receive through device setting you turn on such a access to your gps location camera or photo
40,Facebook Privacy,network and connection information such a the name of your mobile operator or isp language time zone mobile phone number ip address connection speed and in some case information about other device that are nearby or on your network so we can do thing like help you stream video from your phone to your tv
41,Facebook Privacy,cookie data data from cooky stored on your device including cookie id and setting
42,Facebook Privacy,learn more about how we use cooky in the facebook cooky policy and instagram cooky policy
43,Facebook Privacy,information from partner
44,Facebook Privacy,advertiser app developer and publisher can send u information through facebook business tool they use including our social plug in such a the like button facebook login our apis and sdks or the facebook pixel
45,Facebook Privacy,these partner provide information about your activity off facebook including information about your device website you visit purchase you make the ad you see and how you use their service whether or not you have facebook account or are logged into facebook
46,Facebook Privacy,for example game developer could use our api to tell u what game you play or business could tell u about purchase you made in it store
47,Facebook Privacy,we also receive information about your online and offline action and purchase from third party data provider who have the right to provide u with your information
48,Facebook Privacy,partner receive your data when you visit or use their service or through third party they work with
49,Facebook Privacy,we require each of these partner to have lawful right to collect use and share your data before providing any data to u
50,Facebook Privacy,learn more about the type of partner we receive data from
51,Facebook Privacy,to learn more about how we use cooky in connection with facebook business tool review the facebook cooky policy and instagram cooky policy
