ID,Vendor,Text
0,Fandango Privacy,going back to movie theater read more gift card offer sign in sign out fandango screen reader user to optimize your experience with your screen reading software please use our flixster
1,Fandango Privacy,com website which ha the same ticket a our fandango
2,Fandango Privacy,com and movietickets
3,Fandango Privacy,com website
4,Fandango Privacy,skip to main content go movie now playing see all now playing opening this week limited release the croods new age 2020 stardust 2020 see all opening this week coming soon wonder woman 1984 monster hunter 2020 peter rabbit 2 the runaway see all coming soon explore more watch trailer on movieclips top box office new for streaming theater ticket where are you located here are our top city new york ny los angeles ca atlanta ga chicago il austin tx miami fl san francisco ca phoenix az washington dc boston ma san diego ca seattle wa edison nj houston tx tampa fl find theater movie time near find movie time ticket movie news featured movie news sean patrick flannery is black belt mickey kelly in this exclusive trailer for born champion read more what to watch on fandangonow the new mutant the personal history of david copperfield and more read more this week in movie news marvel studio set deadpool 3 another pink panther reboot and more read more explore content movie review home for the holiday award watch indie movie guide family guide house of scream weekly ticket my vip account join fandangovip buy movie
5,Fandango Privacy,get movie
6,Fandango Privacy,earn 125 point on every ticket you buy
7,Fandango Privacy,rack up 500 point and you ll score 5 reward for more movie
8,Fandango Privacy,learn more insider perk get your swag on with discounted movie to stream at home exclusive movie gear access to advanced screening and discount galore
9,Fandango Privacy,learn more partner reward collect bonus reward from our many partner including amc stub cinemark connection regal crown club when you link account
10,Fandango Privacy,learn more refund exchange we know life happens so if something come up you can return or exchange your ticket up until the posted showtime
11,Fandango Privacy,learn more join fandango vip for free it only take few second to join already fandango vip sign in privacy policy privacy policy term and policy term of use ticket policy promo code policy gift card term cooky and tracking fandangonow and vudu policy vip program term privacy policyterms and policiesterms of useticket policypromo code policygift card termscookies and trackingfandangonow and vudu policyvip program term download translation en español en français auf deutsch last updated august 18 2020 this privacy policy explains how fandango medium llc and it subsidiary company including the business operating under the fandango fandangonow vudu rotten tomato flixster movieclips movie
12,Fandango Privacy,com activaterewards
13,Fandango Privacy,com movietickets
14,Fandango Privacy,com or go brand fandango we our or u collect use and share information from or about you when you use our website downloadable application interactive tv application voice activated skill other digital service connected device and off line service that link to this policy or if you generate rating review public comment content on our property or engage in business with u the service
15,Fandango Privacy,note that this privacy policy doe not apply to our movie ticketing business that operates in latin america a that business ha separate privacy policy
16,Fandango Privacy,our owner when the service receive or collect information that information is being received and collected and will be owned by fandango and each of fandango owner i
17,Fandango Privacy,each company that ha an ownership interest in fandango
18,Fandango Privacy,while fandango use handling disclosure and practice with respect to that information will be governed by this privacy policy each fandango owner use handling disclosure and practice with respect to that information will be governed by that fandango owner privacy policy
19,Fandango Privacy,fandango owner are currently nbcuniversal and warner bros
20,Fandango Privacy,if you want to learn more about the privacy practice of nbcuniversal and warner bros
21,Fandango Privacy,we encourage you to review their policy linked below nbcuniversal privacy policy warner bros
22,Fandango Privacy,privacy policy your right to dispute your use of our website and our other service are subject to binding individual arbitration of any dispute which may arise a provided in the term and policy
23,Fandango Privacy,please read the arbitration provision of the term and policy carefully and do not use the service if you are unwilling to arbitrate any dispute you may have with u a provided in our term and policy
24,Fandango Privacy,please read this privacy policy carefully to understand how we handle your information
25,Fandango Privacy,by using the service you acknowledge you have read and understand this privacy policy and that we will collect use and share your information a set forth below
26,Fandango Privacy,table of content personal information we collect and purpose when we share your information legal base for use of your information child your right your choice how we protect your information international transfer update to our privacy policy contact u 1
27,Fandango Privacy,personal information we collect and purpose the table below explain the category of information we collect and the purpose for which we use them
28,Fandango Privacy,please note that we may use any or all of this information to comply with the law detect or prevent fraud and to defend our legal right
29,Fandango Privacy,further detail about each of the purpose is set out in the additional information on purpose of use table below
30,Fandango Privacy,information you provide to u category of personal information we collect purpose of use contact information and account registration for example name email postal address telephone number account user name and password business contact information and any information you may provide to u at an event or in person
31,Fandango Privacy,provide the service personalize your experience send you marketing communication provide seamless experience across platform and device protect our user service and property build and manage business to business relationship market and advertise for third party identification and demographic for example date of birth gender nationality ethnicity interest lifestyle information photo social medium credential including identification information about friend contact or referral you provide
32,Fandango Privacy,provide the service personalize your experience send you marketing communication provide seamless experience across platform and device protect our user service and property market and advertise for third party saved preference for example when you save on the service your favorite theater favorite movie or genre or city or zip code theater preference
33,Fandango Privacy,provide the service personalize your experience send you marketing communication provide seamless experience across platform and device protect our user service and property market and advertise for third party transactional for example credit debit card detail other payment detail e
34,Fandango Privacy,paypal venmo purchase history delivery address membership information reservation loyalty program membership or subscription for company or service other than fandango and the personal detail of any of your guest
35,Fandango Privacy,provide the service personalize your experience send you marketing communication provide seamless experience across platform and device protect our user service and property market and advertise for third party user generated content for example photo video audio and other information you may submit to u such a rating review or comment on our forum
36,Fandango Privacy,provide the service personalize your experience send you marketing communication provide seamless experience across platform and device protect our user service and property market and advertise for third party research and feedback for example comment that you send u through online form and social medium platform by email over the phone by mail or in survey
