ID,Vendor,Text
0,Google Privacy,google privacy policywhen you use our service you re trusting u with your information
1,Google Privacy,we understand this is big responsibility and work hard to protect your information and put you in control
2,Google Privacy,this privacy policy is meant to help you understand what information we collect why we collect it and how you can update manage export and delete your information
3,Google Privacy,privacy checkup looking to change your privacy setting take the privacy checkupeffective september 30 2020 archived version download pdfcontentsintroductioninformation google collectswhy google collect datayour privacy controlssharing your informationkeeping your information secureexporting amp
4,Google Privacy,deleting your informationretaining your informationcompliance amp
5,Google Privacy,cooperation with regulatorsabout this policyrelated privacy practiceswe build range of service that help million of people daily to explore and interact with the world in new way
6,Google Privacy,our service include google apps site and device like search youtube and google home platform like the chrome browser and android operating system product that are integrated into third party apps and site like ad and embedded google map you can use our service in variety of way to manage your privacy
7,Google Privacy,for example you can sign up for google account if you want to create and manage content like email and photo or see more relevant search result
8,Google Privacy,and you can use many google service when you re signed out or without creating an account at all like searching on google or watching youtube video
9,Google Privacy,you can also choose to browse the web privately using chrome in incognito mode
10,Google Privacy,and across our service you can adjust your privacy setting to control what we collect and how your information is used
11,Google Privacy,to help explain thing a clearly a possible we ve added example explanatory video and definition for key term
12,Google Privacy,and if you have any question about this privacy policy you can contact u
13,Google Privacy,information google collectswe want you to understand the type of information we collect a you use our service we collect information to provide better service to all our user from figuring out basic stuff like which language you speak to more complex thing like which ad you ll find most useful the people who matter most to you online or which youtube video you might like
14,Google Privacy,the information google collect and how that information is used depends on how you use our service and how you manage your privacy control
15,Google Privacy,when you re not signed in to google account we store the information we collect with unique identifier tied to the browser application or device you re using
16,Google Privacy,this help u do thing like maintain your language preference across browsing session
17,Google Privacy,when you re signed in we also collect information that we store with your google account which we treat a personal information
18,Google Privacy,thing you create or provide to uswhen you create google account you provide u with personal information that includes your name and password
19,Google Privacy,you can also choose to add phone number or payment information to your account
20,Google Privacy,even if you aren signed in to google account you might choose to provide u with information like an email address to receive update about our service
21,Google Privacy,we also collect the content you create upload or receive from others when using our service
22,Google Privacy,this includes thing like email you write and receive photo and video you save doc and spreadsheet you create and comment you make on youtube video
23,Google Privacy,information we collect a you use our servicesyour apps browser amp
24,Google Privacy,deviceswe collect information about the apps browser and device you use to access google service which help u provide feature like automatic product update and dimming your screen if your battery run low
25,Google Privacy,the information we collect includes unique identifier browser type and setting device type and setting operating system mobile network information including carrier name and phone number and application version number
26,Google Privacy,we also collect information about the interaction of your apps browser and device with our service including ip address crash report system activity and the date time and referrer url of your request
27,Google Privacy,we collect this information when google service on your device contact our server for example when you install an app from the play store or when service check for automatic update
28,Google Privacy,if you re using an android device with google apps your device periodically contact google server to provide information about your device and connection to our service
29,Google Privacy,this information includes thing like your device type carrier name crash report and which apps you ve installed
30,Google Privacy,your activitywe collect information about your activity in our service which we use to do thing like recommend youtube video you might like
