ID,Vendor,Text
0,Wikipedia Privacy,this policy is approved by the wikimedia foundation board of trustee to apply to all wikimedia project
1,Wikipedia Privacy,it may not be circumvented eroded or ignored by local policy
2,Wikipedia Privacy,want to help translate translate the missing message
3,Wikipedia Privacy,privacy policy this is summary of the privacy policy
4,Wikipedia Privacy,to read the full term scroll down or click here
5,Wikipedia Privacy,disclaimer this summary is not part of the privacy policy and is not legal document
6,Wikipedia Privacy,it is simply handy reference for understanding the full privacy policy
7,Wikipedia Privacy,think of it a the user friendly interface to our privacy policy
8,Wikipedia Privacy,because we believe that you shouldn have to provide personal information to participate in the free knowledge movement you may read edit or use any wikimedia site without registering an account
9,Wikipedia Privacy,register for an account without providing an email address or real name
10,Wikipedia Privacy,because we want to understand how wikimedia site are used so we can make them better for you we collect some information when you make public contribution
11,Wikipedia Privacy,register an account or update your user page
12,Wikipedia Privacy,use the wikimedia site
13,Wikipedia Privacy,send u email or participate in survey or give feedback
14,Wikipedia Privacy,we are committed to describing how your information may be used or shared in this privacy policy
15,Wikipedia Privacy,using reasonable measure to keep your information secure
16,Wikipedia Privacy,never selling your information or sharing it with third party for marketing purpose
17,Wikipedia Privacy,only sharing your information in limited circumstance such a to improve the wikimedia site to comply with the law or to protect you and others
18,Wikipedia Privacy,retaining your data for the shortest possible time that is consistent with maintaining understanding and improving the wikimedia site and our obligation under law
19,Wikipedia Privacy,be aware any content you add or any change that you make to wikimedia site will be publicly and permanently available
20,Wikipedia Privacy,if you add content or make change to wikimedia site without logging in that content or change will be publicly and permanently archived in the public interest
21,Wikipedia Privacy,your content or change will be attributed to the ip address used at the time rather than username
22,Wikipedia Privacy,our community of volunteer editor and contributor is self policing body
23,Wikipedia Privacy,certain administrator of the wikimedia site who are chosen by the community use tool that grant them limited access to nonpublic information about recent contribution so they may protect the wikimedia site and enforce policy
24,Wikipedia Privacy,this privacy policy doe not apply to all site and service run by the wikimedia foundation such a site or service that have their own privacy policy like the wikimedia shop or site or service run by third party like third party developer project on wikimedia cloud service
25,Wikipedia Privacy,a part of our commitment to education and research around the world we occasionally release public information and aggregated or non personal information to the general public through data dump and data set
26,Wikipedia Privacy,for the protection of the wikimedia foundation and other user if you do not agree with this privacy policy you may not use the wikimedia site
27,Wikipedia Privacy,introduction use of info sharing protection important info show content content 1 introduction 1
28,Wikipedia Privacy,1 welcome 1
29,Wikipedia Privacy,1 definition 1
30,Wikipedia Privacy,2 what this privacy policy doe amp
31,Wikipedia Privacy,doesn cover 2 collection amp
32,Wikipedia Privacy,use of info 2
33,Wikipedia Privacy,1 type of information we receive from you amp
34,Wikipedia Privacy,how we get it 2
35,Wikipedia Privacy,1 your public contribution 2
36,Wikipedia Privacy,2 account information amp
37,Wikipedia Privacy,registration 2
38,Wikipedia Privacy,3 location information 2
39,Wikipedia Privacy,1 gps amp
40,Wikipedia Privacy,other location technology 2
41,Wikipedia Privacy,2 metadata 2
42,Wikipedia Privacy,3 ip address 2
43,Wikipedia Privacy,2 information related to your use of the wikimedia site 2
44,Wikipedia Privacy,1 information we receive automatically 2
45,Wikipedia Privacy,2 information we collect 2
46,Wikipedia Privacy,3 how we use information we receive from you 2
47,Wikipedia Privacy,4 other 2
48,Wikipedia Privacy,1 location information 2
49,Wikipedia Privacy,1 gps amp
50,Wikipedia Privacy,other location technology 2
51,Wikipedia Privacy,2 metadata 2
52,Wikipedia Privacy,3 ip address 3 sharing 3
53,Wikipedia Privacy,1 when may we share your information 3
54,Wikipedia Privacy,1 with your permission 3
55,Wikipedia Privacy,2 for legal reason 3
56,Wikipedia Privacy,3 if the organization is transferred really unlikely 3
57,Wikipedia Privacy,4 to protect you ourselves amp
58,Wikipedia Privacy,others 3
59,Wikipedia Privacy,5 to our service provider 3
60,Wikipedia Privacy,6 to understand amp
61,Wikipedia Privacy,experiment 3
62,Wikipedia Privacy,7 because you made it public 4 protection 4
63,Wikipedia Privacy,1 how do we protect your data 4
64,Wikipedia Privacy,2 how long do we keep your data 5 important info 5
65,Wikipedia Privacy,1 where is the foundation amp
66,Wikipedia Privacy,what doe that mean for me 5
67,Wikipedia Privacy,2 our response to do not track dnt signal 5
68,Wikipedia Privacy,3 change to this privacy policy 5
69,Wikipedia Privacy,4 contact u 5
70,Wikipedia Privacy,5 thank you introduction welcome the wikimedia foundation is the nonprofit organization that operates collaborative free knowledge website like wikipedia wikimedia common and wiktionary
71,Wikipedia Privacy,this policy explains how we collect use and share your personal information
72,Wikipedia Privacy,we collect very little personal information about you
73,Wikipedia Privacy,we do not rent or sell your information to third party
74,Wikipedia Privacy,by using wikimedia site you consent to this policy
75,Wikipedia Privacy,the wikimedia movement is founded on simple but powerful principle we can do more together than any of u can do alone
76,Wikipedia Privacy,we cannot work collectively without gathering sharing and analyzing information about our user a we seek new way to make the wikimedia site more usable safer and more beneficial
77,Wikipedia Privacy,we believe that information gathering and use should go hand in hand with transparency
78,Wikipedia Privacy,this privacy policy explains how the wikimedia foundation the non profit organization that host the wikimedia site like wikipedia collect us and share information we receive from you through your use of the wikimedia site
79,Wikipedia Privacy,it is essential to understand that by using any of the wikimedia site you consent to the collection transfer processing storage disclosure and use of your information a described in this privacy policy
80,Wikipedia Privacy,that mean that reading this policy carefully is important
81,Wikipedia Privacy,we believe that you shouldn have to provide nonpublic personal information to participate in the free knowledge movement
82,Wikipedia Privacy,you do not have to provide thing like your real name address or date of birth to sign up for standard account or contribute content to the wikimedia site
83,Wikipedia Privacy,we do not sell or rent your personal information nor do we give it to others to sell you anything
84,Wikipedia Privacy,we use it to figure out how to make the wikimedia site more engaging and accessible to see which idea work and to make learning and contributing more fun
85,Wikipedia Privacy,put simply we use this information to make the wikimedia site better for you
86,Wikipedia Privacy,after all it people like you the champion of free knowledge who make it possible for the wikimedia site to not only exist but also grow and thrive
87,Wikipedia Privacy,definition back to top we recognize that only minority of you are familiar with technical term like tracking pixel and cooky used in the privacy policy
88,Wikipedia Privacy,whether you are brand new to privacy terminology or you are an expert who just want refresher you might find our glossary of key term helpful
89,Wikipedia Privacy,because everyone not just lawyer should be able to easily understand how and why their information is collected and used we use common language instead of more formal term throughout this policy
90,Wikipedia Privacy,to help ensure your understanding of some particular key term here is table of translation when we say
91,Wikipedia Privacy,we mean the wikimedia foundation the foundation we u our the wikimedia foundation inc
92,Wikipedia Privacy,the non profit organization that operates the wikimedia site
93,Wikipedia Privacy,wikimedia site our service wikimedia website and service regardless of language including our main project such a wikipedia and wikimedia common a well a mobile application apis email and notification
94,Wikipedia Privacy,excluding however site and service listed in the what this privacy policy doesn cover section below
95,Wikipedia Privacy,you your me you regardless of whether you are an individual group or organization and regardless of whether you are using the wikimedia site or our service on behalf of yourself or someone else
96,Wikipedia Privacy,this policy this privacy policy this document entitled the wikimedia foundation privacy policy
97,Wikipedia Privacy,contribution content you add or change you make to any wikimedia site
98,Wikipedia Privacy,personal information information you provide u or information we collect from you in the context of your use of the wikimedia site that could be used to personally identify you
99,Wikipedia Privacy,to be clear while we do not necessarily collect all of the following type of information we consider at least the following to be personal information if it can be used to identify you name address phone number email address username password identification number on government issued id ip address user agent information and credit card number
100,Wikipedia Privacy,and when associated with an identifiable person any sensitive data such a date of birth gender sexual orientation racial or ethnic origin marital or familial status genetic and biometric data medical condition or disability political affiliation and religion
101,Wikipedia Privacy,third party third party individual entity website service product and application that are not controlled managed or operated by the wikimedia foundation
102,Wikipedia Privacy,this includes other wikimedia user and independent organization or group who help promote the wikimedia movement such a wikimedia chapter thematic organization and user group a well a volunteer employee director officer grant recipient and contractor of those organization or group
103,Wikipedia Privacy,what this privacy policy doe amp
104,Wikipedia Privacy,doesn cover except a explained below this privacy policy applies to our collection and handling of information about you that we receive a result of your use of any of the wikimedia site
105,Wikipedia Privacy,this policy also applies to information that we receive from our partner or other third party
106,Wikipedia Privacy,to understand more about what this privacy policy cover please see below
107,Wikipedia Privacy,expandexamples of what this privacy policy cover for the sake of clarity this privacy policy cover regardless of language all of our major site found at list of major project such a wikipedia including user page discussion page and noticeboards
108,Wikipedia Privacy,our blog and apis unless we have provided separate policy for those service
109,Wikipedia Privacy,official wikimedia foundation mobile application
110,Wikipedia Privacy,email sm and notification from u or sent to u from you
111,Wikipedia Privacy,this privacy policy however doe not cover some situation where we may gather or process information
112,Wikipedia Privacy,for example some us may be covered by separate privacy policy like those of the wikimedia shop or site or service run by third party such a third party developer project on wikimedia cloud service
113,Wikipedia Privacy,to understand more about what this privacy policy doe not cover please see below
114,Wikipedia Privacy,expandmore on what this privacy policy doesn cover this section is part of the privacy policy and is meant to explain in detail which situation are not covered by our privacy policy
115,Wikipedia Privacy,wikimedia site and tool with alternative policy some wikimedia foundation website or tool have alternative privacy policy or provision that differ from this privacy policy
116,Wikipedia Privacy,these website include wikimedia shop covered by the shop policy donate
117,Wikipedia Privacy,wikimedia
118,Wikipedia Privacy,org including the donation process such a clicking on donation banner covered by the donor privacy policy
119,Wikipedia Privacy,and the wikipedia reading list browser extension which is governed by separate privacy policy
120,Wikipedia Privacy,this separate policy will also be made available where the extension can be downloaded
121,Wikipedia Privacy,if wikimedia foundation website is governed by an alternative privacy policy it will link to such policy
122,Wikipedia Privacy,when wikimedia foundation tool is governed by an alternative privacy policy the page where the tool may be downloaded or enabled will include link to that policy
123,Wikipedia Privacy,community member the wikimedia site are collaborative labor of love that are constantly maintained and updated by global community of volunteer
124,Wikipedia Privacy,a result some volunteer have access to certain personal information and use of that personal information may not be governed by this privacy policy
125,Wikipedia Privacy,volunteer that have such access include administrative volunteer such a checkusers or steward
126,Wikipedia Privacy,these are volunteer who enforce wikimedia site policy and ensure the safety of the wikimedia site
127,Wikipedia Privacy,when these administrator access personal information that is nonpublic they are required to comply with our access to nonpublic information policy a well a other tool specific policy
128,Wikipedia Privacy,tool provider
129,Wikipedia Privacy,tool provider
130,Wikipedia Privacy,we support platform for third party developer to experiment and develop new tool and site such a wmflabs
132,Wikipedia Privacy,when you use one of the tool developed by these volunteer you may transfer information to them
133,Wikipedia Privacy,when these volunteer access nonpublic information or personal information they are required to comply with the term governing the particular platform the tool is available on
134,Wikipedia Privacy,other user
135,Wikipedia Privacy,we provide several tool that allow user to communicate with each other
136,Wikipedia Privacy,the communication may be covered by this policy while they pas through our system but the user who receive these communication and what they do with the communication once they receive them are not covered by this policy
137,Wikipedia Privacy,example include posting to foundation hosted email list requesting support from volunteer through our online ticketing system email sent to info at wikimedia
138,Wikipedia Privacy,org go to this system emailing other user through the wikimedia site for example by using the email this user feature
139,Wikipedia Privacy,and chatting on irc such a on the wikipedia channel
140,Wikipedia Privacy,third party this privacy policy only cover the way the wikimedia foundation collect us and discloses personal information and doe not address the practice of third party
141,Wikipedia Privacy,for example this privacy policy doe not address the practice of website run by other organization like website linked to from the reference section of wikipedia or run by wikimedia chapter or other movement organization
142,Wikipedia Privacy,these organization may receive information from you if you visit their website after using one of the wikimedia site
143,Wikipedia Privacy,they are governed by their own privacy policy
144,Wikipedia Privacy,mobile application provided by other organization or individual
145,Wikipedia Privacy,these organization or individual may receive information from you if you use those application to access the wikimedia site or wikimedia site content
146,Wikipedia Privacy,they are governed by their own privacy policy
147,Wikipedia Privacy,sometimes volunteer may place data collecting tool such a script gadget tracking pixel or share button on wikimedia site without our knowledge
148,Wikipedia Privacy,this policy doe not cover how third party handle the information they receive a result of such tool
149,Wikipedia Privacy,if you come across such third party tool and you believe it violates this policy you can remove the tool yourself or report it to privacy at wikimedia
150,Wikipedia Privacy,org so we can investigate
151,Wikipedia Privacy,where community policy govern information such a the checkuser policy the relevant community may add to the rule and obligation set out in this policy
152,Wikipedia Privacy,however they are not permitted to create new exception or otherwise reduce the protection offered by this policy
153,Wikipedia Privacy,collection amp
154,Wikipedia Privacy,use of info type of information we receive from you amp
155,Wikipedia Privacy,how we get it your public contribution whatever you post on wikimedia site can be seen and used by everyone
156,Wikipedia Privacy,when you make contribution to any wikimedia site including on user or discussion page you are creating permanent public record of every piece of content added removed or altered by you
157,Wikipedia Privacy,the page history will show when your contribution or deletion wa made a well a your username if you are signed in or your ip address if you are not signed in
158,Wikipedia Privacy,we may use your public contribution either aggregated with the public contribution of others or individually to create new feature or data related product for you or to learn more about how the wikimedia site are used
159,Wikipedia Privacy,expandpublicly visible information unless this policy say otherwise you should assume that information that you actively contribute to the wikimedia site including personal information is publicly visible and can be found by search engine
160,Wikipedia Privacy,like most thing on the internet anything you share may be copied and redistributed throughout the internet by other people
161,Wikipedia Privacy,please do not contribute any information that you are uncomfortable making permanently public like revealing your real name or location in your contribution
162,Wikipedia Privacy,you should be aware that specific data made public by you or aggregated data that is made public by u can be used by anyone for analysis and to infer further information such a which country user is from political affiliation and gender
163,Wikipedia Privacy,back to top account information amp
164,Wikipedia Privacy,registration you do not need to create an account to use any wikimedia site
165,Wikipedia Privacy,if you do create an account you do not need to give u your name or email address
166,Wikipedia Privacy,if you do not create an account your contribution will be publicly attributed to your ip address
167,Wikipedia Privacy,want to create an account great don want to create an account no problem you are not required to create an account to read or contribute to wikimedia site except under rare circumstance
168,Wikipedia Privacy,however if you contribute without signing in your contribution will be publicly attributed to the ip address associated with your device
169,Wikipedia Privacy,if you want to create standard account in most case we require only username and password
170,Wikipedia Privacy,expandmore on usernames your username will be publicly visible so please be careful about using your real name a your username
171,Wikipedia Privacy,your password is only used to verify that the account is yours
172,Wikipedia Privacy,your ip address is also automatically submitted to u and we record it temporarily to help prevent abuse
173,Wikipedia Privacy,no other personal information is required no name no email address no date of birth no credit card information
174,Wikipedia Privacy,once created user account cannot be removed entirely although you can usually hide the information on your user page if you choose to
175,Wikipedia Privacy,this is because your public contribution must be associated with their author you
176,Wikipedia Privacy,in some circumstance the wikimedia community can assist user with removing additional information related to their account from the project
177,Wikipedia Privacy,to gain better understanding of the demographic of our user to localize our service and to learn how we can improve our service we may ask you for more demographic information such a gender or age about yourself
178,Wikipedia Privacy,we will tell you if such information is intended to be public or private so that you can make an informed decision about whether you want to provide u with that information
179,Wikipedia Privacy,providing such information is always completely optional
180,Wikipedia Privacy,if you don want to you don have to it a simple a that
181,Wikipedia Privacy,back to top location information gps amp
182,Wikipedia Privacy,other location technology some feature we offer work better if we know what area you are in
183,Wikipedia Privacy,if you consent we can use gps and other technology commonly used to determine location to show you more relevant content
184,Wikipedia Privacy,we keep information obtained by these technology confidential except a provided in this policy
185,Wikipedia Privacy,you can learn more by checking out the list of example of how we use these technology in our faq
186,Wikipedia Privacy,back to top metadata sometimes we automatically receive location data from your device
187,Wikipedia Privacy,for example if you want to upload photo on the wikimedia common mobile app we may receive metadata such a the place and time you took the photo automatically from your device
188,Wikipedia Privacy,please be aware that unlike location information collected using gps signal described above the default setting on your mobile device typically includes the metadata in your photo or video upload to the wikimedia site
189,Wikipedia Privacy,if you do not want metadata sent to u and made public at the time of your upload please change your setting on your device
190,Wikipedia Privacy,back to top ip address finally when you visit any wikimedia site we automatically receive the ip address of the device or your proxy server you are using to access the internet which could be used to infer your geographical location
191,Wikipedia Privacy,back to top information related to your use of the wikimedia site we use certain technology to collect information about how you use wikimedia site
192,Wikipedia Privacy,like other website we receive some information about you automatically when you visit the wikimedia site
193,Wikipedia Privacy,we also use variety of commonly used technology like cooky to collect information regarding how you use the wikimedia site make our service safer and easier to use and to help create better and more customizable experience for you
194,Wikipedia Privacy,we want to make the wikimedia site better for you by learning more about how you use them
195,Wikipedia Privacy,example of this might include how often you visit the wikimedia site what you like what you find helpful how you get to the wikimedia site and whether you would use helpful feature more if we explained it differently
196,Wikipedia Privacy,we also want this policy and our practice to reflect our community value
197,Wikipedia Privacy,for this reason we keep information related to your use of the wikimedia site confidential except a provided in this policy
198,Wikipedia Privacy,back to top information we receive automatically because of how browser work we receive some information automatically when you visit the wikimedia site
199,Wikipedia Privacy,this information includes the type of device you are using possibly including unique device identification number for some beta version of our mobile application the type and version of your browser your browser language preference the type and version of your device operating system in some case the name of your internet service provider or mobile carrier the website that referred you to the wikimedia site which page you request and visit and the date and time of each request you make to the wikimedia site
200,Wikipedia Privacy,put simply we use this information to enhance your experience with wikimedia site
