ID,Vendor,Text
0,Youtube Privacy,google privacy policywhen you use our service you re trusting u with your information
1,Youtube Privacy,we understand this is big responsibility and work hard to protect your information and put you in control
2,Youtube Privacy,this privacy policy is meant to help you understand what information we collect why we collect it and how you can update manage export and delete your information
3,Youtube Privacy,privacy checkup looking to change your privacy setting take the privacy checkupeffective september 30 2020 archived version download pdfcontentsintroductioninformation google collectswhy google collect datayour privacy controlssharing your informationkeeping your information secureexporting amp
4,Youtube Privacy,deleting your informationretaining your informationcompliance amp
5,Youtube Privacy,cooperation with regulatorsabout this policyrelated privacy practiceswe build range of service that help million of people daily to explore and interact with the world in new way
6,Youtube Privacy,our service include google apps site and device like search youtube and google home platform like the chrome browser and android operating system product that are integrated into third party apps and site like ad and embedded google map you can use our service in variety of way to manage your privacy
7,Youtube Privacy,for example you can sign up for google account if you want to create and manage content like email and photo or see more relevant search result
8,Youtube Privacy,and you can use many google service when you re signed out or without creating an account at all like searching on google or watching youtube video
9,Youtube Privacy,you can also choose to browse the web privately using chrome in incognito mode
10,Youtube Privacy,and across our service you can adjust your privacy setting to control what we collect and how your information is used
11,Youtube Privacy,to help explain thing a clearly a possible we ve added example explanatory video and definition for key term
12,Youtube Privacy,and if you have any question about this privacy policy you can contact u
13,Youtube Privacy,information google collectswe want you to understand the type of information we collect a you use our service we collect information to provide better service to all our user from figuring out basic stuff like which language you speak to more complex thing like which ad you ll find most useful the people who matter most to you online or which youtube video you might like
14,Youtube Privacy,the information google collect and how that information is used depends on how you use our service and how you manage your privacy control
15,Youtube Privacy,when you re not signed in to google account we store the information we collect with unique identifier tied to the browser application or device you re using
16,Youtube Privacy,this help u do thing like maintain your language preference across browsing session
17,Youtube Privacy,when you re signed in we also collect information that we store with your google account which we treat a personal information
18,Youtube Privacy,thing you create or provide to uswhen you create google account you provide u with personal information that includes your name and password
19,Youtube Privacy,you can also choose to add phone number or payment information to your account
20,Youtube Privacy,even if you aren signed in to google account you might choose to provide u with information like an email address to receive update about our service
21,Youtube Privacy,we also collect the content you create upload or receive from others when using our service
22,Youtube Privacy,this includes thing like email you write and receive photo and video you save doc and spreadsheet you create and comment you make on youtube video
23,Youtube Privacy,information we collect a you use our servicesyour apps browser amp
24,Youtube Privacy,deviceswe collect information about the apps browser and device you use to access google service which help u provide feature like automatic product update and dimming your screen if your battery run low
25,Youtube Privacy,the information we collect includes unique identifier browser type and setting device type and setting operating system mobile network information including carrier name and phone number and application version number
26,Youtube Privacy,we also collect information about the interaction of your apps browser and device with our service including ip address crash report system activity and the date time and referrer url of your request
27,Youtube Privacy,we collect this information when google service on your device contact our server for example when you install an app from the play store or when service check for automatic update
28,Youtube Privacy,if you re using an android device with google apps your device periodically contact google server to provide information about your device and connection to our service
29,Youtube Privacy,this information includes thing like your device type carrier name crash report and which apps you ve installed
30,Youtube Privacy,your activitywe collect information about your activity in our service which we use to do thing like recommend youtube video you might like
31,Youtube Privacy,the activity information we collect may include term you search for video you watch view and interaction with content and ad voice and audio information when you use audio feature purchase activity people with whom you communicate or share content activity on third party site and apps that use our service chrome browsing history you ve synced with your google account if you use our service to make and receive call or send and receive message we may collect telephony log information like your phone number calling party number receiving party number forwarding number time and date of call and message duration of call routing information and type of call
32,Youtube Privacy,you can visit your google account to find and manage activity information that saved in your account
33,Youtube Privacy,go to google accountyour location informationwe collect information about your location when you use our service which help u offer feature like driving direction for your weekend getaway or showtime for movie playing near you
34,Youtube Privacy,your location can be determined with varying degree of accuracy by gps ip address sensor data from your device information about thing near your device such a wi fi access point cell tower and bluetooth enabled device the type of location data we collect depend in part on your device and account setting
35,Youtube Privacy,for example you can turn your android device location on or off using the device setting app
36,Youtube Privacy,you can also turn on location history if you want to create private map of where you go with your signed in device
37,Youtube Privacy,in some circumstance google also collect information about you from publicly accessible source
38,Youtube Privacy,for example if your name appears in your local newspaper google search engine may index that article and display it to other people if they search for your name
39,Youtube Privacy,we may also collect information about you from trusted partner including marketing partner who provide u with information about potential customer of our business service and security partner who provide u with information to protect against abuse
40,Youtube Privacy,we also receive information from advertiser to provide advertising and research service on their behalf
41,Youtube Privacy,we use various technology to collect and store information including cooky pixel tag local storage such a browser web storage or application data cache database and server log
42,Youtube Privacy,why google collect datawe use data to build better service we use the information we collect from all our service for the following purpose provide our serviceswe use your information to deliver our service like processing the term you search for in order to return result or helping you share content by suggesting recipient from your contact
43,Youtube Privacy,maintain amp
44,Youtube Privacy,improve our serviceswe also use your information to ensure our service are working a intended such a tracking outage or troubleshooting issue that you report to u
45,Youtube Privacy,and we use your information to make improvement to our service for example understanding which search term are most frequently misspelled help u improve spell check feature used across our service
46,Youtube Privacy,develop new serviceswe use the information we collect in existing service to help u develop new one
47,Youtube Privacy,for example understanding how people organized their photo in picasa google first photo app helped u design and launch google photo
48,Youtube Privacy,provide personalized service including content and adswe use the information we collect to customize our service for you including providing recommendation personalized content and customized search result
49,Youtube Privacy,for example security checkup provides security tip adapted to how you use google product
50,Youtube Privacy,and google play us information like apps you ve already installed and video you ve watched on youtube to suggest new apps you might like
51,Youtube Privacy,depending on your setting we may also show you personalized ad based on your interest
52,Youtube Privacy,for example if you search for mountain bike you may see an ad for sport equipment when you re browsing site that show ad served by google
53,Youtube Privacy,you can control what information we use to show you ad by visiting your ad setting
54,Youtube Privacy,we don show you personalized ad based on sensitive category such a race religion sexual orientation or health
55,Youtube Privacy,we don share information that personally identifies you with advertiser such a your name or email unless you ask u to
56,Youtube Privacy,for example if you see an ad for nearby flower shop and select the tap to call button we ll connect your call and may share your phone number with the flower shop
57,Youtube Privacy,go to ad settingsmeasure performancewe use data for analytics and measurement to understand how our service are used
58,Youtube Privacy,for example we analyze data about your visit to our site to do thing like optimize product design
59,Youtube Privacy,and we also use data about the ad you interact with to help advertiser understand the performance of their ad campaign
60,Youtube Privacy,we use variety of tool to do this including google analytics
61,Youtube Privacy,when you visit site that use google analytics google and google analytics customer may link information about your activity from that site with activity from other site that use our ad service
62,Youtube Privacy,communicate with youwe use information we collect like your email address to interact with you directly
63,Youtube Privacy,for example we may send you notification if we detect suspicious activity like an attempt to sign in to your google account from an unusual location
