ID,Vendor,Text
0,Amazon Coins Terms,amazon coin term last updated june 15 2017
1,Amazon Coins Terms,amazon coin term and condition earn coin promotion term amazon coin term and condition this is an agreement between you and aci gift card llc with it affiliate amazon or we regarding the amazon coin program the program before purchasing or redeeming any amazon coin or otherwise using the program please read these term and condition all rule and policy related to the program including any rule or provision on any product detail page or any help or informational page relating to the program the amazon com privacy notice at http www amazon com privacy and the amazon com condition of use at http www amazon com conditionsofuse collectively the agreement if you receive purchase or redeem any amazon coin or otherwise use the program you will be bound by the agreement
2,Amazon Coins Terms,1 amazon coin
3,Amazon Coins Terms,the program allows customer to receive and purchase amazon coin coin and to redeem those coin for the purchase of eligible digital product we sell through the amazon appstore for android the amazon appstore the program includes two type of coin coin you purchase from u or receive a gift from another customer purchased coin and coin we give you for promotional purpose promotional coin each coin is worth 0 01 when making purchase through the amazon appstore
4,Amazon Coins Terms,2 use of coin
5,Amazon Coins Terms,2 1 redeeming coin coin may be redeemed only for the purchase of eligible product through the amazon appstore eligible product may change over time not all apps and in app product can be purchased using coin and not all device support the use of coin when purchase can be made with coin you will see an option to pay with coin during the purchase process to make purchase with coin you must pay the entire purchase price for the applicable product plus any applicable tax with coin
6,Amazon Coins Terms,2 2 purchased coin purchase of coin will be charged to the 1 click payment method associated with your amazon account all purchase of coin are final we do not accept return of purchased coin except where required by law if you believe any purchased coin were not properly credited to your account please contact amazon customer service for assistance if we offer discount on the purchase of coin we may modify or discontinue those discount at any time without notice to you
7,Amazon Coins Terms,2 3 gifting coin we may allow you to give purchased coin a gift to other customer to gift coin you must designate the coin a gift prior to purchase you may not gift purchased coin that have already been applied to your account or promotional coin if you purchase coin a gift and you specify future date for delivery of the coin we will charge your account at the time of purchase but you can obtain full refund if you cancel the order prior to the scheduled delivery date
8,Amazon Coins Terms,2 4 promotional coin all coin that you do not pay for other than coin you receive a gift from another customer are promotional coin this includes any coin we give you in connection with your purchase of apps or other product your use of other amazon service or any other promotional activity
9,Amazon Coins Terms,2 5 expiration date application of coin purchased coin do not expire promotional coin expire one year after the later of the date we give them to you or the date you last purchased or redeemed coin when you make purchase with coin any promotional coin you have will be applied first followed by your purchased coin
10,Amazon Coins Terms,2 6 restriction coin cannot be resold transferred for value or redeemed for cash except to the extent required by law coin in one amazon account may not be transferred to another amazon account we may limit the number of coin you can purchase or receive within certain period of time or implement other restriction on the receipt or use of coin if we give you promotional coin in connection with your purchase of product and you later return or receive refund for that product we may revoke those promotional coin if you have already used those coin we may deduct the same number of other promotional coin or purchased coin from your account or charge your credit card or other payment instrument for any product you purchased using those coin
11,Amazon Coins Terms,3 software we may make available to you software for your use in connection with the program term contained in the amazon com condition of use apply to your use of that software
12,Amazon Coins Terms,4 limited to s the program is currently only available to customer located in the united state you may not purchase receive or redeem coin if you are outside the united state united state refers to the 48 contiguous state the district of columbia alaska hawaii puerto rico american samoa guam the northern mariana island and the s virgin island
13,Amazon Coins Terms,5 general
14,Amazon Coins Terms,5 1 change we may change suspend or discontinue the program or any part of it at any time without notice
15,Amazon Coins Terms,5 2 termination fraud your right under the agreement and to use the program will automatically terminate without notice if you fail to comply with any of the term of this agreement we may also terminate your right to use the program at any time including if we determine your use violates any term of the agreement or involves any fraud or misuse of the program in case of such termination you must cease all use of the program and we may immediately revoke your access to the program without notice to you if we determine you fraudulently obtain coin or use any fraudulently obtained coin we may revoke those coin and charge your credit card or other payment instrument for any product purchased using those coin our failure to insist upon or enforce your strict compliance with the agreement will not constitute waiver of any of our right
16,Amazon Coins Terms,5 3 amendment we may amend the agreement at our sole discretion by posting the revised term on amazon com your continued use of the program after any amendment evidence your agreement to be bound by it
17,Amazon Coins Terms,5 4 contact information for communication concerning this agreement please write to amazon attn legal department o box 81226 seattle wa 98108 1226
18,Amazon Coins Terms,5 5 dispute binding arbitration any dispute or claim arising from or relating to the agreement or the program is subject to the binding arbitration governing law disclaimer of warranty and all other term in the amazon com condition of use at http www amazon com conditionsofuse you accept and agree to those term by entering into the agreement or using the program
19,Amazon Coins Terms,5 6 limitation of liability without limiting the disclaimer of warranty and limitation of liability in the amazon com condition of use in no event will our total liability to you for all damage arising out of or related to the program exceed the amount you paid for any purchased coin that you have not redeemed this limitation will apply to you even if the remedy fail of their essential purpose we are not responsible for any coin used through your account without your permission
20,Amazon Coins Terms,earn coin promotion term 1 promotion is valid for limited time only and applies only to product that display an earn coin offer message on their product detail page at the time of purchase
21,Amazon Coins Terms,2 promotion is available only to s customer
22,Amazon Coins Terms,3 promotional coin expire one year after the later of the date we give them to you or the date you last purchased or redeemed coin
23,Amazon Coins Terms,4 if you return or receive refund for the product subject to the promotion we may revoke the coin we gave you or if you have already spent those coin deduct the same number of other coin from your account or charge your credit card or other payment instrument for any product you purchased using those coin
24,Amazon Coins Terms,5 amazon coin can only be used to purchase eligible product through the amazon appstore coin are not transferable and cannot be redeemed for cash
25,Amazon Coins Terms,6 your use of amazon coin is subject to the amazon coin term and condition and the amazon appstore for android term of use
26,Amazon Coins Terms,7 limit one per customer per app in app item or other product subject to the promotion other than for in app item designed to be purchased multiple time such a in game currency or extra life
27,Amazon Coins Terms,8 this promotion is void where prohibited by law
28,Amazon Coins Terms,9 we reserve the right in our sole discretion to terminate or modify this promotion at any time without notice
