ID,Vendor,Text
0,Amazon Drive and Prime Photos Terms of Use,amazon photo term of use last updated june 01 2020
1,Amazon Drive and Prime Photos Terms of Use,amazon photo term of use
2,Amazon Drive and Prime Photos Terms of Use,this is an agreement between you and amazon com service llc together with it affiliate amazon we or u regarding the amazon photo service and associated software including any legacy amazon drive application the service before using the service please read these term of use all rule and policy related to the service including any service plan specific rule usage restriction and other condition or procedure that we post or update on or through the service or on amazon com the amazon com privacy notice and the amazon com condition of use posted on amazon com collectively the agreement if you use the service you will be bound by the agreement
3,Amazon Drive and Prime Photos Terms of Use,1 the amazon photo service
4,Amazon Drive and Prime Photos Terms of Use,1 1 the service the service provide storage retrieval management printing and access feature and functionality for your photo video and other file your file the service may provide auto organization feature and functionality including feature and functionality that allow you to sort your photo by the people object and scene in those photo and the metadata associated with those photo when enabled you agree that the service may use image recognition technology to group together photo containing people with similar facial characteristic and to organize and tag your photo we retain image recognition data including data about the face in the photo you store using the service until you disable the image recognition feature or your account access to the service is terminated if your image recognition feature are disabled we will stop storing image recognition data for you and we will not tag any new photo uploaded to your account image recognition feature are enabled automatically when you begin using the service unless the billing information associated with your account indicates that you may be an illinois resident in which case the image recognition feature will be disabled and must be enabled by you you may enable or disable the service image recognition feature through your account setting here you can learn more about the service image recognition feature in our help content available here by using the service you are directing u to store manage organize and provide access to your file on your behalf
5,Amazon Drive and Prime Photos Terms of Use,1 2 using your file with the service you may only use the service to store retrieve manage organize access share and print your file for personal non commercial purpose using the feature and functionality we make available you may not use the service to store transfer or distribute content of or on behalf of third party to operate your own file storage application or service to operate photography business or other commercial service or to resell any part of the service you are solely responsible for your file and for complying with all applicable copyright and other law including import and export control law and regulation and with the term of any license or agreement to which you are bound you must ensure that your file are free from any malware virus trojan horse spyware worm or other malicious or harmful code
6,Amazon Drive and Prime Photos Terms of Use,when you create family vault only you will control whether image recognition feature are enabled in the family vault if you enable image recognition feature in your family vault you understand that image recognition analysis will be performed on all of the photo stored by member of the family vault if you are invited to participate in prime member family vault the prime member who invited you will control whether image recognition feature are enabled for the family vault if the image recognition feature are enabled for the family vault image recognition analysis will be performed on the photo you store through the service
7,Amazon Drive and Prime Photos Terms of Use,if you are member of group your image recognition setting will not be affected by your membership of group or by the image recognition setting of any other group member including the person that enabled the group
8,Amazon Drive and Prime Photos Terms of Use,turning off the image recognition feature for your account doe not affect any consent that you may have given to others to the use of image recognition feature on photo of you
9,Amazon Drive and Prime Photos Terms of Use,the family vault group and image recognition feature may not be available to all customer
