ID,Vendor,Text
0,Kindle Store Terms of Use,kindle store term of use
1,Kindle Store Terms of Use,last updated june 11 2020
2,Kindle Store Terms of Use,this is an agreement between you and amazon com service llc with it affiliate amazon we or u please read these amazon kindle store term of use the amazon com privacy notice the amazon com condition of use and the other applicable rule policy and term posted on the amazon com website or the kindle store or provided with any service collectively this agreement before purchasing or using any aspect of the service by using the kindle store purchasing or using any kindle content using any kindle application or using any aspect of the service you agree to be bound by the term of this agreement if you do not accept the term of this agreement then you may not use the kindle store any kindle content any kindle application or the service
3,Kindle Store Terms of Use,for the purpose of this agreement
4,Kindle Store Terms of Use,content provider mean the party offering kindle content in the kindle store which may be u or third party
5,Kindle Store Terms of Use,kindle application mean software we make available that permit user to shop for download browse or use the kindle store or kindle content on supported device
6,Kindle Store Terms of Use,kindle content mean digitized content obtained through the kindle store such a book newspaper magazine and other content
7,Kindle Store Terms of Use,kindle store mean our store on kindle application and on our website the homepage of which is located at www amazon com kindlestore
8,Kindle Store Terms of Use,subscription content mean kindle content made available for access only for so long a you remain an active member of subscription or membership program such a kindle unlimited or amazon prime
9,Kindle Store Terms of Use,service mean the provision of the kindle store kindle content kindle application and support and other service that we provide kindle store kindle content and kindle application user
10,Kindle Store Terms of Use,supported device mean mobile computer or other supported electronic device on which you are authorized to operate kindle application
11,Kindle Store Terms of Use,1 kindle content
12,Kindle Store Terms of Use,use of kindle content upon your download or access of kindle content and payment of any applicable fee including applicable tax the content provider grant you non exclusive right to view use and display such kindle content an unlimited number of time for subscription content only a long a you remain an active member of the underlying membership or subscription program solely through kindle application or a otherwise permitted a part of the service solely on the number of supported device specified in the kindle store and solely for your personal non commercial use kindle content is licensed not sold to you by the content provider the content provider may include additional term for use within it kindle content those term will also apply but this agreement will govern in the event of conflict some kindle content such a interactive or highly formatted content may not be available to you on all kindle application
13,Kindle Store Terms of Use,limitation unless specifically indicated otherwise you may not sell rent lease distribute broadcast sublicense or otherwise assign any right to the kindle content or any portion of it to any third party and you may not remove or modify any proprietary notice or label on the kindle content in addition you may not attempt to bypass modify defeat or otherwise circumvent any digital right management system or other content protection or feature used a part of the service
14,Kindle Store Terms of Use,book return subscription cancellation and termination you may return book you purchase from the kindle store or cancel newspaper and magazine subscription a permitted in our return and cancellation policy in the kindle store newspaper or magazine subscription may be terminated at any time for example if magazine is no longer available if magazine or newspaper subscription is terminated before the end of it term you will receive prorated refund we reserve the right to change newspaper and magazine subscription term and fee from time to time effective a of the beginning of the next subscription term
15,Kindle Store Terms of Use,risk of loss risk of loss for kindle content transfer when you download or access the kindle content
16,Kindle Store Terms of Use,2 use of kindle application you may use the kindle application only on supported device for additional term that apply to the kindle application see the additional amazon software term contained in the amazon com condition of use and the term contained in the legal or similar section in the setting menu of your kindle application
17,Kindle Store Terms of Use,3 general
18,Kindle Store Terms of Use,information provided to amazon the kindle application will provide amazon with information about use of your kindle application and it interaction with kindle content and the service such a last page read content archiving available memory up time log file and signal strength information provided to amazon may be stored on server outside the country in which you live we will handle any information we receive in accordance with the amazon com privacy notice
19,Kindle Store Terms of Use,information provided to others you are responsible for any information you provide to others using the service use of information you provide to these third party will be subject to any privacy notice or other term that they may provide to you
20,Kindle Store Terms of Use,termination your right under this agreement will automatically terminate if you fail to comply with any term of this agreement in case of such termination you must cease all use of the service and amazon may immediately revoke your access to the service without refund of any fee amazon failure to insist upon or enforce your strict compliance with this agreement will not constitute waiver of any of it right
21,Kindle Store Terms of Use,change to service amendment we may change suspend or discontinue the service in whole or in part including adding or removing subscription content from service at any time without notice we may amend any of this agreement term at our sole discretion by posting the revised term on the amazon com website your continued use of the kindle application or any aspect of the service after the effective date of the revised agreement term constitutes your acceptance of the term
22,Kindle Store Terms of Use,dispute binding arbitration any dispute or claim arising from or relating to this agreement or the service is subject to the binding arbitration governing law disclaimer of warranty and limitation of liability and all other term in the amazon com condition of use you agree to those term by entering into this agreement using the kindle store purchasing or using kindle content or using any aspect of the service
23,Kindle Store Terms of Use,limitation of liability without limiting the disclaimer of warranty and limitation of liability in the amazon com condition of use 1 in no event will our or our software licensors total liability to you for all damage other than a may be required by applicable law in case involving personal injury arising out of or related to your use or inability to use the kindle application exceed the amount of fifty dollar 50 00 and 2 in no event will our or any other content provider aggregate liability to you for all damage arising from your use of the service excluding the kindle application exceed the amount you actually paid for the kindle content or for the aspect of the service related to your claim for damage these limitation will apply to you even if the remedy fail of their essential purpose
24,Kindle Store Terms of Use,contact information for help with your kindle application the service the kindle store kindle content or resolving other issue please contact customer service at www amazon com contact u or by email at kindle c support amazon com
25,Kindle Store Terms of Use,for communication concerning this agreement please write to amazon attn legal department o box 81226 seattle wa 98108 1226
