ID,Vendor,Text
0,Amazon Prime Terms,amazon prime term amp condition last updated june 30 2020
1,Amazon Prime Terms,welcome to the term and condition term for amazon prime these term are between you and amazon com service llc and or it affiliate amazon com or u and govern our respective right and obligation please note that your use of the amazon com website and prime membership are also governed by the agreement listed and linked to below a well a all other applicable term condition limitation and requirement on the amazon com website all of which a changed over time are incorporated into these term if you sign up for prime membership you accept these term condition limitation and requirement
2,Amazon Prime Terms,condition of use amazon com privacy notice amazon video term of use amazon music term of use amazon photo term of use kindle store term of use membership cancellation if you signed up for your prime membership directly through u you may cancel your prime membership any time by visiting your account and adjusting your membership setting if you cancel within 3 business day of signing up for or converting from free trial to paid membership we will refund your full membership fee provided that we may charge you or withhold from your refund the value of prime benefit used by you and your account during this 3 business day period if you cancel at any other time we will refund your full membership fee only if you and your account did not make any eligible purchase or take advantage of prime benefit since your latest prime membership charge if you signed up for your prime membership through third party you may need to contact the third party to cancel your membership or receive any refund under it applicable policy prime membership redeemed through prime gift code or promotional code are not refundable
3,Amazon Prime Terms,shipping benefit and eligible purchase prime shipping benefit depend upon inventory availability order deadline and in some case the shipping address they are limited to certain product sold by amazon com or third party seller participating in prime on the amazon com website and to certain product on third party website that offer prime shipping benefit product eligible for prime will be designated a such on their product page some special product order handling fee and or tax may still apply to eligible purchase if only some item in your order are eligible for prime you will pay applicable shipping charge for the ineligible item changing or combining order or changing your shipping address speed or preference might affect prime eligibility certain purchase may only be entitled to standard shipping because of their size weight and other shipping characteristic
4,Amazon Prime Terms,we may exclude product with special shipping characteristic at our discretion the prime section of our help page provides information about eligible item shipping cost shipping speed and shipping destination
5,Amazon Prime Terms,other benefit and supplemental membership click here for information about additional prime benefit we also offer prime member supplemental membership which are subject to these term require you to be prime member and may have additional fee and term a used in these term prime applies to all supplemental membership click here for more information about supplemental membership
6,Amazon Prime Terms,other limitation we reserve the right to accept or refuse membership in our discretion we may send you email and other communication related to prime and your prime membership regardless of any setting or preference related to your amazon account you may not transfer or assign your prime membership or any prime benefit including promotion code for prime membership or benefit except a allowed in these term prime member are not permitted to purchase product for the purpose of resale rental or to ship to their customer or potential customer using prime benefit some prime benefit may require certain purchase threshold have quantity or shipping address limitation or require member to meet specified criterion in order to access them from time to time amazon may choose in it sole discretion to add or remove prime membership benefit fee and renewal the membership fee for prime is stated in the prime section of our help page from time to time we may offer different membership term and the fee for such membership may vary the prime membership fee is non refundable except a expressly set forth in these term tax may apply on either or both of the membership fee and the reduced shipping charge for prime
7,Amazon Prime Terms,if you sign up for your prime membership through u and are billed by u then the billing term described below will apply to your membership
8,Amazon Prime Terms,if all eligible payment method we have on file for you are declined for payment of your membership fee you must provide u new eligible payment method promptly or your membership will be canceled if you provide u with new eligible payment method and are successfully charged your new membership period will be based on the original renewal date and not the date of the successful charge
9,Amazon Prime Terms,unless you notify u before charge that you want to cancel or do not want to auto renew you understand your prime membership will automatically continue and you authorize u without notice to you unless required by applicable law to collect the then applicable membership fee and any tax using any eligible payment method we have on record for you
10,Amazon Prime Terms,if you signed up for your prime membership through third party and are not billed directly by u then the billing term provided by the third party will apply to your membership
11,Amazon Prime Terms,promotional trial and qualification based membership we sometimes offer certain customer various trial or other promotional membership which are subject to these term except a otherwise stated in the promotional offer trial member may at any time through your account choose not to continue to paid membership at the end of the trial period
12,Amazon Prime Terms,if you sign up for qualification based prime membership including but not limited to prime student and prime for qualifying customer with an ebt or medicaid card you will receive certain prime benefit for the reduced rate specified in the prime section of our help page to sign up for and use qualification based prime membership you must meet the eligibility condition described on the applicable enrollment page and provide any required documentation
13,Amazon Prime Terms,agreement change we may in our discretion change these term amazon com condition of use and privacy notice or any aspect of prime membership without notice to you if any change to these term is found invalid void or for any reason unenforceable that change is severable and doe not affect the validity and enforceability of any remaining change or condition your continued membership after we change these term constitutes your acceptance of the change if you do not agree to any change you must cancel your membership
14,Amazon Prime Terms,termination by u we may terminate your prime membership at our discretion without notice if we do so we will give you prorated refund based on the number of full month remaining in your membership however we will not give any refund for termination related to conduct that we determine in our discretion violates these term or any applicable law involves fraud or misuse of the prime membership or is harmful to our interest or another user our failure to insist upon or enforce your strict compliance with these term will not constitute waiver of any of our right
15,Amazon Prime Terms,limitation of liability in addition to other limitation and exclusion in amazon com condition of use our total liability whether in contract warranty tort including negligence or otherwise will not exceed the last membership fee you paid this limitation of liability will apply to the fullest extent permitted by law and will survive cancellation or termination of your prime membership
