ID,Vendor,Text
0,iTunes Terms of Service,apple medium service term and condition
1,iTunes Terms of Service,these term and condition create contract between you and apple the agreement please read the agreement carefully to confirm your understanding and acceptance of the agreement click agree
2,iTunes Terms of Service,introduction to our service
3,iTunes Terms of Service,this agreement governs your use of apple service service through which you can buy get license rent or subscribe to content apps a defined below and other in app service collectively content content may be offered through the service by apple or third party our service are available for your use in your country or territory of residence home country by creating an account for use of the service in particular country or territory you are specifying it a your home country to use our service you need compatible hardware software latest version recommended and sometimes required and internet access fee may apply our service performance may be affected by these factor
4,iTunes Terms of Service,using our service
5,iTunes Terms of Service,payment tax and refund
6,iTunes Terms of Service,you can acquire content on our service for free or for charge either of which is referred to a transaction each transaction is an electronic contract between you and apple and or you and the entity providing the content on our service however if you are customer of apple distribution international ltd apple distribution international ltd is the merchant of record for the content you acquire from certain service g apple book app store etc a displayed on the product page and or during the acquisition process for the relevant service in such case you acquire the content from apple distribution international ltd which is licensed by the content provider g app provider a defined below book publisher etc when you make your first transaction we will ask you to choose how frequently we should ask for your password for future transaction if you enable touch id for transaction we will ask you to authenticate all transaction with your fingerprint and if you enable face id for transaction we will ask you to authenticate all transaction using facial recognition manage your password setting at any time by following these instruction http support apple com ht204030 apple will charge your selected payment method such a your credit card debit card gift card code or other method available in your home country for any paid transaction including any applicable tax if you have also added it to your apple wallet apple may charge your selected payment method in apple wallet using apple pay if we cannot charge your selected payment method for any reason such a expiration or insufficient fund you remain responsible for any uncollected amount and we will attempt to charge the payment method again a you may update your payment method information if you pre order content you will be charged when the content is delivered to you unless you cancel prior to the content availability in accordance with local law apple may update information regarding your selected payment method if provided such information by your financial institution for detail about how transaction are billed please visit http support apple com ht5582 all transaction are final content price may change at any time if technical problem prevent or unreasonably delay delivery of content your exclusive and sole remedy is either replacement of the content or refund of the price paid a determined by apple from time to time apple may refuse refund request if we find evidence of fraud refund abuse or other manipulative behavior that entitles apple to corresponding counterclaim term related to store credit and gift card code are available here http www apple com legal internet service itunes giftcards
7,iTunes Terms of Service,account
8,iTunes Terms of Service,using our service and accessing your content may require an apple id an apple id is the account you use across apple ecosystem use of game center is subject to this agreement and also requires game center account your account is valuable and you are responsible for maintaining it confidentiality and security apple is not responsible for any loss arising from the unauthorized use of your account please contact apple if you suspect that your account ha been compromised
9,iTunes Terms of Service,you must be age 13 or equivalent minimum age in your home country a set forth in the registration process to create an account and use our service apple id for person under this age can be created by parent or legal guardian using family sharing or by an approved educational institution
10,iTunes Terms of Service,privacy
11,iTunes Terms of Service,your use of our service is subject to apple privacy policy which is available at http www apple com legal privacy
12,iTunes Terms of Service,service and content usage rule
13,iTunes Terms of Service,your use of the service and content must follow the rule set forth in this section usage rule any other use of the service and content is material breach of this agreement apple may monitor your use of the service and content to ensure that you are following these usage rule
14,iTunes Terms of Service,all service
15,iTunes Terms of Service,you may use the service and content only for personal noncommercial purpose except a set forth in the app store content section below
16,iTunes Terms of Service,apple delivery of service or content doe not transfer any commercial or promotional use right to you and doe not constitute grant or waiver of any right of the copyright owner
17,iTunes Terms of Service,you can use content from up to five different apple id on each device
18,iTunes Terms of Service,for any service you can have up to 10 device but only maximum of 5 computer signed in with your apple id at one time though simultaneous stream or downloads of content may be limited to lower number of device a set out below under apple music and apple tv content each computer must also be authorized using the same apple id to learn more about authorization of computer visit http support apple com ht201251 device can be associated with different apple id once every 90 day
19,iTunes Terms of Service,manipulating play count downloads rating or review via any mean such a using bot script or automated process or ii providing or accepting any kind of compensation or incentive is prohibited
20,iTunes Terms of Service,it is your responsibility not to lose destroy or damage content once downloaded we encourage you to back up your content regularly
21,iTunes Terms of Service,you may not tamper with or circumvent any security technology included with the service
22,iTunes Terms of Service,you may access our service only using apple software and may not modify or use modified version of such software
23,iTunes Terms of Service,video content requires an hdcp connection
24,iTunes Terms of Service,audio and video content sale and rental
25,iTunes Terms of Service,you can use digital right management drm free content on reasonable number of compatible device that you own or control drm protected content can be used on up to five computer and any number of device that you sync to from those computer
26,iTunes Terms of Service,content rental are viewable on single device at time and must be played within 30 day and completed within 48 hour of the start of play stopping pausing or restarting doe not extend this period
27,iTunes Terms of Service,you may burn an audio playlist of purchased music to disc for listening purpose up to seven time this limitation doe not apply to drm free content other content may not be burned to disc
28,iTunes Terms of Service,app store content
29,iTunes Terms of Service,the term apps includes apps and app clip for any apple platform and or operating system including any in app purchase extension such a keyboard sticker and subscription made available in such apps or app clip
30,iTunes Terms of Service,individual acting on behalf of commercial enterprise governmental organization or educational institution an enterprise may download and sync non arcade apps for use by either a single individual on one or more device owned or controlled by an enterprise or ii multiple individual on single shared device owned or controlled by an enterprise for the sake of clarity each device used serially or collectively by multiple user requires separate license
31,iTunes Terms of Service,apple music
32,iTunes Terms of Service,an individual apple music membership allows you to stream on single device at time family membership allows you or your family member to stream on up to six device at time
33,iTunes Terms of Service,apple arcade
34,iTunes Terms of Service,apple arcade apps may only be downloaded or redownloaded with valid apple arcade trial or subscription
35,iTunes Terms of Service,if your subscription end apps downloaded via apple arcade will no longer be accessible to you
36,iTunes Terms of Service,apple tv content
37,iTunes Terms of Service,for most channel you can stream content on up to three device simultaneously
38,iTunes Terms of Service,learn more about apple tv content usage rule at http support apple com ht210074
39,iTunes Terms of Service,downloads
40,iTunes Terms of Service,you may be limited in the amount of content you may download and some downloaded content may expire after given amount of time after downloaded or first played certain content may not be available for download at all
41,iTunes Terms of Service,you may be able to redownload previously acquired content redownload to your device that are signed in with the same apple id associated device you can see content type available for redownload in your home country at http support apple com ht204632 content may not be available for redownload if that content is no longer offered on our service
42,iTunes Terms of Service,subscription
43,iTunes Terms of Service,the service and certain apps may allow you to purchase access to content or service on subscription basis paid subscription paid subscription automatically renew until cancelled in the manage subscription section of your account setting to learn more about cancelling your subscription visit http support apple com ht202039 we will notify you if the price of paid subscription increase and if required seek your consent to continue you will be charged no more than 24 hour prior to the start of the latest paid subscription period if we cannot charge your payment method for any reason such a expiration or insufficient fund and you have not cancelled the paid subscription you remain responsible for any uncollected amount and we will attempt to charge the payment method a you may update your payment method information this may result in change to the start of your next paid subscription period and may change the date on which you are billed for each period we reserve the right to cancel your paid subscription if we are unable to successfully charge your payment method to renew your subscription certain paid subscription may offer free trial prior to charging your payment method if you decide to unsubscribe from paid subscription before we start charging your payment method cancel the subscription at least 24 hour before the free trial end
44,iTunes Terms of Service,if you start free trial to paid subscription offered by apple a content provider an apple paid subscription and cancel before it end you cannot reactivate the free trial
45,iTunes Terms of Service,free trial or free offer to apple paid subscription excluding icloud cannot be combined with any free trial or offer of apple one if you are in free trial or free offer for any apple paid subscription and you subscribe to apple one your free trial or offer will not be paused even if you have access to such apple paid subscription through your apple one subscription you acknowledge that your free trial or free offer may expire while you are paid subscriber to apple one and apple shall have no obligation to reinstate reimburse or otherwise compensate you for any part of such expired free trial or free offer
46,iTunes Terms of Service,when your paid subscription to any service end you will lose access to any functionality or content of that service that requires paid subscription
47,iTunes Terms of Service,content and service availability
48,iTunes Terms of Service,term found in this agreement that relate to service content type feature or functionality not available in your home country are not applicable to you unless and until they become available to you to see the content type available to you in your home country go to the service or visit http support apple com ht204411 certain service and content available to you in your home country may not be available to you when traveling outside of your home country
49,iTunes Terms of Service,third party device and equipment
