ID,Vendor,Text
0,Website Terms of Service,apple website term of use legal information amp notice
1,Website Terms of Service,ownership of site agreement to term of use these term and condition of use the term of use apply to the apple web site located at www apple com and all associated site linked to www apple com by apple it subsidiary and affiliate including apple site around the world collectively the site the site is the property of apple inc apple and it licensors by using the site you agree to these term of use if you do not agree do not use the site
2,Website Terms of Service,apple reserve the right at it sole discretion to change modify add or remove portion of these term of use at any time it is your responsibility to check these term of use periodically for change your continued use of the site following the posting of change will mean that you accept and agree to the change a long a you comply with these term of use apple grant you personal non exclusive non transferable limited privilege to enter and use the site
3,Website Terms of Service,content all text graphic user interface visual interface photograph trademark logo sound music artwork and computer code collectively content including but not limited to the design structure selection coordination expression look and feel and arrangement of such content contained on the site is owned controlled or licensed by or to apple and is protected by trade dress copyright patent and trademark law and various other intellectual property right and unfair competition law
4,Website Terms of Service,except a expressly provided in these term of use no part of the site and no content may be copied reproduced republished uploaded posted publicly displayed encoded translated transmitted or distributed in any way including mirroring to any other computer server web site or other medium for publication or distribution or for any commercial enterprise without apple express prior written consent
5,Website Terms of Service,you may use information on apple product and service such a data sheet knowledge base article and similar material purposely made available by apple for downloading from the site provided that you 1 not remove any proprietary notice language in all copy of such document 2 use such information only for your personal non commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any medium 3 make no modification to any such information and 4 not make any additional representation or warranty relating to such document
6,Website Terms of Service,your use of the site you may not use any deep link page scrape robot spider or other automatic device program algorithm or methodology or any similar or equivalent manual process to access acquire copy or monitor any portion of the site or any content or in any way reproduce or circumvent the navigational structure or presentation of the site or any content to obtain or attempt to obtain any material document or information through any mean not purposely made available through the site apple reserve the right to bar any such activity
7,Website Terms of Service,you may not attempt to gain unauthorized access to any portion or feature of the site or any other system or network connected to the site or to any apple server or to any of the service offered on or through the site by hacking password mining or any other illegitimate mean
8,Website Terms of Service,you may not probe scan or test the vulnerability of the site or any network connected to the site nor breach the security or authentication measure on the site or any network connected to the site you may not reverse look up trace or seek to trace any information on any other user of or visitor to the site or any other customer of apple including any apple account not owned by you to it source or exploit the site or any service or information made available or offered by or through the site in any way where the purpose is to reveal any information including but not limited to personal identification or information other than your own information a provided for by the site
9,Website Terms of Service,you agree that you will not take any action that imposes an unreasonable or disproportionately large load on the infrastructure of the site or apple system or network or any system or network connected to the site or to apple
10,Website Terms of Service,you agree not to use any device software or routine to interfere or attempt to interfere with the proper working of the site or any transaction being conducted on the site or with any other person use of the site
11,Website Terms of Service,you may not forge header or otherwise manipulate identifier in order to disguise the origin of any message or transmittal you send to apple on or through the site or any service offered on or through the site you may not pretend that you are or that you represent someone else or impersonate any other individual or entity
12,Website Terms of Service,you may not use the site or any content for any purpose that is unlawful or prohibited by these term of use or to solicit the performance of any illegal activity or other activity which infringes the right of apple or others
13,Website Terms of Service,purchase other term and condition additional term and condition may apply to purchase of good or service and to specific portion or feature of the site including contest promotion or other similar feature all of which term are made part of these term of use by this reference you agree to abide by such other term and condition including where applicable representing that you are of sufficient legal age to use or participate in such service or feature if there is conflict between these term of use and the term posted for or applicable to specific portion of the site or for any service offered on or through the site the latter term shall control with respect to your use of that portion of the site or the specific service
14,Website Terms of Service,apple obligation if any with regard to it product and service are governed solely by the agreement pursuant to which they are provided and nothing on this site should be construed to alter such agreement
15,Website Terms of Service,apple may make change to any product or service offered on the site or to the applicable price for any such product or service at any time without notice the material on the site with respect to product and service may be out of date and apple make no commitment to update the material on the site with respect to such product and service
16,Website Terms of Service,the following term also govern and apply to your use of the site and they are incorporated herein by this reference
17,Website Terms of Service,guideline for using apple trademark amp copyright right amp permission trademark claim of copyright infringement piracy counterfeit product apple unsolicited idea submission policy software license information legal contact each of these policy may be changed from time to time and are effective immediately upon posting such change on the site
18,Website Terms of Service,account password and security certain feature or service offered on or through the site may require you to open an account including setting up an apple id and password you are entirely responsible for maintaining the confidentiality of the information you hold for your account including your password and for any and all activity that occurs under your account a result of your failing to keep this information secure and confidential you agree to notify apple immediately of any unauthorized use of your account or password or any other breach of security you may be held liable for loss incurred by apple or any other user of or visitor to the site due to someone else using your apple id password or account a result of your failing to keep your account information secure and confidential
19,Website Terms of Service,you may not use anyone else apple id password or account at any time without the express permission and consent of the holder of that apple id password or account apple cannot and will not be liable for any loss or damage arising from your failure to comply with these obligation
20,Website Terms of Service,privacy apple privacy policy applies to use of this site and it term are made part of these term of use by this reference to view apple privacy policy click here additionally by using the site you acknowledge and agree that internet transmission are never completely private or secure you understand that any message or information you send to the site may be read or intercepted by others even if there is special notice that particular transmission for example credit card information is encrypted
21,Website Terms of Service,link to other site and to the apple site this site may contain link to other independent third party web site linked site these linked site are provided solely a convenience to our visitor such linked site are not under apple control and apple is not responsible for and doe not endorse the content of such linked site including any information or material contained on such linked site you will need to make your own independent judgment regarding your interaction with these linked site
22,Website Terms of Service,disclaimer apple doe not promise that the site or any content service or feature of the site will be error free or uninterrupted or that any defect will be corrected or that your use of the site will provide specific result the site and it content are delivered on an a is and a available basis all information provided on the site is subject to change without notice apple cannot ensure that any file or other data you download from the site will be free of virus or contamination or destructive feature apple disclaims all warranty express or implied including any warranty of accuracy non infringement merchantability and fitness for particular purpose apple disclaims any and all liability for the act omission and conduct of any third party in connection with or related to your use of the site and or any apple service you assume total responsibility for your use of the site and any linked site your sole remedy against apple for dissatisfaction with the site or any content is to stop using the site or any such content this limitation of relief is part of the bargain between the party
23,Website Terms of Service,the above disclaimer applies to any damage liability or injury caused by any failure of performance error omission interruption deletion defect delay in operation or transmission computer virus communication line failure theft or destruction of or unauthorized access to alteration of or use whether for breach of contract tort negligence or any other cause of action
24,Website Terms of Service,apple reserve the right to do any of the following at any time without notice 1 to modify suspend or terminate operation of or access to the site or any portion of the site for any reason 2 to modify or change the site or any portion of the site and any applicable policy or term and 3 to interrupt the operation of the site or any portion of the site a necessary to perform routine or non routine maintenance error correction or other change
25,Website Terms of Service,limitation of liability except where prohibited by law in no event will apple be liable to you for any indirect consequential exemplary incidental or punitive damage including lost profit even if apple ha been advised of the possibility of such damage
26,Website Terms of Service,if notwithstanding the other provision of these term of use apple is found to be liable to you for any damage or loss which arises out of or is in any way connected with your use of the site or any content apple liability shall in no event exceed the greater of 1 the total of any subscription or similar fee with respect to any service or feature of or on the site paid in the six month prior to the date of the initial claim made against apple but not including the purchase price for any apple hardware or software product or any applecare or similar support program or 2 u 100 00 some jurisdiction do not allow limitation of liability so the foregoing limitation may not apply to you
27,Website Terms of Service,indemnity you agree to indemnify and hold apple it officer director shareholder predecessor successor in interest employee agent subsidiary and affiliate harmless from any demand loss liability claim or expense including attorney fee made against apple by any third party due to or arising out of or in connection with your use of the site
28,Website Terms of Service,violation of these term of use apple may disclose any information we have about you including your identity if we determine that such disclosure is necessary in connection with any investigation or complaint regarding your use of the site or to identify contact or bring legal action against someone who may be causing injury to or interference with either intentionally or unintentionally apple right or property or the right or property of visitor to or user of the site including apple customer apple reserve the right at all time to disclose any information that apple deems necessary to comply with any applicable law regulation legal process or governmental request apple also may disclose your information when apple determines that applicable law requires or permit such disclosure including exchanging information with other company and organization for fraud protection purpose
