ID,Vendor,Text
0,Cloudant Terms of Service,date november 20 2020 overview the following are the term of an agreement between you and ibm by accessing or using this web site you acknowledge that you have read understand and agree to be bound by these term and to comply with all applicable law and regulation including export and re export control law and regulation if you do not agree to these term please do not use this web site
1,Cloudant Terms of Service,ibm may without notice to you at any time revise these term of use and any other information contained in this web site ibm may also make improvement or change in the product service or program described in this site at any time without notice
2,Cloudant Terms of Service,general this web site contains proprietary notice and copyright information the term of which must be observed and followed please see the tab entitled copyright and trademark information for related information
3,Cloudant Terms of Service,ibm grant you non exclusive non transferable limited permission to access and display the web page within this site a customer or potential customer of ibm provided you comply with these term of use and all copyright trademark and other proprietary notice remain intact you may only use crawler to crawl this web site a permitted by this web site robot txt protocol and ibm may block any crawler in it sole discretion the use authorized under this agreement is non commercial in nature g you may not sell the content you access on or through this web site all other use of this site is prohibited
4,Cloudant Terms of Service,except for the limited permission in the preceding paragraph ibm doe not grant you any express or implied right or license under any patent trademark copyright or other proprietary or intellectual property right you may not mirror any of the content from this site on another web site or in any other medium any software and other material that are made available for downloading access or other use from this site with their own license term will be governed by such term condition and notice your failure to comply with such term or any of the term on this site will result in automatic termination of any right granted to you without prior notice and you must immediately destroy all copy of downloaded material in your possession custody or control
5,Cloudant Terms of Service,rule of conduct
6,Cloudant Terms of Service,your use of ibm com and any related ibm website ibm website is subject to all applicable local state national and international law and regulation and you agree not to violate such law and regulation any attempt by any person to deliberately damage ibm website is violation of criminal and civil law ibm reserve the right to seek damage from any such person to the fullest extent permitted by law
7,Cloudant Terms of Service,you agree not to post or transmit through ibm website any material or content that violates or infringes in any way the right of others or solicits encourages or promotes the use of illegal substance or activity which is unlawful threatening abusive harassing defamatory libelous derogatory invasive of privacy or publicity right vulgar obscene bigoted or hateful profane scandalous pornographic indecent or otherwise objectionable give rise to civil or criminal liability or otherwise violates any applicable law
8,Cloudant Terms of Service,you may not impersonate another user use another user ibmid permit someone else to use your ibmid attempt to capture or guess other user password forge header or otherwise manipulate identifier for the purpose of disguising the origin of any content you transmit conduct fraudulent business operation or practice or promote or conceal unlawful conduct
9,Cloudant Terms of Service,you may not engage in any activity on ibm website which restrict or inhibit any other user from using or enjoying ibm website by hacking cracking spoofing or defacing any portion of ibm website you may not use ibm website to stalk or harass another person or entity
10,Cloudant Terms of Service,you may not post or transmit through ibm website advertising or commercial solicitation promotional material relating to website or online service which are competitive with ibm and or ibm website software or other material that contain virus worm time bomb trojan horse or other harmful or disruptive component political campaign material chain letter mass mailing spam mail any robot spider site search retrieval application or other manual or automatic device or process to retrieve index data mine or in any way reproduce or circumvent the navigational structure or presentation of ibm website or content you may not harvest or collect information about website visitor without their express written consent
11,Cloudant Terms of Service,disclaimer from time to time this web site may contain technical inaccuracy or typographical error and we do not warrant the accuracy of any posted information please confirm you are using the most up to date page on this web site and confirm the accuracy and completeness of information before using it to make decision relating to service product or other matter described in this web site
12,Cloudant Terms of Service,if any term in this term of use is found by competent judicial authority to be unenforceable in any respect the validity of the remainder of this term of use will be unaffected provided that such unenforceability doe not materially affect the party right under this term of use
13,Cloudant Terms of Service,forward looking and cautionary statement except for historical information and discussion statement set forth throughout this web site may constitute forward looking statement within the meaning of the private security litigation reform act of 1995 or other applicable law these statement involve number of risk uncertainty and other factor that could cause actual result to differ materially a discussed in the company filing with the s security and exchange commission see the sec filing tab under investor relation on this web site for copy of such filing
14,Cloudant Terms of Service,confidential information ibm doe not want to receive confidential or proprietary information from you through our web site please note that any information or material sent to ibm will be deemed not to be confidential by sending ibm any information or material you grant ibm an unrestricted irrevocable license to copy reproduce publish upload post transmit distribute publicly display perform modify create derivative work from and otherwise freely use those material or information you also agree that ibm is free to use any idea concept know how or technique that you send u for any purpose however we will not release your name or otherwise publicize the fact that you submitted material or other information to u unless we obtain your permission to use your name or we first notify you that the material or other information you submit to particular part of this site will be published or otherwise used with your name on it or we are required to do so by law personally identifiable information that you submit to ibm for the purpose of receiving product or service will be handled in accordance with our privacy policy please see the tab entitled privacy for information regarding ibm privacy policy
15,Cloudant Terms of Service,s government restricted right ibm provides the software downloaded from this web site to s government user with restricted right use reproduction or disclosure is subject to the restriction set forth in ibm gsa adp schedule contract
16,Cloudant Terms of Service,global availability information ibm publishes on the internet may contain reference or cross reference to ibm product program and service that are not announced or available in your country such reference do not imply that ibm intends to announce or make available such product program or service in your country please consult your local ibm business contact for information regarding the product program and service that may be available to you
17,Cloudant Terms of Service,business relationship this web site may provide link or reference to non ibm web site and resource ibm make no representation warranty or other commitment or endorsement whatsoever about any non ibm web site or third party resource including any lenovo web site that may be referenced accessible from or linked to any ibm site in addition ibm is not party to or responsible for any transaction you may enter into with third party even if you learn of such party or use link to such party from an ibm site when you access non ibm web site even one that may contain the ibm logo please understand that it is independent from ibm and that ibm doe not control the content on that web site it is up to you to take precaution to protect yourself from virus worm trojan horse and other potentially destructive program and to protect your information
18,Cloudant Terms of Service,linking to this site ibm consent only to link to this web site in which the link and the page that are activated by the link do not create frame around any page on this web site or use other technique that alter in any way the visual presentation or appearance of any content within this site misrepresent your relationship with ibm imply that ibm approves or endorses you your web site or your service or product offering and present false or misleading impression about ibm or otherwise damage the goodwill associated with the ibm name or trademark a further condition to being permitted to link to this site you agree that ibm may at any time in it sole discretion terminate permission to link to this web site in such event you agree to immediately remove all link to this web site and to cease any related use of ibm trademark
19,Cloudant Terms of Service,disclaimer of warranty use of this site is at your sole risk all material information product software program and service are provided a is with no warranty or guarantee whatsoever ibm expressly disclaims to the fullest extent permitted by law all express implied statutory and other warranty guarantee or representation including without limitation the warranty of merchantability fitness for particular purpose and non infringement of proprietary and intellectual property right without limitation ibm make no warranty or guarantee that this web site will be uninterrupted timely secure or error free
20,Cloudant Terms of Service,you understand and agree that if you download or otherwise obtain material information product software program or service from this web site you do so at your own discretion and risk and that you will be solely responsible for any damage that may result including loss of data or damage to your computer system some jurisdiction do not allow the exclusion of warranty so the above exclusion may not apply to you
21,Cloudant Terms of Service,limitation of liability to the fullest extent permitted by applicable law in no event will ibm be liable to any party for any direct indirect incidental special exemplary or consequential damage of any type whatsoever related to or arising from this web site or any use of this web site or of any site or resource linked to referenced or accessed through this web site or for the use or downloading of or access to any material information product or service including without limitation any lost profit business interruption lost saving or loss of program or other data even if ibm is expressly advised of the possibility of such damage this exclusion and waiver of liability applies to all cause of action whether based on contract warranty tort or any other legal theory
22,Cloudant Terms of Service,us copyright and trademark information
23,Cloudant Terms of Service,digital millennium copyright act notice
