ID,Vendor,Text
0,Discordapp Terms,lt iframe src http www googletagmanager com n html id gtm n7bvc2w amp gtm_auth gi0g9o 54_sitcgmxqkxla amp gtm_preview env 2 amp gtm_cookies_win height 0 width 0 style display none visibility hidden sandbox gt lt iframe gt logindownloadwhy discord nitrosafetysupportlogindiscord term of service last modified may 7 2020
1,Discordapp Terms,important notice these term of service contain binding arbitration provision and class action waiver it affect your legal right a detailed in the dispute resolution and class action waiver section below please read carefully
2,Discordapp Terms,introduction and accepting the term welcome to discord these term of service term which include and hereby incorporate the privacy policy at http discord com privacy privacy policy are legal agreement between discord inc and it related company the company u our or we and you you or your by using or accessing the discord application the app or the website located at http discord com the site which are collectively referred to a the service you agree that you are 13 year of age and the minimum age of digital consent in your country ii if you are the age of majority in your jurisdiction or over that you have read understood and accept to be bound by the term and iii if you are between 13 or the minimum age of digital consent a applicable and the age of majority in your jurisdiction that your legal guardian ha reviewed and agrees to these term
3,Discordapp Terms,the company reserve the right to update these term which we may do for reason that include but are not limited to complying with change to the law or reflecting enhancement to discord if the change affect your usage of discord or your legal right we ll notify you no le than seven day before the change take effect unless we state otherwise your continued use of the service after we post modification will constitute your acceptance of and agreement to those change if you object to the change your recourse shall be to cease using the service
4,Discordapp Terms,right to use the service the service provides chat and social platform the service may allow you to participate in public and private chat room and to utilize messaging feature to communicate with other user of the service the service may also allow you to access certain software and or other content that is available to purchase from the company subject to your compliance with these term the company grant you limited revocable non exclusive non transferable non sublicensable license to use and access the service you agree not to and not to attempt to use the service for any use or purpose other than a expressly permitted by these term ii copy adapt modify prepare derivative work based upon distribute license sell transfer publicly display publicly perform transmit stream broadcast attempt to discover any source code reverse engineer decompile disassemble or otherwise exploit the service or any portion of the service except a expressly permitted in these term or iii use data mining robot spider or similar data gathering and extraction tool on the service no license or right are granted to you by implication or otherwise under any intellectual property right owned or controlled by the company or it licensors except for the permission and right expressly granted in these term
5,Discordapp Terms,the company reserve the right to modify or discontinue temporarily or permanently the service or any part thereof with or without notice the company reserve the right to refuse any user access to the service without notice for any reason including but not limited to violation of the term if you violate these term the company reserve the right to issue you warning regarding the violation or immediately terminate or suspend any or all account you have created using the service you agree that the company need not provide you notice before terminating or suspending your account but it may do so
6,Discordapp Terms,your account you are responsible for your log in credential and for any activity resulting from the use of your log in credential or other activity on your account account on the service upon launching the app or the service if you do not already have an account you will be prompted to create one by providing username and in some case password you may also be required to provide valid email address or other information to access or utilize certain application or feature you represent and warrant that the information you provide to u upon registration and at all other time will be true accurate current and complete we reserve the right to reject any username or to terminate your username or prevent use of username in our sole discretion and without any liability to you you understand and agree that other user of the service may have the same username a you however user will be differentiated by number identifier that may or may not be visible to you or other user you will ensure that your mail address is kept accurate and up to date at all time if we allow you to use the app without creating an account g if we make available single session use feature any username you select for use in connection with the app will be available for other user after your session end you are responsible for maintaining the confidentiality of your log in credential and are fully responsible for all activity that occur through the use of your credential or otherwise on your account you agree to notify u immediately if you believe the confidentiality of your log in credential ha been compromised or if you suspect unauthorized use of your account you agree that we will not be liable for any loss or damage arising from unauthorized use of your credential
7,Discordapp Terms,communication you agree to receive communication from u electronically such a email text or mobile push notice or notice and message on the service for any direct marketing message we will ensure that we obtain your consent first and also make it easy for you to opt out we don want to send you message you don want
8,Discordapp Terms,by using the service or providing information to u you agree that we may communicate with you electronically regarding security privacy and administrative issue relating to your use of the service and that all agreement notice disclosure and other communication that discord provides to you electronically satisfy any legal requirement that such communication be in writing
9,Discordapp Terms,you may use the service to send message to other user of the service you agree that your use of the service will not include sending unsolicited marketing message or broadcast e spam we may utilize variety of mean to block spammer and abuser from using the service if you believe spam originated from the service please email u immediately at support discord com
10,Discordapp Terms,intellectual property right all right title and interest in and to all material that are part of the service including but not limited to design text graphic picture video information application software music sound and other file and their selection and arrangement except for your content collectively referred to a the service material are a between the company and you owned by the company and or it third party licensors you acknowledge and agree that you shall not acquire any ownership right whatsoever by downloading service material or by purchasing any virtual currency or virtual good each a defined below you agree that you shall not modify copy distribute frame reproduce republish download scrape display post transmit or sell in any form or by any mean in whole or in part or otherwise exploit the service material without our express prior written permission you acknowledge that you do not acquire any ownership right by using the service or by accessing any service material posted on the service by the company or any derivative work thereof all right not expressly granted by these term are reserved by the company and it licensors and no license is granted hereunder by estoppel implication or otherwise
11,Discordapp Terms,your content any data text graphic photograph and their selection and arrangement and any other material uploaded to the service by you is your content you represent and warrant that your content is original to you and that you exclusively own the right to such content including the right to grant all of the right and license in these term without the company incurring any third party obligation or liability arising out of it exercise of such right and license all of your content is your sole responsibility and the company is not responsible for any material that you upload post or otherwise make available by uploading distributing transmitting or otherwise using your content with the service you grant to u perpetual nonexclusive transferable royalty free sublicensable and worldwide license to use host reproduce modify adapt publish translate create derivative work from distribute perform and display your content in connection with operating and providing the service the company doe not guarantee the accuracy quality or integrity of any user content posted by using the service you acknowledge and accept that you may be exposed to material you find offensive or objectionable you agree that the company will not under any circumstance be liable for any user content including but not limited to error in any user content or any loss or damage incurred by use of user content the company reserve the right to remove and permanently delete your content from the service with or without notice for any reason or no reason you may notify the company of any user content that you believe violates these term or other inappropriate user behavior by emailing abuse discord com
12,Discordapp Terms,rule of conduct and usage the service provides communication channel such a forum community or chat area communication channel designed to enable you to communicate with other service user the company ha no obligation to monitor these communication channel but it may do so in connection with providing the service the company may also terminate or suspend your access to any communication channel at any time without notice for any reason you acknowledge that any user content including without limitation chat posting or material posted by user on the communication channel is neither endorsed nor controlled by u the company will not under any circumstance be liable for any activity within communication channel the company is not responsible for information that you choose to share on the communication channel or for the action of other user a condition of your use of the service and without limiting your other obligation under these term you agree to comply with the restriction and rule of use set forth in these term and our community guideline a well a any additional restriction or rule such a application specific rule set forth in the service a an example you agree not to use the service in order to
13,Discordapp Terms,post upload transmit or otherwise disseminate information that is objectionable a outlined in our community guideline defame libel ridicule mock stalk threaten harass intimidate or abuse anyone engage in conduct that is fraudulent or illegal or otherwise harmful to discord or any other user upload or transmit or attempt to upload or transmit file that contain virus trojan horse worm time bomb cancelbots corrupted file or data or any other similar software or program or engage in any other activity that may damage the operation of the service or other user computer violate the contractual personal intellectual property or other right of any party including using uploading transmitting distributing or otherwise making available any information made available through the service in any manner that infringes any copyright trademark patent trade secret or other right of any party including right of privacy or publicity attempt to obtain password or other private information from other member improperly use support channel or complaint button to make false report to u develop distribute or publicly inform other member of auto software program macro software program or other cheat utility software program or application in violation of the applicable license agreement or exploit distribute or publicly inform other member of any game error miscue or bug which give an unintended advantage violate any applicable law or regulation or promote or encourage illegal activity including but not limited to hacking cracking or distribution of counterfeit software compromised account or cheat or hack for the service these rule of use are not meant to be exhaustive and we reserve the right to determine what conduct we consider to be violation of the term community guideline or improper use of the service and to take action including termination of your account and exclusion from further participation in the service
14,Discordapp Terms,feedback we appreciate hearing from our user and welcome your comment regarding the service if you choose to provide feedback comment or suggestion for improvement to the service or otherwise in written or oral form feedback you represent and warrant that you have the right to disclose the feedback the feedback doe not violate the right of any other person or entity and your feedback doe not contain the confidential or proprietary information of any third party or party
15,Discordapp Terms,by sending u any feedback you further agree that we are under no obligation of confidentiality express or implied with respect to the feedback ii acknowledge that we may have something similar to the feedback already under consideration or in development iii grant u an irrevocable non exclusive royalty free perpetual worldwide license to use modify prepare derivative work from publish distribute and sublicense the feedback and iv irrevocably waive and cause to be waived against discord and it user any claim and assertion of any moral right contained in such feedback this feedback section shall survive any termination of your account or the service
16,Discordapp Terms,all right in this section are granted without the need for additional compensation of any sort to you
17,Discordapp Terms,third party content we use third party service to help u provide the service but such use doe not indicate that we endorse them or are responsible or liable for their action in addition the service may link to third party website to facilitate it provision of service to you if you use these link you will leave the service please note that your use of such third party service will be governed by the term and privacy policy applicable to the corresponding third party some of these third party website may use service material under license from u we are not responsible for nor do we endorse these third party website or the organization sponsoring such third party website or their product or service whether or not we are affiliated with such third party website you agree that we are not responsible or liable for any loss or damage of any sort incurred a result of any such dealing you may have on or through third party website or a result of the presence of any third party advertising on the service
18,Discordapp Terms,user dispute you are solely responsible for your interaction with other user of the service and other party that you come in contact with through the service the company hereby disclaims any and all liability to you or any third party relating to your use of the service the company reserve the right but ha no obligation to manage dispute between you and other user of the service
19,Discordapp Terms,copyright copyright complaint the company respect the intellectual property of others and we ask our user to do the same if you believe that your work ha been copied in way that constitutes copyright infringement or that your intellectual property right have been otherwise violated you should notify the company of your infringement claim in accordance with the procedure set forth below the company will process and investigate notice of alleged infringement and will take appropriate action under the digital millennium copyright act dmca and other applicable intellectual property law with respect to any alleged or actual infringement notification of claimed copyright infringement should be emailed to the company copyright agent at copyright discord com subject line dmca takedown request you may also contact u by mail at discord attention dmca takedown request 444 de haro street 200 san francisco ca 94107 to be effective the notification must be in writing and contain the following information
