ID,Vendor,Text
0,Facebook Terms of Service,plain text term of service facebook ad control privacy basic cooky policy data policy more resource
1,Facebook Terms of Service,view printable version of the term of service term of service welcome to facebook facebook build technology and service that enable people to connect with each other build community and grow business these term govern your use of facebook messenger and the other product feature apps service technology and software we offer the facebook product or product except where we expressly state that separate term and not these apply these product are provided to you by facebook inc we don charge you to use facebook or the other product and service covered by these term instead business and organization pay u to show you ad for their product and service by using our product you agree that we can show you ad that we think will be relevant to you and your interest we use your personal data to help determine which ad to show you we don sell your personal data to advertiser and we don share information that directly identifies you such a your name email address or other contact information with advertiser unless you give u specific permission instead advertiser can tell u thing like the kind of audience they want to see their ad and we show those ad to people who may be interested we provide advertiser with report about the performance of their ad that help them understand how people are interacting with their content see section 2 below to learn more our data policy explains how we collect and use your personal data to determine some of the ad you see and provide all of the other service described below you can also go to your setting at any time to review the privacy choice you have about how we use your data return to top 1 the service we provide our mission is to give people the power to build community and bring the world closer together to help advance this mission we provide the product and service described below to you provide personalized experience for you your experience on facebook is unlike anyone else from the post story event ad and other content you see in news feed or our video platform to the page you follow and other feature you might use such a trending marketplace and search we use the data we have for example about the connection you make the choice and setting you select and what you share and do on and off our product to personalize your experience connect you with people and organization you care about we help you find and connect with people group business organization and others that matter to you across the facebook product you use we use the data we have to make suggestion for you and others for example group to join event to attend page to follow or send message to show to watch and people you may want to become friend with stronger tie make for better community and we believe our service are most useful when people are connected to people group and organization they care about empower you to express yourself and communicate about what matter to you there are many way to express yourself on facebook and to communicate with friend family and others about what matter to you for example sharing status update photo video and story across the facebook product you use sending message to friend or several people creating event or group or adding content to your profile we have also developed and continue to explore new way for people to use technology such a augmented reality and 360 video to create and share more expressive and engaging content on facebook help you discover content product and service that may interest you we show you ad offer and other sponsored content to help you discover content product and service that are offered by the many business and organization that use facebook and other facebook product section 2 below explains this in more detail combat harmful conduct and protect and support our community people will only build community on facebook if they feel safe we employ dedicated team around the world and develop advanced technical system to detect misuse of our product harmful conduct towards others and situation where we may be able to help support or protect our community if we learn of content or conduct like this we will take appropriate action for example offering help removing content removing or restricting access to certain feature disabling an account or contacting law enforcement we share data with other facebook company when we detect misuse or harmful conduct by someone using one of our product use and develop advanced technology to provide safe and functional service for everyone we use and develop advanced technology such a artificial intelligence machine learning system and augmented reality so that people can use our product safely regardless of physical ability or geographic location for example technology like this help people who have visual impairment understand what or who is in photo or video shared on facebook or instagram we also build sophisticated network and communication technology to help more people connect to the internet in area with limited access and we develop automated system to improve our ability to detect and remove abusive and dangerous activity that may harm our community and the integrity of our product research way to make our service better we engage in research to develop test and improve our product this includes analyzing the data we have about our user and understanding how people use our product for example by conducting survey and testing and troubleshooting new feature our data policy explains how we use data to support this research for the purpose of developing and improving our service provide consistent and seamless experience across the facebook company product our product help you find and connect with people group business organization and others that are important to you we design our system so that your experience is consistent and seamless across the different facebook company product that you use for example we use data about the people you engage with on facebook to make it easier for you to connect with them on instagram or messenger and we enable you to communicate with business you follow on facebook through messenger enable global access to our service to operate our global service we need to store and distribute content and data in our data center and system around the world including outside your country of residence this infrastructure may be operated or controlled by facebook inc facebook ireland limited or it affiliate return to top 2 how our service are funded instead of paying to use facebook and the other product and service we offer by using the facebook product covered by these term you agree that we can show you ad that business and organization pay u to promote on and off the facebook company product we use your personal data such a information about your activity and interest to show you ad that are more relevant to you protecting people privacy is central to how we ve designed our ad system this mean that we can show you relevant and useful ad without telling advertiser who you are we don sell your personal data we allow advertiser to tell u thing like their business goal and the kind of audience they want to see their ad for example people between the age of 18 35 who like cycling we then show their ad to people who might be interested we also provide advertiser with report about the performance of their ad to help them understand how people are interacting with their content on and off facebook for example we provide general demographic and interest information to advertiser for example that an ad wa seen by woman between the age of 25 and 34 who life in madrid and like software engineering to help them better understand their audience we don share information that directly identifies you information such a your name or email address that by itself can be used to contact you or identifies who you are unless you give u specific permission learn more about how facebook ad work here we collect and use your personal data in order to provide the service described above to you you can learn about how we collect and use your data in our data policy you have control over the type of ad and advertiser you see and the type of information we use to determine which ad we show you learn more return to top 3 your commitment to facebook and our community we provide these service to you and others to help advance our mission in exchange we need you to make the following commitment 1 who can use facebook when people stand behind their opinion and action our community is safer and more accountable for this reason you must
2,Facebook Terms of Service,use the same name that you use in everyday life
3,Facebook Terms of Service,provide accurate information about yourself
4,Facebook Terms of Service,create only one account your own and use your timeline for personal purpose
5,Facebook Terms of Service,not share your password give access to your facebook account to others or transfer your account to anyone else without our permission we try to make facebook broadly available to everyone but you cannot use facebook if
6,Facebook Terms of Service,you are under 13 year old
7,Facebook Terms of Service,you are convicted sex offender
8,Facebook Terms of Service,we ve previously disabled your account for violation of our term or policy
9,Facebook Terms of Service,you are prohibited from receiving our product service or software under applicable law 2 what you can share and do on facebook we want people to use facebook to express themselves and to share content that is important to them but not at the expense of the safety and well being of others or the integrity of our community you therefore agree not to engage in the conduct described below or to facilitate or support others in doing so
10,Facebook Terms of Service,you may not use our product to do or share anything
11,Facebook Terms of Service,that violates these term our community standard and other term and policy that apply to your use of facebook
12,Facebook Terms of Service,that is unlawful misleading discriminatory or fraudulent
13,Facebook Terms of Service,that infringes or violates someone else right including their intellectual property right
14,Facebook Terms of Service,you may not upload virus or malicious code or do anything that could disable overburden or impair the proper working or appearance of our product
