ID,Vendor,Text
0,Google Terms of Service,google term of service
1,Google Terms of Service,effective march 31 2020 archived version download pdfwhat covered in these termswe know it tempting to skip these term of service but it important to establish what you can expect from u a you use google service and what we expect from you
2,Google Terms of Service,these term of service reflect the way google business work the law that apply to our company and certain thing we ve always believed to be true a result these term of service help define google relationship with you a you interact with our service for example these term include the following topic heading what you can expect from u which describes how we provide and develop our service what we expect from you which establishes certain rule for using our service content in google service which describes the intellectual property right to the content you find in our service whether that content belongs to you google or others in case of problem or disagreement which describes other legal right you have and what to expect in case someone violates these term
3,Google Terms of Service,understanding these term is important because by using our service you re agreeing to these term
4,Google Terms of Service,besides these term we also publish privacy policy although it not part of these term we encourage you to read it to better understand how you can update manage export and delete your information service provider
5,Google Terms of Service,google service are provided by and you re contracting with
6,Google Terms of Service,google llcorganized under the law of the state of delaware usa and operating under the law of the usa 1600 amphitheatre parkwaymountain view california 94043usaage requirement
7,Google Terms of Service,if you re under the age required to manage your own google account you must have your parent or legal guardian permission to use google account please have your parent or legal guardian read these term with you
8,Google Terms of Service,if you re parent or legal guardian and you allow your child to use the service then these term apply to you and you re responsible for your child activity on the service
9,Google Terms of Service,some google service have additional age requirement a described in their service specific additional term and policy contentsintroductionyour relationship with googleusing google servicescontent in google servicessoftware in google servicesin case of problem or disagreementsabout these termsyour relationship with google
10,Google Terms of Service,these term help define the relationship between you and google broadly speaking we give you permission to use our service if you agree to follow these term which reflect how google business work and how we earn money when we speak of google we u and our we mean google llc and it affiliate what you can expect from usprovide broad range of useful serviceswe provide broad range of service that are subject to these term including apps and site like search and map platform like google play integrated service like map embedded in other company apps or site device like google home
11,Google Terms of Service,our service are designed to work together making it easier for you to move from one activity to the next for example map can remind you to leave for an appointment that appears in your google calendar improve google service
12,Google Terms of Service,we re constantly developing new technology and feature to improve our service for example we invest in artificial intelligence that us machine learning to detect and block spam and malware and to provide you with innovative feature like simultaneous translation a part of this continual improvement we sometimes add or remove feature and functionality increase or decrease limit to our service and start offering new service or stop offering old one
13,Google Terms of Service,if we make material change that negatively impact your use of our service or if we stop offering service we ll provide you with reasonable advance notice and an opportunity to export your content from your google account using google takeout except in urgent situation such a preventing abuse responding to legal requirement or addressing security and operability issue what we expect from youfollow these term and service specific additional termsthe permission we give you to use our service continues a long a you meet your responsibility in these term service specific additional term which could for example include thing like additional age requirement
14,Google Terms of Service,we also make various policy help center and other resource available to you to answer common question and to set expectation about using our service these resource include our privacy policy copyright help center safety center and other page accessible from our policy site
