ID,Vendor,Text
0,Instagram Terms of Service,term of use these term will be updated effective december 20 2020 to preview the new version prior to it effective date click here welcome to instagram these term of use or term govern your use of instagram except where we expressly state that separate term and not these apply and provide information about the instagram service the service outlined below when you create an instagram account or use instagram you agree to these term the facebook term of service do not apply to this service the instagram service is one of the facebook product provided to you by facebook inc these term of use therefore constitute an agreement between you and facebook inc arbitration notice you agree that dispute between you and u will be resolved by binding individual arbitration and you waive your right to participate in class action lawsuit or class wide arbitration we explain some exception and how you can opt out of arbitration below the instagram service we agree to provide you with the instagram service the service includes all of the instagram product feature application service technology and software that we provide to advance instagram mission to bring you closer to the people and thing you love the service is made up of the following aspect the service
1,Instagram Terms of Service,offering personalized opportunity to create connect communicate discover and share people are different we want to strengthen your relationship through shared experience you actually care about so we build system that try to understand who and what you and others care about and use that information to help you create find join and share in experience that matter to you part of that is highlighting content feature offer and account you might be interested in and offering way for you to experience instagram based on thing you and others do on and off instagram fostering positive inclusive and safe environment we develop and use tool and offer resource to our community member that help to make their experience positive and inclusive including when we think they might need help we also have team and system that work to combat abuse and violation of our term and policy a well a harmful and deceptive behavior we use all the information we have including your information to try to keep our platform secure we also may share information about misuse or harmful content with other facebook company or law enforcement learn more in the data policy developing and using technology that help u consistently serve our growing community organizing and analyzing information for our growing community is central to our service big part of our service is creating and using cutting edge technology that help u personalize protect and improve our service on an incredibly large scale for broad global community technology like artificial intelligence and machine learning give u the power to apply complex process across our service automated technology also help u ensure the functionality and integrity of our service providing consistent and seamless experience across other facebook company product instagram is part of the facebook company which share technology system insight and information including the information we have about you learn more in the data policy in order to provide service that are better safer and more secure we also provide way to interact across the facebook company product that you use and designed system to achieve seamless and consistent experience across the facebook company product ensuring stable global infrastructure for our service to provide our global service we must store and transfer data across our system around the world including outside of your country of residence this infrastructure may be owned or operated by facebook inc facebook ireland limited or their affiliate connecting you with brand product and service in way you care about we use data from instagram and other facebook company product a well a from third party partner to show you ad offer and other sponsored content that we believe will be meaningful to you and we try to make that content a relevant a all your other experience on instagram research and innovation we use the information we have to study our service and collaborate with others on research to make our service better and contribute to the well being of our community the data policy providing our service requires collecting and using your information the data policy explains how we collect use and share information across the facebook product it also explains the many way you can control your information including in the instagram privacy and security setting you must agree to the data policy to use instagram your commitment in return for our commitment to provide the service we require you to make the below commitment to u who can use instagram we want our service to be a open and inclusive a possible but we also want it to be safe secure and in accordance with the law so we need you to commit to few restriction in order to be part of the instagram community
2,Instagram Terms of Service,you must be at least 13 year old you must not be prohibited from receiving any aspect of our service under applicable law or engaging in payment related service if you are on an applicable denied party listing we must not have previously disabled your account for violation of law or any of our policy you must not be convicted sex offender how you can use instagram providing safe and open service for broad community requires that we all do our part
3,Instagram Terms of Service,you can impersonate others or provide inaccurate information you don have to disclose your identity on instagram but you must provide u with accurate and up to date information including registration information also you may not impersonate someone you aren and you can create an account for someone else unless you have their express permission you can do anything unlawful misleading or fraudulent or for an illegal or unauthorized purpose you can violate or help or encourage others to violate these term or our policy including in particular the instagram community guideline instagram platform policy and music guideline learn how to report conduct or content in our help center you can do anything to interfere with or impair the intended operation of the service you can attempt to create account or access or collect information in unauthorized way this includes creating account or collecting information in an automated way without our express permission you can attempt to buy sell or transfer any aspect of your account including your username or solicit collect or use login credential or badge of other user you can post private or confidential information or do anything that violates someone else right including intellectual property learn more including how to report content that you think infringes your intellectual property right here you can use domain name or url in your username without our prior written consent permission you give to u a part of our agreement you also give u permission that we need to provide the service
4,Instagram Terms of Service,we do not claim ownership of your content but you grant u license to use it nothing is changing about your right in your content we do not claim ownership of your content that you post on or through the service and you are free to share your content with anyone else wherever you want however we need certain legal permission from you known a license to provide the service when you share post or upload content that is covered by intellectual property right like photo or video on or in connection with our service you hereby grant to u non exclusive royalty free transferable sub licensable worldwide license to host use distribute modify run copy publicly perform or display translate and create derivative work of your content consistent with your privacy and application setting this license will end when your content is deleted from our system you can delete content individually or all at once by deleting your account to learn more about how we use information and how to control or delete your content review the data policy and visit the instagram help center permission to use your username profile picture and information about your relationship and action with account ad and sponsored content you give u permission to show your username profile picture and information about your action such a like or relationship such a follows next to or in connection with account ad offer and other sponsored content that you follow or engage with that are displayed on facebook product without any compensation to you for example we may show that you liked sponsored post created by brand that ha paid u to display it ad on instagram a with action on other content and follows of other account action on sponsored content and follows of sponsored account can be seen only by people who have permission to see that content or follow we will also respect your ad setting you can learn more here about your ad setting you agree that we can download and install update to the service on your device additional right we retain
5,Instagram Terms of Service,if you select username or similar identifier for your account we may change it if we believe it is appropriate or necessary for example if it infringes someone intellectual property or impersonates another user if you use content covered by intellectual property right that we have and make available in our service for example image design video or sound we provide that you add to content you create or share we retain all right to our content but not yours you can only use our intellectual property and trademark or similar mark a expressly permitted by our brand guideline or with our prior written permission you must obtain written permission from u or under an open source license to modify create derivative work of decompile or otherwise attempt to extract source code from u content removal and disabling or terminating your account
6,Instagram Terms of Service,we can remove any content or information you share on the service if we believe that it violates these term of use our policy including our instagram community guideline or we are permitted or required to do so by law we can refuse to provide or stop providing all or part of the service to you including terminating or disabling your your access to the facebook product and facebook company product immediately to protect our community or service or if you create risk or legal exposure for u violate these term of use or our policy including our instagram community guideline if you repeatedly infringe other people intellectual property right or where we are permitted or required to do so by law we can also terminate or change the service remove or block content or information shared on our service or stop providing all or part of the service if we determine that doing so is reasonably necessary to avoid or mitigate adverse legal or regulatory impact on u if you believe your account ha been terminated in error or you want to disable or permanently delete your account consult our help center when you request to delete content or your account the deletion process will automatically begin no more than 30 day after your request it may take up to 90 day to delete content after the deletion process begin while the deletion process for such content is being undertaken the content is no longer visible to other user but remains subject to these term of use and our data policy after the content is deleted it may take u up to another 90 day to remove it from backup and disaster recovery system content will not be deleted within 90 day of the account deletion or content deletion process beginning in the following situation
7,Instagram Terms of Service,where your content ha been used by others in accordance with this license and they have not deleted it in which case this license will continue to apply until that content is deleted or where deletion within 90 day is not possible due to technical limitation of our system in which case we will complete the deletion a soon a technically feasible or where deletion would restrict our ability to
8,Instagram Terms of Service,investigate or identify illegal activity or violation of our term and policy for example to identify or investigate misuse of our product or system protect the safety and security of our product system and user comply with legal obligation such a the preservation of evidence or comply with request of judicial or administrative authority law enforcement or government agency in which case the content will be retained for no longer than is necessary for the purpose for which it ha been retained the exact duration will vary on case by case basis if you delete or we disable your account these term shall terminate a an agreement between you and u but this section and the section below called our agreement and what happens if we disagree will still apply even after your account is terminated disabled or deleted our agreement and what happens if we disagree our agreement
9,Instagram Terms of Service,your use of music on the service is also subject to our music guideline and your use of our api is subject to our facebook platform term and developer policy if you use certain other feature or related service you will be provided with an opportunity to agree to additional term that will also become part of our agreement for example if you use payment feature you will be asked to agree to the community payment term if any of those term conflict with this agreement those other term will govern if any aspect of this agreement is unenforceable the rest will remain in effect any amendment or waiver to our agreement must be in writing and signed by u if we fail to enforce any aspect of this agreement it will not be waiver we reserve all right not expressly granted to you who ha right under this agreement
10,Instagram Terms of Service,this agreement doe not give right to any third party you cannot transfer your right or obligation under this agreement without our consent our right and obligation can be assigned to others for example this could occur if our ownership change a in merger acquisition or sale of asset or by law who is responsible if something happens
11,Instagram Terms of Service,our service is provided a is and we can guarantee it will be safe and secure or will work perfectly all the time to the extent permitted by law we also disclaim all warranty whether express or implied including the implied warranty of merchantability fitness for particular purpose title and non infringement we also don control what people and others do or say and we aren responsible for their or your action or conduct whether online or offline or content including unlawful or objectionable content we also aren responsible for service and feature offered by other people or company even if you access them through our service our responsibility for anything that happens on the service also called liability is limited a much a the law will allow if there is an issue with our service we can know what all the possible impact might be you agree that we won be responsible liable for any lost profit revenue information or data or consequential special indirect exemplary punitive or incidental damage arising out of or related to these term even if we know they are possible this includes when we delete your content information or account our aggregate liability arising out of or relating to these term will not exceed the greater of 100 or the amount you have paid u in the past twelve month you agree to defend at our request indemnify and hold u harmless from and against any claim liability damage loss and expense including without limitation reasonable attorney fee and cost arising out of or in any way connected with these term or your use of the service you will cooperate a required by u in the defense of any claim we reserve the right to assume the exclusive defense and control of any matter subject to indemnification by you and you will not in any event settle any claim without our prior written consent how we will handle dispute
12,Instagram Terms of Service,except a provided below you and we agree that any cause of action legal claim or dispute between you and u arising out of or related to these term or instagram claim must be resolved by arbitration on an individual basis class action and class arbitration are not permitted you and we may bring claim only on your own behalf and cannot seek relief that would affect other instagram user if there is final judicial determination that any particular claim or request for particular relief cannot be arbitrated in accordance with this provision limitation then only that claim or only that request for relief may be brought in court all other claim or request for relief remain subject to this provision instead of using arbitration you or we can bring claim in your local small claim court if the rule of that court will allow it if you don bring your claim in small claim court or if you or we appeal small claim court judgment to court of general jurisdiction then the claim must be resolved by binding individual arbitration the american arbitration association will administer all arbitration under it consumer arbitration rule you and we expressly waive trial by jury the following claim don have to be arbitrated and may be brought in court dispute related to intellectual property like copyright and trademark violation of our platform policy or effort to interfere with the service or engage with the service in unauthorized way for example automated way in addition issue relating to the scope and enforceability of the arbitration provision are for court to decide this arbitration provision is governed by the federal arbitration act you can opt out of this provision within 30 day of the date that you agreed to these term to opt out you must send your name residence address username email address or phone number you use for your instagram account and clear statement that you want to opt out of this arbitration agreement and you must send them here facebook inc attn instagram arbitration opt out 1601 willow rd menlo park ca 94025 before you commence arbitration of claim you must provide u with written notice of dispute that includes your name residence address username email address or phone number you use for your instagram account detailed description of the dispute and the relief you seek any notice of dispute you send to u should be mailed to facebook inc attn instagram arbitration filing 1601 willow rd menlo park ca 94025 before we commence arbitration we will send you notice of dispute to the email address you use with your instagram account or other appropriate mean if we are unable to resolve dispute within thirty 30 day after the notice of dispute is received you or we may commence arbitration we will pay all arbitration filing fee administration and hearing cost and arbitrator fee for any arbitration we bring or if your claim seek le than 75 000 and you timely provided u with notice of dispute for all other claim the cost and fee of arbitration shall be allocated in accordance with the arbitration provider rule including rule regarding frivolous or improper claim for any claim that is not arbitrated or resolved in small claim court you agree that it will be resolved exclusively in the s district court for the northern district of california or state court located in san mateo county you also agree to submit to the personal jurisdiction of either of these court for the purpose of litigating any such claim the law of the state of california to the extent not preempted by or inconsistent with federal law will govern these term and any claim without regard to conflict of law provision unsolicited material we always appreciate feedback or other suggestion but may use them without any restriction or obligation to compensate you for them and are under no obligation to keep them confidential updating these term we may change our service and policy and we may need to make change to these term so that they accurately reflect our service and policy unless otherwise required by law we will notify you for example through our service before we make change to these term and give you an opportunity to review them before they go into effect then if you continue to use the service you will be bound by the updated term if you do not want to agree to these or any updated term you can delete your account here revised april 19 2018
