ID,Vendor,Text
0,Lastpass Terms of Service,term of service this is legal agreement between the person or organization customer or you agreeing to these term of service term and the applicable contracting entity at http www logmeininc com legal contracting entity logmein u or we by accepting these term signing an order or using the service you represent that you are of legal age and have the authority to bind the customer to the order these term and the applicable service description available at http www logmeininc com legal service description a well a the professional service term and condition available at http www logmeininc com legal professional service term each a applicable collectively the agreement
1,Lastpass Terms of Service,access and use of the service
2,Lastpass Terms of Service,1 1 right to use service you agree to use the service in accordance with the use level by which we measure price and offer our service a posted on our website your order or the service description use level you may use our service only a permitted in these term and you consent to our privacy policy at http www logmeininc com legal privacy which is incorporated by reference we grant you limited right to use our service only for business and professional purpose technical support for the service is described in the service description if your affiliate use our service you warrant that you have the authority to bind those affiliate and you will be liable if your affiliate do not comply with the agreement service mean our software a service offering and our audio service including any related hardware which are offered by logmein audio llc grasshopper group llc or jive communication inc or their subsidiary our telecommunication provider responsible for the rate and term relating to the respective audio service the service description are incorporated into these term you understand that your personal data may be processed in connection with your use of our service software and website which are provided via equipment and resource located in the united state and other location throughout the world
3,Lastpass Terms of Service,1 2 limitation on use by using our service you agree on behalf of yourself your user and your attendee not to modify prepare derivative work of or reverse engineer our service ii knowingly or negligently use our service in way that abuse or disrupts our network user account or the service iii transmit through the service any harassing indecent obscene fraudulent or unlawful material iv market or resell the service to any third party use the service in violation of applicable law or regulation vi use the service to send unauthorized advertising or spam vii harvest collect or gather user data without their consent or viii transmit through the service any material that may infringe the intellectual property privacy or other right of third party
4,Lastpass Terms of Service,1 3 change to service we reserve the right to enhance upgrade improve or modify feature of our service a we deem appropriate and in our discretion we will not materially reduce the core functionality a set forth in the service description or discontinue any service unless we provide you with prior written notice we may offer additional functionality to our standard service or premium feature improvement for an additional cost
5,Lastpass Terms of Service,1 4 proprietary right and logmein mark you acknowledge that we or our licensors retain all proprietary right title and interest in the service our name logo or other mark together the logmein mark and any related intellectual property right including without limitation all modification enhancement derivative work and upgrade thereto you agree that you will not use or register any trademark service mark business name domain name or social medium account name or handle which incorporates in whole or in part the logmein mark or is similar to any of these you agree to comply with our branding guideline available at http www logmeininc com legal trademark which are incorporated into this agreement by reference
6,Lastpass Terms of Service,order fee and payment
7,Lastpass Terms of Service,2 1 order you may order service using our then current ordering process order all order are effective on the earlier of the date you submit your order or ii the date on the signature block of the order effective date acceptance of your order may be subject to our verification and credit approval process each order shall be treated a separate and independent order purchase order is required for non credit card transaction over 25 000 usd or equivalent unless customer doe not require purchase order a part of it purchasing process
8,Lastpass Terms of Service,2 1 1 covid 19 emergency kit service any subscription to service labeled a covid 19 emergency kit are for use across your organization during the contract term listed in the order for such subscription and will automatically terminate thereafter or if you have active subscription for the service being purchased on the earlier of the contract term set forth in the order or the expiration of your underlying paid subscription term if you have active subscription for the service being purchased the covid 19 emergency kit subscription are subject to your existing contract with logmein and do not change the term of any previously purchased service you may choose to purchase any of the covid 19 emergency kit subscription under separate order but you are under no obligation to do so
9,Lastpass Terms of Service,2 2 fee and payment you agree to pay all applicable undisputed fee for the service on the term set forth on the invoice except a set forth in section 3 3 below or in the service description any and all payment you make to u for access to the service are final and non refundable you are responsible for all fee and charge imposed by your voice and data transmission provider related to your access and use of the service you are responsible for providing accurate and current billing contact and payment information to u or any reseller you agree that we may take step to verify whether your payment method is valid charge your payment card or bill you for all amount due for your use of the service and automatically update your payment card information using software designed to do so in the event your payment card on file is no longer valid you agree that your credit card information and related personal data may be provided to third party for payment processing and fraud prevention purpose we may suspend or terminate your service if at any time we determine that your payment information is inaccurate or not current and you are responsible for fee and overdraft charge that we may incur when we charge your card for payment we will not agree to submit invoice via any customer procure to pay online portal or electronic data interchange edi portal we reserve the right to update the price for service at any time after your initial term and price change will be effective a of your next billing cycle we will notify you of any price change by publishing on our website emailing quoting or invoicing you
10,Lastpass Terms of Service,2 3 sale promotional offer coupon and pricing sale promotion and other special discounted pricing offer are temporary and upon the renewal of your subscription any such discounted pricing offer may expire we reserve the right to discontinue or modify any coupon credit sale and special promotional offer in our sole discretion
11,Lastpass Terms of Service,2 4 dispute delinquent account you must notify u of any fee dispute within 15 day of the invoice date and once resolved you agree to pay those fee within 15 day we may on notice to you suspend or terminate your service if you do not pay undisputed fee and you agree to reimburse u for all reasonable cost and expense incurred in collecting delinquent amount
12,Lastpass Terms of Service,2 5 tax and withholding you are responsible for all applicable sale service value added good and service withholding tariff universal service fund usf fee or any other similar fee a may be applicable in the location in which the service are being provided if applicable to the audio service only and similar tax or fee collectively tax and fee imposed by any government entity or collecting agency based on the service except those tax and fee based on our net income or tax and fee for which you have provided an exemption certificate additionally if you do not satisfy your tax and fee obligation you agree that you will be required to reimburse u for any tax and fee paid on your behalf and we may take step to collect tax and fee we have paid on your behalf in all case you will pay the amount due under this agreement to u in full without any right of set off or deduction
13,Lastpass Terms of Service,term and termination
14,Lastpass Terms of Service,3 1 term the initial term commitment for your purchase of service will be a specified on an order initial term and begin on the effective date after the initial term the service will unless otherwise specified in the service description for particular service automatically renew for additional 12 month period renewal term unless either party provides notice of non renewal at least 30 day before the current term expires you may provide notice of non renewal for each service you do not wish to renew at http support logmeininc com contactus we may agree to align the invoicing under multiple order but this will not reduce the term of any order terminating specific service doe not affect the term of any other service still in effect if we permit you to reinstate service at any time after termination you agree that you will be bound by the then current term and the renewal date that wa in effect a of the effective termination date
15,Lastpass Terms of Service,3 2 termination for cause either party may terminate the agreement if the other party breach it material obligation and fails to cure within 30 day of receipt of written notice or ii if the other party becomes insolvent or bankrupt liquidated or is dissolved or cease substantially all of it business and we may suspend access or terminate immediately if you breach section 1 2 4 or 5
16,Lastpass Terms of Service,3 3 effect of termination if the agreement or any service are terminated your account may be converted to free or basic version of the service if available at our discretion otherwise you will immediately discontinue all use of the terminated service except that upon request we will provide you with limited access to the service for period not to exceed 30 day solely to enable you to retrieve your content from the service we have no obligation to maintain your content after that period neither party will be liable for any damage resulting from termination of the agreement and termination will not affect any claim arising prior to the effective termination date if we discontinue service or materially reduce the core functionality in accordance with section 1 3 above the related order will be terminated and we will provide you with pro rata refund of any prepaid unused fee you agree to pay for any use of the service past the date of expiration or termination which have not been converted to free version of the service
17,Lastpass Terms of Service,3 4 survival the provision of section 2 order fee and payment 3 3 effect of termination 4 your content and account 7 indemnification 8 limitation on liability 9 6 no class action 9 11 notice and 9 14 contracting party choice of law and location for resolving dispute survive any termination of the agreement
18,Lastpass Terms of Service,your content and account
