ID,Vendor,Text
0,Youtube Terms of Service,what in these term
1,Youtube Terms of Service,this index is designed to help you understand some of the key update we ve made to our term of service term we hope this serf a useful guide but please ensure you read the term in full welcome to youtube
2,Youtube Terms of Service,this section outline our relationship with you it includes description of the service defines our agreement and name your service provider who may use the service
3,Youtube Terms of Service,this section set out certain requirement for use of the service and defines category of user your use of the service
4,Youtube Terms of Service,this section explains your right to use the service and the condition that apply to your use of the service it also explains how we may make change to the service your content and conduct
5,Youtube Terms of Service,this section applies to user who provide content to the service it defines the scope of the permission that you grant by uploading your content and includes your agreement not to upload anything that infringes on anyone else right account suspension and termination
6,Youtube Terms of Service,this section explains how you and youtube may terminate this relationship about software in the service
7,Youtube Terms of Service,this section includes detail about software on the service other legal term
8,Youtube Terms of Service,this section includes our service commitment to you it also explains that there are some thing we will not be responsible for about this agreement
9,Youtube Terms of Service,this section includes some further important detail about our contract including what to expect if we need to make change to these term or which law applies to them term of service
10,Youtube Terms of Service,dated november 18 2020 welcome to youtube
11,Youtube Terms of Service,introduction thank you for using the youtube platform and the product service and feature we make available to you a part of the platform collectively the service
12,Youtube Terms of Service,our service
13,Youtube Terms of Service,the service allows you to discover watch and share video and other content provides forum for people to connect inform and inspire others across the globe and act a distribution platform for original content creator and advertiser large and small we provide lot of information about our product and how to use them in our help center among other thing you can find out about youtube kid the youtube partner program and youtube paid membership and purchase where available you can also read all about enjoying content on other device like your television your game console or google home
14,Youtube Terms of Service,your service provider
15,Youtube Terms of Service,the entity providing the service is google llc company operating under the law of delaware located at 1600 amphitheatre parkway mountain view ca 94043 referred to a youtube we u or our reference to youtube affiliate in these term mean the other company within the alphabet inc corporate group now or in the future
16,Youtube Terms of Service,applicable term your use of the service is subject to these term the youtube community guideline and the policy safety and copyright policy which may be updated from time to time together this agreement your agreement with u will also include the advertising on youtube policy if you provide advertising or sponsorship to the service or incorporate paid promotion in your content any other link or reference provided in these term are for informational use only and are not part of the agreement
17,Youtube Terms of Service,please read this agreement carefully and make sure you understand it if you do not understand the agreement or do not accept any part of it then you may not use the service who may use the service
18,Youtube Terms of Service,age requirement you must be at least 13 year old to use the service however child of all age may use youtube kid where available if enabled by parent or legal guardian
19,Youtube Terms of Service,permission by parent or guardian
20,Youtube Terms of Service,if you are under 18 you represent that you have your parent or guardian permission to use the service please have them read this agreement with you
