ID,Vendor,Text
0,Amazon Appstore for Android Terms of Use,amazon appstore for android term of use
1,Amazon Appstore for Android Terms of Use,last updated january 1 2020
4,Amazon Appstore for Android Terms of Use,these term of use are part of an agreement between you and amazon com service llc together with it affiliate amazon or we regarding use of the amazon appstore for android and associated software service and purchase amazon appstore
5,Amazon Appstore for Android Terms of Use,before you use the amazon appstore or download any apps made available through it please read these term of use the amazon com privacy notice at http www amazon com privacy the amazon com condition of use at http www amazon com conditionsofuse and all rule and policy related to the amazon appstore including but not limited to any rule or usage provision specified on any product detail page or on any help or other informational page for the amazon appstore collectively the agreement
8,Amazon Appstore for Android Terms of Use,if you use the amazon appstore you will be bound by this agreement
12,Amazon Appstore for Android Terms of Use,the amazon appstore
14,Amazon Appstore for Android Terms of Use,in the amazon appstore you can access browse purchase and download software game application and other digital product apps
15,Amazon Appstore for Android Terms of Use,apps include any content ad service technology data in app product including amazon sold in app product a defined in section 2 3 and other digital material included in or made available through an app you download or use via the amazon appstore including after you download it
16,Amazon Appstore for Android Terms of Use,apps also include any update upgrade and other change and version that you later use or download from u
17,Amazon Appstore for Android Terms of Use,the party that provides an app for distribution is the publisher of the app
18,Amazon Appstore for Android Terms of Use,most apps are provided and licensed to you by third party publisher
19,Amazon Appstore for Android Terms of Use,we may make some apps available via the amazon appstore at no charge and others for price a further described on our app detail page
20,Amazon Appstore for Android Terms of Use,from time to time we may offer sale give aways and other promotion in the amazon appstore
21,Amazon Appstore for Android Terms of Use,we may modify or discontinue any of these promotion at any time without notice to you
24,Amazon Appstore for Android Terms of Use,using and downloading apps
27,Amazon Appstore for Android Terms of Use,2 1 general
29,Amazon Appstore for Android Terms of Use,after you order an app and pay any corresponding price to u you may download copy of the app for your personal use to device on which you have installed and signed in to our appstore software a defined in section 3 1
30,Amazon Appstore for Android Terms of Use,apps can be used only on device that use the android platform and meet certain other technical requirement
31,Amazon Appstore for Android Terms of Use,generally app device requirement are described on or through our app detail page
34,Amazon Appstore for Android Terms of Use,2 2 trial access to apps
36,Amazon Appstore for Android Terms of Use,we may offer free trial and other limited version of apps so you can preview apps before you purchase the full version
37,Amazon Appstore for Android Terms of Use,these version may have limited feature may restrict permitted time of use and may contain other limitation
39,Amazon Appstore for Android Terms of Use,2 3 in app product
41,Amazon Appstore for Android Terms of Use,we may offer digital product for sale that are intended to be accessed or used within an app such a additional or enhanced functionality medium content or subscription access to content or service amazon sold in app product
42,Amazon Appstore for Android Terms of Use,not all product and service available for purchase within an app are amazon sold in app product
43,Amazon Appstore for Android Terms of Use,you will be able to identify amazon sold in app product because you will see our logo when making the purchase and will complete the purchase using your amazon appstore payment method
44,Amazon Appstore for Android Terms of Use,amazon sold in app product are subject to any use access and other restriction described on or linked from the amazon sold in app product detail page or otherwise provided in this agreement
46,Amazon Appstore for Android Terms of Use,other than for purchase of amazon sold in app product we are not party to and have no responsibility for any payment or purchase transaction you make through an app unless we expressly state otherwise in writing such a in connection with purchase made through our amazon shopping app
48,Amazon Appstore for Android Terms of Use,2 4 subscription
