ID,Vendor,Text
0,Amazon Coins Terms,amazon coin term last updated june 15 2017
4,Amazon Coins Terms,amazon coin term and condition
7,Amazon Coins Terms,earn coin promotion term
9,Amazon Coins Terms,amazon coin term and condition this is an agreement between you and aci gift card llc with it affiliate amazon or we regarding the amazon coin program the program
10,Amazon Coins Terms,before purchasing or redeeming any amazon coin or otherwise using the program please read these term and condition all rule and policy related to the program including any rule or provision on any product detail page or any help or informational page relating to the program the amazon com privacy notice at http www amazon com privacy and the amazon com condition of use at http www amazon com conditionsofuse collectively the agreement
11,Amazon Coins Terms,if you receive purchase or redeem any amazon coin or otherwise use the program you will be bound by the agreement
14,Amazon Coins Terms,amazon coin
16,Amazon Coins Terms,the program allows customer to receive and purchase amazon coin coin and to redeem those coin for the purchase of eligible digital product we sell through the amazon appstore for android the amazon appstore
17,Amazon Coins Terms,the program includes two type of coin coin you purchase from u or receive a gift from another customer purchased coin and coin we give you for promotional purpose promotional coin
18,Amazon Coins Terms,each coin is worth 0 01 when making purchase through the amazon appstore
21,Amazon Coins Terms,use of coin
24,Amazon Coins Terms,2 1 redeeming coin
25,Amazon Coins Terms,coin may be redeemed only for the purchase of eligible product through the amazon appstore
26,Amazon Coins Terms,eligible product may change over time
27,Amazon Coins Terms,not all apps and in app product can be purchased using coin and not all device support the use of coin
28,Amazon Coins Terms,when purchase can be made with coin you will see an option to pay with coin during the purchase process
29,Amazon Coins Terms,to make purchase with coin you must pay the entire purchase price for the applicable product plus any applicable tax with coin
31,Amazon Coins Terms,2 2 purchased coin
32,Amazon Coins Terms,purchase of coin will be charged to the 1 click payment method associated with your amazon account
33,Amazon Coins Terms,all purchase of coin are final
34,Amazon Coins Terms,we do not accept return of purchased coin except where required by law
35,Amazon Coins Terms,if you believe any purchased coin were not properly credited to your account please contact amazon customer service for assistance
36,Amazon Coins Terms,if we offer discount on the purchase of coin we may modify or discontinue those discount at any time without notice to you
38,Amazon Coins Terms,2 3 gifting coin
39,Amazon Coins Terms,we may allow you to give purchased coin a gift to other customer
40,Amazon Coins Terms,to gift coin you must designate the coin a gift prior to purchase
41,Amazon Coins Terms,you may not gift purchased coin that have already been applied to your account or promotional coin
