ID,Vendor,Text
0,Amazon Drive and Prime Photos Terms of Use,amazon photo term of use last updated june 01 2020
2,Amazon Drive and Prime Photos Terms of Use,amazon photo term of use
4,Amazon Drive and Prime Photos Terms of Use,this is an agreement between you and amazon com service llc together with it affiliate amazon we or u regarding the amazon photo service and associated software including any legacy amazon drive application the service
5,Amazon Drive and Prime Photos Terms of Use,before using the service please read these term of use all rule and policy related to the service including any service plan specific rule usage restriction and other condition or procedure that we post or update on or through the service or on amazon com the amazon com privacy notice and the amazon com condition of use posted on amazon com collectively the agreement
6,Amazon Drive and Prime Photos Terms of Use,if you use the service you will be bound by the agreement
9,Amazon Drive and Prime Photos Terms of Use,the amazon photo service
12,Amazon Drive and Prime Photos Terms of Use,1 1 the service
13,Amazon Drive and Prime Photos Terms of Use,the service provide storage retrieval management printing and access feature and functionality for your photo video and other file your file
14,Amazon Drive and Prime Photos Terms of Use,the service may provide auto organization feature and functionality including feature and functionality that allow you to sort your photo by the people object and scene in those photo and the metadata associated with those photo
15,Amazon Drive and Prime Photos Terms of Use,when enabled you agree that the service may use image recognition technology to group together photo containing people with similar facial characteristic and to organize and tag your photo
16,Amazon Drive and Prime Photos Terms of Use,we retain image recognition data including data about the face in the photo you store using the service until you disable the image recognition feature or your account access to the service is terminated
17,Amazon Drive and Prime Photos Terms of Use,if your image recognition feature are disabled we will stop storing image recognition data for you and we will not tag any new photo uploaded to your account
18,Amazon Drive and Prime Photos Terms of Use,image recognition feature are enabled automatically when you begin using the service unless the billing information associated with your account indicates that you may be an illinois resident in which case the image recognition feature will be disabled and must be enabled by you
19,Amazon Drive and Prime Photos Terms of Use,you may enable or disable the service image recognition feature through your account setting here
20,Amazon Drive and Prime Photos Terms of Use,you can learn more about the service image recognition feature in our help content available here
21,Amazon Drive and Prime Photos Terms of Use,by using the service you are directing u to store manage organize and provide access to your file on your behalf
23,Amazon Drive and Prime Photos Terms of Use,1 2 using your file with the service
24,Amazon Drive and Prime Photos Terms of Use,you may only use the service to store retrieve manage organize access share and print your file for personal non commercial purpose using the feature and functionality we make available
25,Amazon Drive and Prime Photos Terms of Use,you may not use the service to store transfer or distribute content of or on behalf of third party to operate your own file storage application or service to operate photography business or other commercial service or to resell any part of the service
26,Amazon Drive and Prime Photos Terms of Use,you are solely responsible for your file and for complying with all applicable copyright and other law including import and export control law and regulation and with the term of any license or agreement to which you are bound
27,Amazon Drive and Prime Photos Terms of Use,you must ensure that your file are free from any malware virus trojan horse spyware worm or other malicious or harmful code
28,Amazon Drive and Prime Photos Terms of Use,when you create family vault only you will control whether image recognition feature are enabled in the family vault
