ID,Vendor,Text
0,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,find more solution
2,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,digital service and device support amazon device and digital service term warranty and notice amazon kid term amp
3,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,condition k freetime unlimited
4,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,last updated september 14 2020
6,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,this is an agreement between you and amazon com service llc with it affiliate amazon we or u
7,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,before using amazon kid formerly known a freetime unlimited please read these amazon kid term amp
8,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,condition the amazon com privacy notice the amazon com condition of use and the other applicable rule policy and term posted on the amazon com website collectively the term
9,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,if you use or access amazon kid on alexa please read the following applicable term the alexa term of use and child privacy disclosure
10,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,by using or accessing amazon kid you agree to be bound by the term
11,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,if you do not accept these term then you may not use amazon kid
13,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,term
17,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,amazon kid is offered a monthly or pre paid subscription and on per child or per family basis
18,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,the subscription fee for amazon kid are stated at www amazon com kidsplus
19,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,from time to time we may offer different membership term and the fee for such membership may vary
20,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,membership fee may be subject to tax and are non refundable except a expressly set forth in these term
23,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,you ll need current valid payment method to sign up and to pay for the amazon kid subscription
26,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,unless you notify amazon before charge that you want to cancel or do not want to auto renew you understand your amazon kid subscription will automatically continue and you authorize amazon without notice to you unless required by applicable law to collect the then applicable fee and any applicable tax using any payment method we have on record for you
30,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,if all payment method we have on file for you are declined for payment of your subscription fee your subscription will be canceled unless you provide u with new payment method
31,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,if you provide u with new payment method and are successfully charged before your subscription is canceled your new subscription period will be based on the original renewal date and not the date of the successful charge
34,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,we may offer an amazon kid free trial to eligible customer from time to time
35,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,we consider your free or paid amazon kid subscription history when determining whether you re eligible for an amazon kid free trial
36,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,customer may also receive pre paid subscription to amazon kid a part of device purchase
39,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,at the end of your free trial period or any applicable pre paid period your subscription will be automatically converted to the applicable paid monthly subscription plan
40,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,if you don want to convert to paid monthly subscription you can cancel or disable auto renewal during the free trial or pre paid period by contacting amazon customer service
41,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,you may also manage your subscription from within your membership and subscription the freetime section of setting on your fire tablet the setting section of the amazon kid on android app or the amazon parent dashboard
42,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,disabling auto renewal mean you will continue to have access through the end of the free trial period and your payment method will not be charged
45,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,the monthly renewal price of your amazon kid subscription may change for example if you become an amazon prime member or if you cancel your amazon prime membership
46,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,we may change these term the fee or any aspect of the amazon kid subscription at any time and in our discretion by posting the revised term on the amazon com website
47,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,your continued use of amazon kid after we change these term constitutes your acceptance of the change
48,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,if you do not agree to any change you must cancel your subscription
51,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,you may cancel your subscription or disable auto renewal at any time by contacting amazon customer service
52,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,you may also manage your subscription from within your membership and subscription the freetime section of setting on your fire tablet the setting section of the amazon kid on android app or the amazon parent dashboard
53,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,you can manage an amazon kid subscription purchased via the io app from itunes or the setting on your apple device
54,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,disabling auto renewal mean you will continue to have access through the end of the current billing period and your payment method will not be charged again
55,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,if you choose to cancel monthly subscription you will receive prorated refund for the unused portion of your last month
56,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,however if you cancel pre paid subscription including any subscription to amazon kid received a part of device purchase you will not receive any refund including any partial or prorated refund for any unused month
59,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,for customer who already have subscription to amazon kid your active subscription will be automatically replaced a soon a you activate new fire kid edition tablet kindle kid edition or echo dot kid edition and you ll receive one year of amazon kid from that time
60,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,learn more
63,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,a subscriber to amazon kid you may access content from an available list of title for so long a you are subscriber to the program
64,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,the content available in the amazon kid subscription may change at any time
65,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,we cannot guarantee that any specific book movie tv show app skill game or other content will remain available via the subscription and certain content is only available on compatible device
66,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,if your subscription end you will no longer have access to any title from the program
69,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,we may terminate your access to the amazon kid subscription at our discretion without notice
70,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,if we do so we will give you prorated refund
71,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,however we will not give any refund for termination related to conduct that we determine in our discretion violates any applicable law or term of use involves fraud or misuse of the subscription or is harmful to our interest or another user
72,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,our failure to insist upon or enforce your strict compliance with these term will not constitute waiver of any of our right
75,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,dispute binding arbitration
76,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,any dispute or claim arising from or relating to this agreement or amazon kid is subject to the binding arbitration governing law disclaimer of warranty limitation of liability and all other term in the amazon com condition of use
77,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,you agree to those term by accepting these term or using amazon kid
82,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,wa this information helpful yes no thank you for your feedback
84,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,please select what best describes the information
86,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,this information is confusing or wrong
87,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,this isn the information wa looking for
88,Amazon FreeTime Unlimited Terms & Conditions and Kindle FreeTime Unlimited Terms & Conditions,don like this policy submit thanks while we re unable to respond directly to your feedback we ll use this information to improve our online help
