ID,Vendor,Text
3,iCloud Terms of Service,welcome to icloud
13,iCloud Terms of Service,this legal agreement between you and apple governs your use of the icloud product software service and website collectively referred to a the service
14,iCloud Terms of Service,it is important that you read and understand the following term
15,iCloud Terms of Service,by clicking agree you are agreeing that these term will apply if you choose to access or use the service
16,iCloud Terms of Service,apple is the provider of the service which permit you to utilize certain internet service including storing your personal content such a contact calendar photo note reminder document app data and icloud email and making it accessible on your compatible device and computer and certain location based service only under the term and condition set forth in this agreement
17,iCloud Terms of Service,icloud is automatically enabled when you are running device on io 9 or later and sign in with your apple id during device setup unless you are upgrading the device and have previously chosen not to enable icloud
18,iCloud Terms of Service,you can disable icloud in setting
19,iCloud Terms of Service,when icloud is enabled your content will be automatically sent to and stored by apple so you can later access that content or have content wirelessly pushed to your other icloud enabled device or computer
22,iCloud Terms of Service,requirement for use of the service
26,iCloud Terms of Service,age the service is only available to individual aged 13 year or older or equivalent minimum age in the relevant jurisdiction unless you are under 13 year old and your apple id wa provided to you a result of request by an approved educational institution or established a part of the family sharing feature by your parent or guardian
27,iCloud Terms of Service,we do not knowingly collect use or disclose personal information from child under 13 or equivalent minimum age in the relevant jurisdiction without verifiable parental consent
28,iCloud Terms of Service,parent and guardian should also remind any minor that conversing with stranger on the internet can be dangerous and take appropriate precaution to protect child including monitoring their use of the service
29,iCloud Terms of Service,to use the service you cannot be person barred from receiving the service under the law of the united state or other applicable jurisdiction including the country in which you reside or from where you use the service
30,iCloud Terms of Service,by accepting this agreement you represent that you understand and agree to the foregoing
33,iCloud Terms of Service,device and account use of the service may require compatible device internet access and certain software fee may apply
34,iCloud Terms of Service,may require periodic update
35,iCloud Terms of Service,and may be affected by the performance of these factor
36,iCloud Terms of Service,apple reserve the right to limit the number of account that may be created from device and the number of device associated with an account
37,iCloud Terms of Service,the latest version of required software may be required for certain transaction or feature
38,iCloud Terms of Service,you agree that meeting these requirement is your responsibility
41,iCloud Terms of Service,limitation on use you agree to use the service only for purpose permitted by this agreement and only to the extent permitted by any applicable law regulation or generally accepted practice in the applicable jurisdiction
42,iCloud Terms of Service,your account is allocated 5gb of storage capacity a described in the icloud feature page
43,iCloud Terms of Service,additional storage is available for purchase a described below
44,iCloud Terms of Service,exceeding any applicable or reasonable limitation of bandwidth or storage capacity for example backup or email account space is prohibited and may prevent you from backing up to icloud adding document or receiving new email sent to your icloud email address
45,iCloud Terms of Service,if your use of the service or other behavior intentionally or unintentionally threatens apple ability to provide the service or other system apple shall be entitled to take all reasonable step to protect the service and apple system which may include suspension of your access to the service
46,iCloud Terms of Service,repeated violation of the limitation may result in termination of your account
