ID,Vendor,Text
0,Instagram Terms of Service,term of use
1,Instagram Terms of Service,these term will be updated effective december 20 2020
2,Instagram Terms of Service,to preview the new version prior to it effective date click here welcome to instagram
3,Instagram Terms of Service,these term of use or term govern your use of instagram except where we expressly state that separate term and not these apply and provide information about the instagram service the service outlined below
4,Instagram Terms of Service,when you create an instagram account or use instagram you agree to these term
5,Instagram Terms of Service,the facebook term of service do not apply to this service
7,Instagram Terms of Service,the instagram service is one of the facebook product provided to you by facebook inc
8,Instagram Terms of Service,these term of use therefore constitute an agreement between you and facebook inc
11,Instagram Terms of Service,arbitration notice you agree that dispute between you and u will be resolved by binding individual arbitration and you waive your right to participate in class action lawsuit or class wide arbitration
12,Instagram Terms of Service,we explain some exception and how you can opt out of arbitration below
15,Instagram Terms of Service,the instagram service
16,Instagram Terms of Service,we agree to provide you with the instagram service
17,Instagram Terms of Service,the service includes all of the instagram product feature application service technology and software that we provide to advance instagram mission to bring you closer to the people and thing you love
18,Instagram Terms of Service,the service is made up of the following aspect the service
21,Instagram Terms of Service,offering personalized opportunity to create connect communicate discover and share
22,Instagram Terms of Service,people are different
23,Instagram Terms of Service,we want to strengthen your relationship through shared experience you actually care about
24,Instagram Terms of Service,so we build system that try to understand who and what you and others care about and use that information to help you create find join and share in experience that matter to you
25,Instagram Terms of Service,part of that is highlighting content feature offer and account you might be interested in and offering way for you to experience instagram based on thing you and others do on and off instagram
27,Instagram Terms of Service,fostering positive inclusive and safe environment
28,Instagram Terms of Service,we develop and use tool and offer resource to our community member that help to make their experience positive and inclusive including when we think they might need help
29,Instagram Terms of Service,we also have team and system that work to combat abuse and violation of our term and policy a well a harmful and deceptive behavior
30,Instagram Terms of Service,we use all the information we have including your information to try to keep our platform secure
31,Instagram Terms of Service,we also may share information about misuse or harmful content with other facebook company or law enforcement
32,Instagram Terms of Service,learn more in the data policy
34,Instagram Terms of Service,developing and using technology that help u consistently serve our growing community
35,Instagram Terms of Service,organizing and analyzing information for our growing community is central to our service
36,Instagram Terms of Service,a big part of our service is creating and using cutting edge technology that help u personalize protect and improve our service on an incredibly large scale for broad global community
37,Instagram Terms of Service,technology like artificial intelligence and machine learning give u the power to apply complex process across our service
38,Instagram Terms of Service,automated technology also help u ensure the functionality and integrity of our service
40,Instagram Terms of Service,providing consistent and seamless experience across other facebook company product
41,Instagram Terms of Service,instagram is part of the facebook company which share technology system insight and information including the information we have about you learn more in the data policy in order to provide service that are better safer and more secure
42,Instagram Terms of Service,we also provide way to interact across the facebook company product that you use and designed system to achieve seamless and consistent experience across the facebook company product
44,Instagram Terms of Service,ensuring stable global infrastructure for our service
45,Instagram Terms of Service,to provide our global service we must store and transfer data across our system around the world including outside of your country of residence
46,Instagram Terms of Service,this infrastructure may be owned or operated by facebook inc facebook ireland limited or their affiliate
48,Instagram Terms of Service,connecting you with brand product and service in way you care about
49,Instagram Terms of Service,we use data from instagram and other facebook company product a well a from third party partner to show you ad offer and other sponsored content that we believe will be meaningful to you
50,Instagram Terms of Service,and we try to make that content a relevant a all your other experience on instagram
52,Instagram Terms of Service,research and innovation
53,Instagram Terms of Service,we use the information we have to study our service and collaborate with others on research to make our service better and contribute to the well being of our community
56,Instagram Terms of Service,the data policy
57,Instagram Terms of Service,providing our service requires collecting and using your information
58,Instagram Terms of Service,the data policy explains how we collect use and share information across the facebook product
59,Instagram Terms of Service,it also explains the many way you can control your information including in the instagram privacy and security setting
60,Instagram Terms of Service,you must agree to the data policy to use instagram
62,Instagram Terms of Service,your commitment in return for our commitment to provide the service we require you to make the below commitment to u
65,Instagram Terms of Service,who can use instagram we want our service to be a open and inclusive a possible but we also want it to be safe secure and in accordance with the law
66,Instagram Terms of Service,so we need you to commit to few restriction in order to be part of the instagram community
68,Instagram Terms of Service,you must be at least 13 year old
69,Instagram Terms of Service,you must not be prohibited from receiving any aspect of our service under applicable law or engaging in payment related service if you are on an applicable denied party listing
70,Instagram Terms of Service,we must not have previously disabled your account for violation of law or any of our policy
71,Instagram Terms of Service,you must not be convicted sex offender
75,Instagram Terms of Service,how you can use instagram providing safe and open service for broad community requires that we all do our part
78,Instagram Terms of Service,you can impersonate others or provide inaccurate information
79,Instagram Terms of Service,you don have to disclose your identity on instagram but you must provide u with accurate and up to date information including registration information
80,Instagram Terms of Service,also you may not impersonate someone you aren and you can create an account for someone else unless you have their express permission
82,Instagram Terms of Service,you can do anything unlawful misleading or fraudulent or for an illegal or unauthorized purpose
85,Instagram Terms of Service,you can violate or help or encourage others to violate these term or our policy including in particular the instagram community guideline instagram platform policy and music guideline learn how to report conduct or content in our help center
87,Instagram Terms of Service,you can do anything to interfere with or impair the intended operation of the service
90,Instagram Terms of Service,you can attempt to create account or access or collect information in unauthorized way
91,Instagram Terms of Service,this includes creating account or collecting information in an automated way without our express permission
93,Instagram Terms of Service,you can attempt to buy sell or transfer any aspect of your account including your username or solicit collect or use login credential or badge of other user
96,Instagram Terms of Service,you can post private or confidential information or do anything that violates someone else right including intellectual property
97,Instagram Terms of Service,learn more including how to report content that you think infringes your intellectual property right here
99,Instagram Terms of Service,you can use domain name or url in your username without our prior written consent
102,Instagram Terms of Service,permission you give to u a part of our agreement you also give u permission that we need to provide the service
105,Instagram Terms of Service,we do not claim ownership of your content but you grant u license to use it
106,Instagram Terms of Service,nothing is changing about your right in your content
107,Instagram Terms of Service,we do not claim ownership of your content that you post on or through the service and you are free to share your content with anyone else wherever you want
108,Instagram Terms of Service,however we need certain legal permission from you known a license to provide the service
109,Instagram Terms of Service,when you share post or upload content that is covered by intellectual property right like photo or video on or in connection with our service you hereby grant to u non exclusive royalty free transferable sub licensable worldwide license to host use distribute modify run copy publicly perform or display translate and create derivative work of your content consistent with your privacy and application setting
110,Instagram Terms of Service,this license will end when your content is deleted from our system
111,Instagram Terms of Service,you can delete content individually or all at once by deleting your account
112,Instagram Terms of Service,to learn more about how we use information and how to control or delete your content review the data policy and visit the instagram help center
114,Instagram Terms of Service,permission to use your username profile picture and information about your relationship and action with account ad and sponsored content
115,Instagram Terms of Service,you give u permission to show your username profile picture and information about your action such a like or relationship such a follows next to or in connection with account ad offer and other sponsored content that you follow or engage with that are displayed on facebook product without any compensation to you
116,Instagram Terms of Service,for example we may show that you liked sponsored post created by brand that ha paid u to display it ad on instagram
117,Instagram Terms of Service,a with action on other content and follows of other account action on sponsored content and follows of sponsored account can be seen only by people who have permission to see that content or follow
118,Instagram Terms of Service,we will also respect your ad setting
119,Instagram Terms of Service,you can learn more here about your ad setting
121,Instagram Terms of Service,you agree that we can download and install update to the service on your device
125,Instagram Terms of Service,additional right we retain
127,Instagram Terms of Service,if you select username or similar identifier for your account we may change it if we believe it is appropriate or necessary for example if it infringes someone intellectual property or impersonates another user
128,Instagram Terms of Service,if you use content covered by intellectual property right that we have and make available in our service for example image design video or sound we provide that you add to content you create or share we retain all right to our content but not yours
129,Instagram Terms of Service,you can only use our intellectual property and trademark or similar mark a expressly permitted by our brand guideline or with our prior written permission
130,Instagram Terms of Service,you must obtain written permission from u or under an open source license to modify create derivative work of decompile or otherwise attempt to extract source code from u
133,Instagram Terms of Service,content removal and disabling or terminating your account
135,Instagram Terms of Service,we can remove any content or information you share on the service if we believe that it violates these term of use our policy including our instagram community guideline or we are permitted or required to do so by law
136,Instagram Terms of Service,we can refuse to provide or stop providing all or part of the service to you including terminating or disabling your your access to the facebook product and facebook company product immediately to protect our community or service or if you create risk or legal exposure for u violate these term of use or our policy including our instagram community guideline if you repeatedly infringe other people intellectual property right or where we are permitted or required to do so by law
137,Instagram Terms of Service,we can also terminate or change the service remove or block content or information shared on our service or stop providing all or part of the service if we determine that doing so is reasonably necessary to avoid or mitigate adverse legal or regulatory impact on u
138,Instagram Terms of Service,if you believe your account ha been terminated in error or you want to disable or permanently delete your account consult our help center when you request to delete content or your account the deletion process will automatically begin no more than 30 day after your request
139,Instagram Terms of Service,it may take up to 90 day to delete content after the deletion process begin
140,Instagram Terms of Service,while the deletion process for such content is being undertaken the content is no longer visible to other user but remains subject to these term of use and our data policy
141,Instagram Terms of Service,after the content is deleted it may take u up to another 90 day to remove it from backup and disaster recovery system
143,Instagram Terms of Service,content will not be deleted within 90 day of the account deletion or content deletion process beginning in the following situation
144,Instagram Terms of Service,where your content ha been used by others in accordance with this license and they have not deleted it in which case this license will continue to apply until that content is deleted
146,Instagram Terms of Service,where deletion within 90 day is not possible due to technical limitation of our system in which case we will complete the deletion a soon a technically feasible
148,Instagram Terms of Service,where deletion would restrict our ability to
149,Instagram Terms of Service,investigate or identify illegal activity or violation of our term and policy for example to identify or investigate misuse of our product or system
150,Instagram Terms of Service,protect the safety and security of our product system and user
151,Instagram Terms of Service,comply with legal obligation such a the preservation of evidence
153,Instagram Terms of Service,comply with request of judicial or administrative authority law enforcement or government agency
156,Instagram Terms of Service,in which case the content will be retained for no longer than is necessary for the purpose for which it ha been retained the exact duration will vary on case by case basis
159,Instagram Terms of Service,if you delete or we disable your account these term shall terminate a an agreement between you and u but this section and the section below called our agreement and what happens if we disagree will still apply even after your account is terminated disabled or deleted
162,Instagram Terms of Service,our agreement and what happens if we disagree
163,Instagram Terms of Service,our agreement
165,Instagram Terms of Service,your use of music on the service is also subject to our music guideline and your use of our api is subject to our facebook platform term and developer policy
166,Instagram Terms of Service,if you use certain other feature or related service you will be provided with an opportunity to agree to additional term that will also become part of our agreement
167,Instagram Terms of Service,for example if you use payment feature you will be asked to agree to the community payment term
168,Instagram Terms of Service,if any of those term conflict with this agreement those other term will govern
169,Instagram Terms of Service,if any aspect of this agreement is unenforceable the rest will remain in effect
170,Instagram Terms of Service,any amendment or waiver to our agreement must be in writing and signed by u
171,Instagram Terms of Service,if we fail to enforce any aspect of this agreement it will not be waiver
172,Instagram Terms of Service,we reserve all right not expressly granted to you
174,Instagram Terms of Service,who ha right under this agreement
176,Instagram Terms of Service,this agreement doe not give right to any third party
177,Instagram Terms of Service,you cannot transfer your right or obligation under this agreement without our consent
178,Instagram Terms of Service,our right and obligation can be assigned to others
179,Instagram Terms of Service,for example this could occur if our ownership change a in merger acquisition or sale of asset or by law
181,Instagram Terms of Service,who is responsible if something happens
183,Instagram Terms of Service,our service is provided a is and we can guarantee it will be safe and secure or will work perfectly all the time
184,Instagram Terms of Service,to the extent permitted by law we also disclaim all warranty whether express or implied including the implied warranty of merchantability fitness for particular purpose title and non infringement
185,Instagram Terms of Service,we also don control what people and others do or say and we aren responsible for their or your action or conduct whether online or offline or content including unlawful or objectionable content
186,Instagram Terms of Service,we also aren responsible for service and feature offered by other people or company even if you access them through our service
187,Instagram Terms of Service,our responsibility for anything that happens on the service also called liability is limited a much a the law will allow
188,Instagram Terms of Service,if there is an issue with our service we can know what all the possible impact might be
189,Instagram Terms of Service,you agree that we won be responsible liable for any lost profit revenue information or data or consequential special indirect exemplary punitive or incidental damage arising out of or related to these term even if we know they are possible
190,Instagram Terms of Service,this includes when we delete your content information or account
191,Instagram Terms of Service,our aggregate liability arising out of or relating to these term will not exceed the greater of 100 or the amount you have paid u in the past twelve month
192,Instagram Terms of Service,you agree to defend at our request indemnify and hold u harmless from and against any claim liability damage loss and expense including without limitation reasonable attorney fee and cost arising out of or in any way connected with these term or your use of the service
193,Instagram Terms of Service,you will cooperate a required by u in the defense of any claim
194,Instagram Terms of Service,we reserve the right to assume the exclusive defense and control of any matter subject to indemnification by you and you will not in any event settle any claim without our prior written consent
196,Instagram Terms of Service,how we will handle dispute
198,Instagram Terms of Service,except a provided below you and we agree that any cause of action legal claim or dispute between you and u arising out of or related to these term or instagram claim must be resolved by arbitration on an individual basis
199,Instagram Terms of Service,class action and class arbitration are not permitted
200,Instagram Terms of Service,you and we may bring claim only on your own behalf and cannot seek relief that would affect other instagram user
201,Instagram Terms of Service,if there is final judicial determination that any particular claim or request for particular relief cannot be arbitrated in accordance with this provision limitation then only that claim or only that request for relief may be brought in court
202,Instagram Terms of Service,all other claim or request for relief remain subject to this provision
203,Instagram Terms of Service,instead of using arbitration you or we can bring claim in your local small claim court if the rule of that court will allow it
204,Instagram Terms of Service,if you don bring your claim in small claim court or if you or we appeal small claim court judgment to court of general jurisdiction then the claim must be resolved by binding individual arbitration
205,Instagram Terms of Service,the american arbitration association will administer all arbitration under it consumer arbitration rule
206,Instagram Terms of Service,you and we expressly waive trial by jury
208,Instagram Terms of Service,the following claim don have to be arbitrated and may be brought in court dispute related to intellectual property like copyright and trademark violation of our platform policy or effort to interfere with the service or engage with the service in unauthorized way for example automated way
209,Instagram Terms of Service,in addition issue relating to the scope and enforceability of the arbitration provision are for court to decide
211,Instagram Terms of Service,this arbitration provision is governed by the federal arbitration act
213,Instagram Terms of Service,you can opt out of this provision within 30 day of the date that you agreed to these term
214,Instagram Terms of Service,to opt out you must send your name residence address username email address or phone number you use for your instagram account and clear statement that you want to opt out of this arbitration agreement and you must send them here facebook inc
215,Instagram Terms of Service,attn instagram arbitration opt out 1601 willow rd menlo park ca 94025
216,Instagram Terms of Service,before you commence arbitration of claim you must provide u with written notice of dispute that includes your name residence address username email address or phone number you use for your instagram account detailed description of the dispute and the relief you seek
217,Instagram Terms of Service,any notice of dispute you send to u should be mailed to facebook inc attn instagram arbitration filing 1601 willow rd
218,Instagram Terms of Service,menlo park ca 94025
219,Instagram Terms of Service,before we commence arbitration we will send you notice of dispute to the email address you use with your instagram account or other appropriate mean
220,Instagram Terms of Service,if we are unable to resolve dispute within thirty 30 day after the notice of dispute is received you or we may commence arbitration
221,Instagram Terms of Service,we will pay all arbitration filing fee administration and hearing cost and arbitrator fee for any arbitration we bring or if your claim seek le than 75 000 and you timely provided u with notice of dispute
222,Instagram Terms of Service,for all other claim the cost and fee of arbitration shall be allocated in accordance with the arbitration provider rule including rule regarding frivolous or improper claim
223,Instagram Terms of Service,for any claim that is not arbitrated or resolved in small claim court you agree that it will be resolved exclusively in the s
224,Instagram Terms of Service,district court for the northern district of california or state court located in san mateo county
225,Instagram Terms of Service,you also agree to submit to the personal jurisdiction of either of these court for the purpose of litigating any such claim
226,Instagram Terms of Service,the law of the state of california to the extent not preempted by or inconsistent with federal law will govern these term and any claim without regard to conflict of law provision
228,Instagram Terms of Service,unsolicited material
229,Instagram Terms of Service,we always appreciate feedback or other suggestion but may use them without any restriction or obligation to compensate you for them and are under no obligation to keep them confidential
232,Instagram Terms of Service,updating these term we may change our service and policy and we may need to make change to these term so that they accurately reflect our service and policy
233,Instagram Terms of Service,unless otherwise required by law we will notify you for example through our service before we make change to these term and give you an opportunity to review them before they go into effect
